Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale,Current Mark to Market and Holding Period,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date
DELTADRIFT,"XLE, Long, 2026-06-22 (Price: 54.06)",XLE,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"0.0%, 0 days","2026-06-22 (Price: 54.06), 0.0% below",0 days
OSCILLATOR DELTA,"MCY.NZ, Long, 2026-06-22 (Price: 6.89)",MCY.NZ,EQUITY,income,short,-1.5,0.0,-1.5,-1.5,49.25,moderate,False,CANCEL BUY,0.0,BQ -1.5 + valuation tax 0.0 = -1.5 | FS class moderate,"0.0%, 0 days","2026-06-22 (Price: 6.89), 0.0% below",0 days
TRENDPULSE,"BBD-B.TO, Long, 2026-06-22 (Price: 315.05)",BBD-B.TO,EQUITY,compounder,short,-2.5,-5.0,-7.5,-7.5,48.75,moderate,False,CANCEL BUY,0.0,BQ -2.5 + valuation tax -5.0 = -7.5 | FS class moderate,"0.0%, 0 days","2026-06-22 (Price: 315.05), 0.0% below",0 days
DELTADRIFT,"IMO.TO, Long, 2026-06-22 (Price: 161.61)",IMO.TO,EQUITY,cyclical,short,4.5,-4.0,0.5,0.5,60.25,moderate_high,False,CANCEL BUY,0.0,BQ 4.5 + valuation tax -4.0 = 0.5 | FS class moderate_high,"0.0%, 0 days","2026-06-22 (Price: 161.61), 0.0% below",0 days
OSCILLATOR DELTA,"DBC, Long, 2026-06-22 (Price: 27.41)",DBC,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"0.0%, 0 days","2026-06-22 (Price: 27.41), 0.0% below",0 days
FRACTAL TRACK,"MCHI, Short, 2026-06-22 (Price: 52.86)",MCHI,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"-0.0%, 0 days","2026-06-22 (Price: 52.86), 0.0% below",0 days
