Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),ticker,original_signal,signal_timeframe,verdict,sizing_pct,conviction_score,conviction_raw,fs_score,fs_class,yield_trap_warning,business_type,bq_raw,valuation_tax,asset_type,rationale,position_layers,not_applicable_reason
TRENDPULSE,"CVS, Long, 2026-05-10 (Price: 90.55)",No Exit Yet,"1.84%, 1 day","70.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 92.22), 1.84% above",1 day,82.3,No Information,No Information,No Information,No Information,No Information,12.34% above/5.56% above/1.84% above,17.29%/1.66%/10.0%,"11.34%, 34.7%",11.4 months/28 days/2.3 months,2027-09-17/2026-06-19/2026-08-17,3.99%,3.56%,0.43%,0.28,0.17,97.4318/99.605/93.79/106.045/116.3721/144.3517/No EMA 200 Target,70.08/58.425/90.5278/76.2419/No F-Track Level/No F-Track Level/76.18,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),CVS,BUY,short,CANCEL BUY,0.0,-4.0,-4.0,48.0,moderate,False,income,-4.0,0.0,EQUITY,BQ -4.0 + valuation tax 0.0 = -4.0 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"EEM, Long, 2026-05-10 (Price: 67.94)",No Exit Yet,"-0.07%, 1 day","92.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 67.89), 0.07% below",1 day,64.47,No Information,No Information,No Information,No Information,No Information,5.86% above/0.07% below/0.07% below,11.23%/1.19%/4.0%,"20.12%, 35.1%",1.4 year/28 days/3.8 months,2028-05-07/2026-06-19/2026-10-22,3.13%,1.56%,1.57%,0.12,-0.02,71.6427/70.6576/87.5/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,55.2/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/55.94,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),EEM,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
TRENDPULSE,"MEL.NZ, Long, 2026-05-10 (Price: 5.76)",No Exit Yet,"1.56%, 1 day","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 5.85), 1.56% above",1 day,5.69,No Information,No Information,No Information,No Information,No Information,2.27% above/1.56% above/1.56% above,24.31%/3.73%/10.23%,"-0.0%, 22.1%",3.3 months/1.4 month/1.8 month,2026-09-30/2026-07-09/2026-07-27,11.03%,7.59%,3.44%,0.58,0.4,6.2761/6.3492/6.44/6.825/7.4565/8.4213/No EMA 200 Target,5.35/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.68,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),MEL.NZ,BUY,short,CANCEL BUY,0.0,-1.5,-1.5,49.25,moderate,False,income,-1.5,0.0,EQUITY,BQ -1.5 + valuation tax 0.0 = -1.5 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"KXS.TO, Long, 2026-05-10 (Price: 158.73)",No Exit Yet,"-6.75%, 1 day","91.67%, Past 10 years, 12","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 148.02), 6.75% below",1 day,145.3,No Information,No Information,No Information,No Information,No Information,6.75% below/3.23% below/6.75% below,27.78%/4.77%/12.44%,"3.79%, 30.73%",6.1 months/1.2 month/3.5 months,2027-01-30/2026-07-01/2026-10-09,8.82%,15.1%,-6.28%,0.9,0.71,170.5395/178.476/190.96/209.885/256.6637/289.1348/164.72,123.77/118.35/151.1683/123.9058/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),KXS.TO,BUY,short,CANCEL BUY,0.0,0.5,0.5,61.25,moderate_high,False,saas,2.5,-2.0,EQUITY,BQ 2.5 + valuation tax -2.0 = 0.5 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"NOVA.F, Long, 2026-05-10 (Price: 38.92)",No Exit Yet,"0.51%, 1 day","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 39.12), 0.51% above",1 day,37.0,No Information,No Information,No Information,No Information,No Information,11.45% above/0.51% above/0.51% above,21.11%/2.36%/10.96%,"-0.0%, 9.84%",6.1 months/1.2 month/2.7 months,2027-01-30/2026-07-01/2026-09-04,12.8%,7.07%,5.73%,1.33,0.37,45.9061/43.1856/99.89/126.5/138.0871/146.706/42.48,31.2/No Horizontal Support/33.7767/28.7825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),NOVA.F,BUY,short,CANCEL BUY,0.0,-0.5,-0.5,58.25,moderate_high,False,compounder,2.5,-3.0,EQUITY,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
FRACTAL TRACK,"BTI, Long, 2026-05-10 (Price: 58.28)",No Exit Yet,"3.71%, 1 day","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-05-10",Already confirmed,"2026-05-11 (Price: 60.44), 3.71% above",1 day,58.54,No Information,No Information,No Information,"23.66% (Price: 54.9461), 10.0% above, Upmove Bounce Back","2024-04-21 (Price: 28.25), 2026-03-01 (Price: 63.22)",No Information,18.23%/0.47%/14.35%,"9.4%, 36.12%",3.2 years/3.3 months/1.4 year,2030-12-03/2026-09-30/2028-05-07,7.57%,2.98%,4.59%,0.67,0.12,63.2513/66.6432/79.26/59.135/82.226/92.0468/No EMA 200 Target,56.68/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/56.72,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),BTI,BUY,short,CANCEL BUY,0.0,0.0,0.0,55.0,moderate_high,False,income,2.0,-2.0,EQUITY,BQ 2.0 + valuation tax -2.0 = 0.0 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"TSLA, Long, 2026-05-08 (Price: 428.35)",No Exit Yet,"3.89%, 3 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 445.0), 3.89% above",3 days,417.43,No Information,No Information,No Information,No Information,No Information,8.06% above/3.89% above/3.89% above,36.18%/0.85%/13.28%,"33.47%, 65.02%",1.6 month/6 days/19 days,2026-07-16/2026-05-16/2026-06-04,29.12%,26.43%,2.69%,0.18,1.05,471.8704/485.2349/438.33/487.1467/541.282/564.9603/No EMA 200 Target,372.8/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/404.39,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),TSLA,BUY,short,CANCEL BUY,0.0,-7.5,-7.5,27.75,moderate_low,False,compounder,-2.5,-5.0,EQUITY,BQ -2.5 + valuation tax -5.0 = -7.5 | FS class moderate_low,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"3033.HK, Long, 2026-05-08 (Price: 4.998)",No Exit Yet,"0.0%, 3 days","81.82%, Past 4 years, 22","Daily, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 4.998), 0.0% below",3 days,4.986,No Information,No Information,No Information,No Information,No Information,2.63% above/0.0% below/0.0% below,31.95%/2.06%/9.94%,"29.76%, 58.41%",2.7 months/6 days/21 days,2026-09-02/2026-05-16/2026-06-07,12.46%,-5.18%,17.64%,0.2,-0.12,5.4223/5.4948/5.96/5.805/No Next Fib Ext/No Next Fib Ext/5.43,4.73/3.196/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),3033.HK,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
TRENDPULSE,"NVDA, Long, 2026-05-07 (Price: 211.5)",No Exit Yet,"3.75%, 4 days","91.67%, Past 4 years, 24","Daily, is CONFIRMED on 2026-05-07",Already confirmed,"2026-05-11 (Price: 219.44), 3.75% above",4 days,208.315,No Information,No Information,No Information,No Information,No Information,5.59% above/3.75% above/3.75% above,19.41%/2.96%/8.95%,"6.69%, 63.72%",1.4 month/6 days/12 days,2026-07-06/2026-05-15/2026-05-24,14.93%,46.02%,-31.09%,0.77,1.8,258.8337/230.4292/221.03/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,196.5/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/184.51,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),NVDA,BUY,short,CANCEL BUY,0.0,-1.5,-1.5,44.75,moderate,False,compounder,3.5,-5.0,EQUITY,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"TSLA, Long, 2026-05-07 (Price: 411.79)",No Exit Yet,"8.06%, 4 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-05-07",Already confirmed,"2026-05-11 (Price: 445.0), 8.06% above",4 days,407.52,No Information,No Information,No Information,No Information,No Information,11.6% above/8.06% above/8.06% above,36.18%/0.85%/13.28%,"33.47%, 65.02%",1.6 month/6 days/19 days,2026-07-15/2026-05-15/2026-06-03,29.12%,26.43%,2.69%,0.18,1.05,453.6279/466.4757/461.88/487.1467/541.282/564.9603/No EMA 200 Target,372.8/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/403.91,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),TSLA,BUY,short,CANCEL BUY,0.0,-7.5,-7.5,27.75,moderate_low,False,compounder,-2.5,-5.0,EQUITY,BQ -2.5 + valuation tax -5.0 = -7.5 | FS class moderate_low,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
