Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale,Current Mark to Market and Holding Period,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date
OSCILLATOR DELTA,"BTI, Long, 2026-06-23 (Price: 60.74)",BTI,EQUITY,income,short,2.0,-5.0,-3.0,-3.0,55.0,moderate_high,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -5.0 = -3.0 | FS class moderate_high,"0.0%, 0 days","2026-06-23 (Price: 60.74), 0.0% below",0 days
OSCILLATOR DELTA,"^BVSP, Long, 2026-06-23 (Price: 171258.875)",^BVSP,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX,"0.0%, 0 days","2026-06-23 (Price: 171258.875), 0.0% below",0 days
TRENDPULSE,"NVO, Long, 2026-06-23 (Price: 47.42)",NVO,EQUITY,compounder,short,2.5,-3.0,-0.5,-0.5,58.25,moderate_high,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high,"0.0%, 0 days","2026-06-23 (Price: 47.42), 0.0% below",0 days
OSCILLATOR DELTA,"NAUKRI.NS, Long, 2026-06-23 (Price: 1011.6)",NAUKRI.NS,EQUITY,compounder,short,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate,"0.0%, 0 days","2026-06-23 (Price: 1011.6), 0.0% below",0 days
DELTADRIFT,"ZM, Long, 2026-06-23 (Price: 86.445)",ZM,EQUITY,saas,short,4.0,-5.0,-1.0,-1.0,70.0,moderate_high,False,CANCEL BUY,0.0,BQ 4.0 + valuation tax -5.0 = -1.0 | FS class moderate_high,"0.0%, 0 days","2026-06-23 (Price: 86.445), 0.0% below",0 days
DELTADRIFT,"CAD=X, Short, 2026-06-23 (Price: 1.4158)",CAD=X,CURRENCY,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=CURRENCY,"-0.0%, 0 days","2026-06-23 (Price: 1.4158), 0.0% below",0 days
