Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale,Current Mark to Market and Holding Period,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date
TRENDPULSE,"NOVA.F, Long, 2026-06-17 (Price: 38.52)",NOVA.F,EQUITY,compounder,short,2.5,-3.0,-0.5,-0.5,58.25,moderate_high,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high,"0.0%, 0 days","2026-06-17 (Price: 38.52), 0.0% below",0 days
DELTADRIFT,"USCI, Long, 2026-06-17 (Price: 93.5401)",USCI,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"0.0%, 0 days","2026-06-17 (Price: 93.5401), 0.0% below",0 days
