Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%],ticker,original_signal,signal_timeframe,verdict,sizing_pct,conviction_score,conviction_raw,fs_score,fs_class,yield_trap_warning,business_type,bq_raw,valuation_tax,asset_type,rationale,position_layers,not_applicable_reason
DELTADRIFT,EEM,Short,Daily,2026-05-11,67.89,,,67.89,0.0000%,,Open,80.0,EEM,SELL,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
OSCILLATOR DELTA,ARM,Short,Daily,2026-05-11,212.65,,,212.65,0.0000%,,Open,100.0,ARM,SELL,short,HARD EXIT,0.0,-2.5,-2.5,34.25,moderate_low,False,compounder,2.5,-5.0,EQUITY,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate_low,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
DELTADRIFT,NVO,Short,Daily,2026-05-07,45.8,,,46.4,-1.3100%,,Open,85.71,NVO,SELL,short,HARD EXIT,0.0,-0.5,-0.5,58.25,moderate_high,False,compounder,2.5,-3.0,EQUITY,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
DELTADRIFT,AMZN,Short,Daily,2026-05-07,271.17,,,268.99,0.8039%,,Open,85.71,AMZN,SELL,short,HARD EXIT,0.0,-1.5,-1.5,50.75,moderate,False,compounder,3.5,-5.0,EQUITY,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
FRACTAL TRACK,GDX,Short,Quarterly,2026-05-05,85.81,,,97.6,-13.7397%,,Open,100.0,GDX,SELL,long,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
DELTADRIFT,^NDX,Short,Daily,2026-05-04,27651.8184,2026-05-06,28599.1719,28599.1719,-3.4260%,2.0,Closed,100.0,^NDX,SELL,short,NOT_APPLICABLE,0.0,,,,,False,,,,INDEX,quoteType=INDEX,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=INDEX
DELTADRIFT,QQQ,Short,Daily,2026-05-04,672.88,,,713.29,-6.0055%,,Open,85.71,QQQ,SELL,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
DELTADRIFT,GNE.NZ,Short,Daily,2026-05-04,2.44,,,2.46,-0.8197%,,Open,100.0,GNE.NZ,SELL,short,HARD EXIT,0.0,1.5,1.5,61.75,moderate_high,False,income,1.5,0.0,EQUITY,BQ 1.5 + valuation tax 0.0 = 1.5 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
FRACTAL TRACK,GDX,Short,Quarterly,2026-05-04,85.65,,,97.6,-13.9521%,,Open,100.0,GDX,SELL,long,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
OSCILLATOR DELTA,MSFT,Short,Daily,2026-05-01,414.44,,,412.66,0.4295%,,Open,90.91,MSFT,SELL,short,HARD EXIT,0.0,-2.5,-2.5,56.25,moderate_high,False,saas,2.5,-5.0,EQUITY,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
FRACTAL TRACK,GDX,Short,Quarterly,2026-05-01,87.11,,,97.6,-12.0422%,,Open,100.0,GDX,SELL,long,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
FRACTAL TRACK,WPM,Short,Monthly,2026-04-30,126.46,2026-05-11,143.8,143.8,-13.7118%,11.0,Closed,90.0,WPM,SELL,long,HARD EXIT,0.0,-2.5,-2.5,53.25,moderate,False,cyclical,2.5,-5.0,EQUITY,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
FRACTAL TRACK,GDX,Short,Quarterly,2026-04-30,88.29,,,97.6,-10.5448%,,Open,100.0,GDX,SELL,long,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
FRACTAL TRACK,GDX,Short,Quarterly,2026-04-29,86.22,,,97.6,-13.1988%,,Open,100.0,GDX,SELL,long,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
FRACTAL TRACK,WPM,Short,Monthly,2026-04-29,124.89,,,143.8,-15.1413%,,Open,90.0,WPM,SELL,long,HARD EXIT,0.0,-2.5,-2.5,53.25,moderate,False,cyclical,2.5,-5.0,EQUITY,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
OSCILLATOR DELTA,ARM,Short,Daily,2026-04-29,201.69,2026-05-06,237.3,237.3,-17.6558%,7.0,Closed,100.0,ARM,SELL,short,HARD EXIT,0.0,-2.5,-2.5,34.25,moderate_low,False,compounder,2.5,-5.0,EQUITY,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate_low,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
FRACTAL TRACK,WPM,Short,Monthly,2026-04-28,129.43,,,143.8,-11.1025%,,Open,90.0,WPM,SELL,long,HARD EXIT,0.0,-2.5,-2.5,53.25,moderate,False,cyclical,2.5,-5.0,EQUITY,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,SPOT,Short,Daily,2026-04-28,434.2,,,419.5,3.3855%,,Open,88.24,SPOT,SELL,short,FULL EXIT,0.0,2.0,2.0,65.0,moderate_high,False,compounder,4.0,-2.0,EQUITY,BQ 4.0 + valuation tax -2.0 = 2.0 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
