Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),"Sigmashell, Success Rate of Past Analysis [%]",Spread,"Divergence observed with, Signal Type","Divergence Start (Date, Price)"
FRACTAL TRACK,"PPH, Long, 2026-05-17 (Price: 100.84)",No Exit Yet,"3.26%, 9 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-05-17",Already confirmed,"2026-05-26 (Price: 104.13), 3.26% above",9 days,100.07,Upmove Bounce Back,38.2% (Price: 99.2444),4.92% above,"2025-04-13 (Price: 77.67), 2026-02-22 (Price: 112.58)",17.44%/6.28%/14.88%,"9.84%, 28.32%",6.1 years/3.3 months/1.7 year,2035-01-30/2026-10-07/2028-10-19,8.15%,3.85%,4.3%,0.85,0.15,103.9459/115.845/121.79/No Horizontal Resistance/120.2747/126.127/No EMA 200 Target,99.84/72.54/100.0174/96.0365/No F-Track Level/No F-Track Level/99.34,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"ATD.TO, Long, 2026-05-17 (Price: 78.46)",No Exit Yet,"-2.04%, 9 days","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-05-17",Already confirmed,"2026-05-26 (Price: 76.86), 2.04% below",9 days,79.1,Upmove Bounce Back,50% (Price: 75.77),1.44% above,"2025-03-23 (Price: 65.95), 2026-03-01 (Price: 85.59)",25.17%/0.64%/14.06%,"2.07%, 20.51%",2.2 years/28 days/6.8 months,2029-07-07/2026-06-26/2027-03-08,9.98%,10.71%,-0.73%,0.97,0.57,87.4437/89.4915/90.24/85.53/85.3936/96.14/No EMA 200 Target,70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/75.48,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",No Exit Yet,"2.15%, 1 month","91.3%, Past 20 years, 23","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-26 (Price: 1356.3), 2.15% above",1 month,1363.2,Upmove Bounce Back,61.8% (Price: 1304.6849),3.96% above,"2025-04-13 (Price: 1114.85), 2026-01-11 (Price: 1611.8)",23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,2030-01-10/2026-05-16/2027-02-11,15.03%,9.05%,5.98%,1.32,0.46,1418.0904/1547.2853/1625.97/1610.3/1879.7264/2065.5547/1429.86,1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BABA, Long, 2026-04-26 (Price: 135.82)",No Exit Yet,"-4.68%, 1 month","100.0%, Past 11 years, 9","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-26 (Price: 129.47), 4.68% below",1 month,140.465,Upmove Bounce Back,38.2% (Price: 117.1824),10.49% above,"2024-01-28 (Price: 66.63), 2025-03-23 (Price: 148.43)",32.92%/16.45%/22.55%,"-0.0%, 31.31%",1.2 year/1.6 month/5.5 months,2028-01-11/2026-07-04/2026-12-20,16.77%,2.08%,14.69%,1.15,0.18,148.7365/166.4474/184.9/181.595/399.1612/524.2534/149.54,122.05/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"NVDA, Long, 2026-04-19 (Price: 201.68)",No Exit Yet,"6.54%, 1.2 month","100.0%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-26 (Price: 214.86), 6.54% above",1.2 month,186.03,Upmove Bounce Back,38.2% (Price: 164.2223),30.83% above,"2025-04-13 (Price: 86.62), 2025-11-02 (Price: 212.19)",23.94%/15.21%/19.58%,"0%, 43.1%",3.7 years/21 days/1 year,2031-07-31/2026-05-19/2027-09-22,15.33%,23.78%,-8.45%,2.53,0.99,239.495/241.1689/277.02/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,167.52/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/187.2,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"HDFCBANK.NS, Long, 2026-04-19 (Price: 799.9)",No Exit Yet,"-2.63%, 1.2 month","83.33%, Past 20 years, 18","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-26 (Price: 778.9), 2.63% below",1.2 month,791.5,Upmove Bounce Back,38.2% (Price: 719.293),8.29% above,"2016-03-06 (Price: 232.0), 2025-10-26 (Price: 1020.5)",22.05%/6.26%/16.11%,"4.97%, 33.13%",1.6 year/2.6 months/7.6 months,2028-07-31/2026-08-09/2027-03-15,12.07%,10.58%,1.49%,1.38,0.56,877.1703/928.7639/1273.0/1009.6/1098.0619/1180.6259/921.39,750.9/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"QQQ, Long, 2026-04-19 (Price: 648.85)",No Exit Yet,"12.55%, 1.2 month","100.0%, Past 20 years, 12","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-26 (Price: 730.28), 12.55% above",1.2 month,609.48,Upmove Bounce Back,23.66% (Price: 546.4514),33.64% above,"2022-10-16 (Price: 254.26), 2025-11-02 (Price: 637.01)",16.98%/4.94%/15.15%,"0%, 27.94%",1.9 year/3 months/7.8 months,2029-01-03/2026-08-27/2027-03-23,12.1%,10.4%,1.7%,3.99,0.65,729.9563/747.1508/878.5/No Horizontal Resistance/836.2536/910.0135/No EMA 200 Target,562.58/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/615.47,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"GBPUSD=X, Long, 2026-04-19 (Price: 1.3516)",No Exit Yet,"-0.49%, 1.2 month","100.0%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-26 (Price: 1.345), 0.49% below",1.2 month,1.339,Upmove Bounce Back,50% (Price: 1.343),0.15% above,"2025-11-09 (Price: 1.3012), 2026-02-01 (Price: 1.3847)",2.17%/1.1%/1.64%,"-0.0%, 8.98%",2.9 years/7.9 months/1.8 year,2030-06-09/2027-03-28/2028-11-12,3.11%,-1.16%,4.27%,-0.32,-0.6,No Target/1.3738/1.4/1.364/2.4421/3.2078/No EMA 200 Target,1.32/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"KWEB, Long, 2026-04-19 (Price: 30.45)",No Exit Yet,"-10.48%, 1.2 month","100.0%, Past 12 years, 9","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-26 (Price: 27.26), 10.48% below",1.2 month,28.35,Upmove Bounce Back,78.6% (Price: 27.1066),0.57% above,"2024-01-28 (Price: 22.68), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.79%,"-0.0%, 42.44%",2.3 years/1.6 month/9.6 months,2029-07-29/2026-06-27/2027-06-10,12.25%,0.44%,11.81%,1.18,0.07,No Target/36.1716/42.86/54.865/112.1402/127.8094/35.02,27.91/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"GILD, Long, 2026-04-19 (Price: 137.64)",No Exit Yet,"-2.84%, 1.2 month","77.78%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-26 (Price: 133.73), 2.84% below",1.2 month,137.99,Upmove Bounce Back,23.66% (Price: 134.7609),0.76% below,"2024-06-02 (Price: 62.07), 2026-02-15 (Price: 157.29)",18.17%/15.12%/16.36%,"14.97%, 50.63%",9.3 years/1.9 month/3.1 years,2039-07-29/2026-07-10/2030-09-21,2.03%,8.23%,-6.2%,-0.14,0.43,No Target/160.1579/194.77/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,134.25/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/128.43,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
