"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NKE, Long, 2026-04-17 (Price: 46.03)",No Exit Yet,"0.0%, 0 days","85.71%, Past 15 years, 7","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 46.03), 0.0% below",0 days,14.71%/4.95%/8.77%,"21.25%, 31.28%",7.7 months/21 days/2.1 months,2027-03-17/2026-05-17/2026-07-17,6.43%,3.9%,2.53%,0.66,0.19,51.5444/50.0668/50.81/176.74/171.1647/206.9588/65.48,42.62/No Horizontal Support/37.5153/33.4875/No stop loss/No stop loss/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),42.23
"BYD.TO, Long, 2026-04-17 (Price: 167.85)",No Exit Yet,"0.0%, 0 days","83.33%, Past 15 years, 6","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 167.85), 0.0% below",0 days,17.64%/5.39%/10.47%,"23.95%, 24.98%",5.4 months/14 days/3.1 months,2026-12-07/2026-05-07/2026-08-29,5.47%,14.52%,-9.05%,-0.18,0.76,170.6699/185.4239/178.05/254.5175/325.4281/346.2134/216.88,162.27/No Horizontal Support/147.1212/134.6706/161.8358/141.1088/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),161.85
"TRI.TO, Long, 2026-04-17 (Price: 127.45)",No Exit Yet,"0.0%, 0 days","83.33%, Past 15 years, 6","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 127.45), 0.0% below",0 days,15.31%/4.48%/8.0%,"20.63%, 20.63%",1.4 year/7 days/4.5 months,2028-04-14/2026-04-27/2026-10-29,4.42%,5.06%,-0.64%,0.21,0.25,129.2088/137.646/133.43/240.8933/303.5675/326.8654/193.79,113.99/No Horizontal Support/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),115.52
"ATM.NZ, Long, 2026-04-16 (Price: 9.5)",No Exit Yet,"-4.11%, 1 day","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-04-16",Already confirmed,"2026-04-17 (Price: 9.11), 4.11% below",1 day,8.79%/3.28%/5.69%,"14.37%, 14.37%",2.5 months/2 days/19 days,2026-08-02/2026-04-18/2026-05-13,6.3%,4.09%,2.21%,-0.28,0.25,10.1555/10.0405/10.1/10.965/21.86/25.8879/10.19,9.4/5.292/9.2893/8.6495/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),9.43
"^VIX, Long, 2026-04-13 (Price: 19.12)",No Exit Yet,"-8.58%, 4 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-04-13",Already confirmed,"2026-04-17 (Price: 17.48), 8.58% below",4 days,22.97%/9.68%/14.93%,"17.74%, 21.21%",1.2 month/3 days/16 days,2026-06-04/2026-04-17/2026-05-06,26.0%,4.9%,21.1%,0.52,0.97,20.9804/21.9746/21.48/35.1/81.4382/87.3903/No EMA 200 Target,17.93/11.665/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/18.22,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),21.17
"BPCL.NS, Long, 2026-04-12 (Price: 299.35)",No Exit Yet,"4.26%, 5 days","83.33%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 312.1), 4.26% above",5 days,17.02%/7.4%/12.22%,"39.62%, 40.72%",2.1 months/14 days/1.1 month,2026-07-12/2026-05-02/2026-05-29,2.66%,8.31%,-5.65%,0.77,0.42,347.9944/335.9306/341.96/383.0667/393.108/467.0257/342.4,278.15/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),277.75
"BBTC.NS, Long, 2026-04-12 (Price: 1487.4)",No Exit Yet,"2.62%, 5 days","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 1526.4), 2.62% above",5 days,33.68%/7.57%/15.74%,"19.06%, 19.06%",4.9 months/7 days/2.4 months,2026-11-10/2026-04-22/2026-07-25,5.17%,13.98%,-8.81%,-0.02,0.63,1689.2402/1721.5168/1705.38/2145.0/3412.111/3761.7441/1817.11,1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),1410.0
"HDB, Long, 2026-04-05 (Price: 24.83)",2026-04-12 (Price: 26.73),"7.65%, 7 days","100.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 27.51), 10.79% above",12 days,16.81%/7.78%/10.62%,"-0.0%, 13.44%",2.1 months/7 days/1.3 month,2026-07-05/2026-04-15/2026-05-31,13.48%,5.22%,8.26%,1.54,0.26,27.6482/27.4669/27.56/39.3812/40.717/51.346/34.18,24.35/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),24.11
"INDY, Long, 2026-04-05 (Price: 42.12)",2026-04-12 (Price: 44.18),"4.89%, 7 days","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 45.49), 8.0% above",12 days,15.72%/4.17%/7.83%,"18.57%, 22.76%",2.8 months/28 days/2 months,2026-08-04/2026-05-15/2026-06-30,3.14%,1.62%,1.52%,0.07,-0.0,45.1526/45.418/45.29/54.474/60.9145/68.1277/49.94,41.24/40.5875/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),41.04
"DIS, Long, 2026-04-05 (Price: 96.61)",2026-04-17 (Price: 106.29),"10.02%, 12 days","88.89%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 106.29), 10.02% above",12 days,18.7%/4.98%/9.46%,"22.55%, 25.06%",3 months/7 days/1.5 month,2026-08-13/2026-04-15/2026-06-09,7.0%,3.97%,3.03%,0.77,0.18,110.0195/105.7493/107.88/168.455/207.5364/245.6322/110.55,92.42/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),92.89
"TSLA, Long, 2026-04-05 (Price: 360.59)",2026-04-17 (Price: 400.62),"11.1%, 12 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 400.62), 11.1% above",12 days,45.34%/14.57%/26.48%,"-0.0%, 27.43%",4.9 months/14 days/2 months,2026-11-03/2026-04-25/2026-06-30,31.0%,27.98%,3.02%,0.54,1.09,493.1068/456.0742/474.59/487.1467/494.4819/553.1211/398.87,302.63/196.47/348.637/262.8246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),365.86
