Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"USCI, Long, 2026-06-17 (Price: 93.5401)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-06-17",Already confirmed,"2026-06-17 (Price: 93.5401), 0.0% below",0 days,94.24,No Information,No Information,No Information,No Information,No Information,No Information,4.2%/1.48%/2.63%,"7.63%, 8.04%",22 days/1 day/10 days,2026-07-18/2026-06-18/2026-07-01,8.12%,13.45%,-5.33%,0.45,0.95,101.5939/96.0002/98.8/No Horizontal Resistance/107.1436/112.9927/No EMA 200 Target,91.98/51.03/90.2685/81.0354/92.4202/85.9616/85.71,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"NOVA.F, Long, 2026-06-17 (Price: 38.52)",No Exit Yet,"0.0%, 0 days","92.31%, Past 4 years, 13","Daily, is CONFIRMED on 2026-06-17",Already confirmed,"2026-06-17 (Price: 38.52), 0.0% below",0 days,37.22,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,12.24%/1.53%/7.14%,"11.07%, 36.03%",1 month/7 days/18 days,2026-07-30/2026-06-27/2026-07-13,12.13%,3.25%,8.88%,0.78,0.21,40.5346/41.2703/88.01/126.5/189.8616/No Next Fib Ext/41.26,35.5/No Horizontal Support/36.9076/25.5985/No stop loss/No stop loss/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"AAPL, Long, 2026-06-16 (Price: 299.24)",No Exit Yet,"-1.1%, 1 day","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-06-16",Already confirmed,"2026-06-17 (Price: 295.95), 1.1% below",1 day,295.245,No Information,No Information,No Information,No Information,No Information,1.66% above/1.1% below/1.1% below,7.36%/0.65%/2.8%,"13.77%, 30.22%",3 months/6 days/18 days,2026-10-24/2026-06-24/2026-07-12,1.87%,16.62%,-14.75%,0.14,0.88,No Target/307.6187/395.51/No Horizontal Resistance/325.3828/462.6788/No EMA 200 Target,290.55/136.32/289.238/202.8031/No F-Track Level/No F-Track Level/267.53,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"ABNB, Long, 2026-06-16 (Price: 141.2)",No Exit Yet,"-0.47%, 1 day","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-06-16",Already confirmed,"2026-06-17 (Price: 140.54), 0.47% below",1 day,139.64,No Information,No Information,No Information,No Information,No Information,6.24% above/0.47% below/0.47% below,11.1%/1.63%/4.81%,"39.55%, 57.01%",3.7 months/6 days/1.4 month,2026-11-23/2026-06-24/2026-08-15,12.16%,-0.45%,12.61%,0.13,0.13,No Target/147.9917/144.66/178.025/223.5359/232.9937/No EMA 200 Target,129.1/99.795/124.5998/No stop loss/No F-Track Level/No F-Track Level/129.03,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2026-06-16 (Price: 25.27)",No Exit Yet,"-2.02%, 1 day","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-06-16",Already confirmed,"2026-06-17 (Price: 24.76), 2.02% below",1 day,24.95,No Information,No Information,No Information,No Information,No Information,2.44% above/2.02% below/2.02% below,6.63%/0.76%/4.24%,"0.81%, 14.63%",1.2 month/6 days/20 days,2026-08-07/2026-06-24/2026-07-14,11.62%,2.46%,9.16%,0.79,0.12,26.4678/26.3414/32.58/39.5717/40.717/49.3282/31.47,23.01/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
DELTADRIFT,"ADBE, Long, 2026-06-16 (Price: 207.32)",No Exit Yet,"-5.33%, 1 day","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-06-16",Already confirmed,"2026-06-17 (Price: 196.28), 5.33% below",1 day,205.34,No Information,No Information,No Information,No Information,No Information,No Information,6.2%/3.13%/4.43%,"13.81%, 15.77%",1.8 month/2 days/17 days,2026-09-02/2026-06-18/2026-07-10,5.99%,-8.13%,14.12%,0.15,-0.29,218.3702/216.5043/217.44/636.07/719.5145/812.9837/296.05,204.02/No Horizontal Support/180.1385/162.3922/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2026-06-15 (Price: 495.52)",No Exit Yet,"-0.86%, 2 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 491.28), 0.86% below",2 days,487.56,No Information,No Information,No Information,No Information,No Information,0.41% above/0.86% below/0.86% below,5.02%/0.7%/2.78%,"-0.0%, 7.4%",2.1 months/6 days/15 days,2026-09-14/2026-06-23/2026-07-06,13.57%,12.19%,1.38%,1.66,0.86,523.5664/509.2955/523.45/512.2133/630.85/709.9376/No EMA 200 Target,470.29/267.42/491.88/449.7662/No F-Track Level/No F-Track Level/490.39,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"SFTBY, Long, 2026-06-15 (Price: 23.07)",No Exit Yet,"-4.2%, 2 days","89.47%, Past 4 years, 19","Daily, is CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 22.1), 4.2% below",2 days,22.77,No Information,No Information,No Information,No Information,No Information,1.61% above/4.2% below/4.2% below,13.05%/0.37%/3.63%,"5.16%, 45.23%",4.9 months/6 days/1.8 month,2027-01-13/2026-06-23/2026-09-01,-2.91%,15.5%,-18.41%,0.43,0.7,No Target/23.9074/32.88/No Horizontal Resistance/23.8631/28.656/No EMA 200 Target,20.43/4.205/21.4583/19.7458/No F-Track Level/No F-Track Level/15.71,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MA, Long, 2026-06-15 (Price: 490.64)",No Exit Yet,"0.48%, 2 days","89.29%, Past 4 years, 28","Daily, is CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 492.99), 0.48% above",2 days,490.5,No Information,No Information,No Information,No Information,No Information,0.61% above/0.48% above/0.48% above,6.4%/0.68%/3.27%,"12.46%, 28.57%",3.5 months/6 days/1.3 month,2026-11-14/2026-06-23/2026-08-10,2.7%,6.98%,-4.28%,0.16,0.37,492.946/506.6839/516.78/592.095/716.5814/751.3605/536.28,471.55/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"ATZ.TO, Long, 2026-06-15 (Price: 173.2)",No Exit Yet,"-5.81%, 2 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 163.13), 5.81% below",2 days,171.75,No Information,No Information,No Information,No Information,No Information,3.2% below/5.81% below/5.81% below,17.51%/1.32%/8.15%,"50.85%, 58.96%",1.1 month/6 days/19 days,2026-08-01/2026-06-23/2026-07-12,-6.06%,29.52%,-35.58%,0.26,1.24,190.5373/187.3158/261.8/No Horizontal Resistance/179.9964/240.5577/No EMA 200 Target,134.25/31.98/153.3748/119.4832/No F-Track Level/No F-Track Level/115.6,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
