Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"PG, Long, 2026-05-22 (Price: 144.44)",Daily,No Exit Yet,149.16 (EMA 200),No Date Target,1.1%/1.75%,"3.19%, 19 days","2026-06-10 (Price: 149.05), 3.19% above",150.6943 (Historic Rise or Fall to Pivot)/151.66 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/152.9331 (Backtested Max),2026-11-29 (Max)/2026-07-17 (Avg),No Recent Minima/137.0167/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 6 years, 18",143.87,No Information,No Information,No Information,No Information,No Information,No Information,5.88%/0.19%/2.64%,"11.02%, 11.43%",4.4 months/6 days/1.3 month,5.36%,3.03%,2.33%,0.14,0.09,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2026-06-01 (Price: 140.28)",Daily,No Exit Yet,149.16 (EMA 200),No Date Target,1.53%/14.79%,"6.25%, 9 days","2026-06-10 (Price: 149.05), 6.25% above",151.3341 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/171.0995 (Backtested Max),2027-01-17 (Max)/2026-07-23 (Min)/2026-09-13 (Avg),138.04/137.0167/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"92.31%, Past 5 years, 13",141.52,"-3.76, 79.34%",No Information,No Information,No Information,No Information,No Information,21.97%/0.84%/7.88%,"3.1%, 11.76%",5.3 months/1.2 month/2.4 months,17.47%,6.21%,11.26%,0.87,0.33,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
SIGMASHELL,"PG, Long, 2026-04-07 (Price: 141.3)",Daily,No Exit Yet,149.16 (EMA 200),No Date Target,2.27%/15.63%,"5.48%, 2.1 months","2026-06-10 (Price: 149.05), 5.48% above",152.4344 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/172.3436 (Backtested Max),2026-11-23 (Max)/2026-07-20 (Avg),138.04/132.4233/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"92.31%, Past 5 years, 13",142.52,"-4.8, 62.5%",No Information,No Information,No Information,No Information,No Information,21.97%/0.84%/7.88%,"3.1%, 11.76%",5.3 months/1.2 month/2.4 months,17.47%,6.21%,11.26%,0.87,0.33,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
PULSEGAUGE,"PG, Long, 2026-04-23 (Price: 145.71)",Weekly,No Exit Yet,149.16 (EMA 200),No Date Target,9.11%/9.69%,"2.29%, 1.6 month","2026-06-10 (Price: 149.05), 2.29% above",163.4866 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/165.1477 (Backtested Max)/162.6269 (Backtested Min),2029-08-02 (Max)/2026-07-14 (Min)/2027-06-09 (Avg),142.71/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"84.21%, Past 25 years, 19",146.06,No Information,No Information,No Information,No Information,No Information,No Information,13.34%/11.61%/12.2%,"36.08%, 18.58%",2.3 years/1.9 month/9.5 months,5.16%,4.22%,0.94%,0.22,-0.35,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2026-05-01 (Price: 8.37)",Daily,No Exit Yet,No Price Target,2026-06-10 (Avg),5.55%/5.73%,"-1.31%, 1.3 month","2026-06-10 (Price: 8.26), 1.31% below",8.7333 (Historic Rise or Fall to Pivot)/8.7182 (Avg % Gain of Historic Winning trades)/8.86 (Function Specific Target)/8.953 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/9.0806 (Backtested Max),2026-11-21 (Max),8.15/7.0/7.3934/6.6643/No F-Track Level/No F-Track Level/8.08,"89.47%, Past 4 years, 38",8.25,No Information,No Information,No Information,No Information,No Information,0.12% above/1.31% below/1.31% below,8.49%/0.39%/4.16%,"6.37%, 18.81%",4.7 months/7 days/28 days,10.93%,4.6%,6.33%,0.64,0.22,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2026-03-01 (Price: 9.16)",Weekly,No Exit Yet,No Price Target,2026-06-13 (Avg),11.42%/18.23%,"-9.83%, 3.4 months","2026-06-10 (Price: 8.26), 9.83% below",9.9285 (Historic Rise or Fall to Pivot)/9.7655 (Avg % Gain of Historic Winning trades)/9.8 (Function Specific Target)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/10.4451 (Backtested Max)/9.2031 (Backtested Min),2026-07-31 (Max)/2026-06-13 (Avg),7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.97,"100.0%, Past 10 years, 22",8.85,No Information,No Information,No Information,No Information,No Information,6.98% below/9.83% below/9.83% below,14.03%/0.47%/6.61%,"-0.0%, 7.89%",3.5 months/28 days/2.4 months,10.76%,5.7%,5.06%,1.18,0.29,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2026-01-11 (Price: 8.54)",Weekly,No Exit Yet,No Price Target,2026-06-12 (Max),10.22%/12.06%,"-3.28%, 5 months","2026-06-10 (Price: 8.26), 3.28% below",9.2565 (Historic Rise or Fall to Pivot)/9.1045 (Avg % Gain of Historic Winning trades)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/9.7382 (Backtested Max),2026-06-12 (Max),7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.87,"100.0%, Past 10 years, 22",8.35,No Information,No Information,No Information,No Information,No Information,0.24% below/2.82% below/3.28% below,14.03%/0.47%/6.61%,"-0.0%, 7.89%",3.5 months/28 days/2.4 months,10.76%,5.7%,5.06%,1.18,0.29,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
DELTADRIFT,"AMZN, Long, 2026-06-09 (Price: 244.19)",Daily,No Exit Yet,No Price Target,2026-06-10 (Min),4.64%/8.1%,"-2.53%, 1 day","2026-06-10 (Price: 238.0), 2.53% below",258.8902 (Historic Rise or Fall to Pivot)/257.2786 (Avg % Gain of Historic Winning trades)/258.08 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/270.5137 (Backtested Max)/249.0494 (Backtested Min),2026-07-16 (Max)/2026-06-23 (Avg),199.34/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/232.39,"80.0%, Past 4 years, 15",247.7,No Information,No Information,No Information,No Information,No Information,No Information,10.78%/1.99%/5.36%,"17.68%, 17.68%",26 days/1 day/10 days,8.03%,7.36%,0.67%,0.2,0.38,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-05-03 (Price: 268.26)",Weekly,No Exit Yet,No Price Target,2026-06-12 (Min),15.15%/15.36%,"-11.28%, 1.3 month","2026-06-10 (Price: 238.0), 11.28% below",290.0427 (Historic Rise or Fall to Pivot)/295.3543 (Avg % Gain of Historic Winning trades)/274.06 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/329.9061 (Backtested Max)/274.5641 (Backtested Min),2027-11-27 (Max)/2026-06-12 (Min)/2026-12-01 (Avg),198.79/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/227.38,"88.0%, Past 10 years, 25",263.46,No Information,No Information,No Information,No Information,No Information,5.01% below/10.21% below/11.28% below,22.98%/2.35%/10.1%,"25.73%, 54.83%",1.1 year/28 days/4.9 months,8.88%,16.61%,-7.73%,0.22,0.84,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
FRACTAL TRACK,"BABA, Long, 2026-04-26 (Price: 135.82)",Weekly,2026-06-07 (Price: 121.06),No Price Target,No Date Target,28.91%/29.74%,"-15.05%, 1.5 month","2026-06-10 (Price: 115.38), 15.05% below",148.7365 (Historic Rise or Fall to Pivot)/166.4474 (Avg % Gain of Historic Winning trades)/184.9 (Function Specific Target)/181.595 (Horizontal)/399.1612 (F-Stack 1)/524.2534 (F-Stack 2)/149.69 (EMA 200)/180.5319 (Backtested Max)/158.1624 (Backtested Min),2028-01-11 (Max)/2026-07-04 (Min)/2026-12-20 (Avg),122.05/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 11 years, 9",140.465,No Information,No Information,No Information,"38.2% (Price: 117.1824), 1.54% below, Upmove Bounce Back","2024-01-28 (Price: 66.63), 2025-03-23 (Price: 148.43)",No Information,32.92%/16.45%/22.55%,"-0.0%, 31.31%",1.2 year/1.6 month/5.5 months,16.77%,2.08%,14.69%,1.15,0.18,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
