Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-08-10 (Price: 247.39)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,109.44%/125.49%,"-51.83%, 9.6 months","2026-05-25 (Price: 119.18), 51.83% below",277.5221 (Historic Rise or Fall to Pivot)/268.7398 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/309.6828 (Backtested Max)/249.6165 (Backtested Min),2026-07-30 (Max),236.22/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",276.0,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-07-06 (Price: 271.86)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,146.04%/146.04%,"-56.16%, 10.8 months","2026-05-25 (Price: 119.18), 56.16% below",304.9725 (Historic Rise or Fall to Pivot)/295.3215 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/340.3143 (Backtested Max),2026-06-25 (Max),236.22/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",272.38,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-06-29 (Price: 271.15)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,146.04%/146.04%,"-56.05%, 11 months","2026-05-25 (Price: 119.18), 56.05% below",304.1761 (Historic Rise or Fall to Pivot)/294.5502 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/339.4256 (Backtested Max),2026-06-18 (Max),236.22/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",266.22,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
TRENDPULSE,"SUNPHARMA.NS, Long, 2026-05-15 (Price: 1878.2)",Daily,No Exit Yet,No Price Target,2026-05-26 (Min),5.14%/5.26%,"-2.0%, 10 days","2026-05-25 (Price: 1840.6), 2.0% below",2062.8271 (Historic Rise or Fall to Pivot)/1937.3633 (Avg % Gain of Historic Winning trades)/1935.175 (Horizontal)/2110.5488 (F-Stack 1)/2409.4589 (F-Stack 2)/2099.0763 (Backtested Max),2027-02-04 (Max)/2026-05-26 (Min)/2026-06-23 (Avg),1620.4/797.125/1465.6767/925.6338/No F-Track Level/No F-Track Level/1707.27,"92.0%, Past 4 years, 25",1874.0,No Information,No Information,No Information,No Information,No Information,1.21% below/2.0% below/2.0% below,11.76%/1.18%/3.15%,"2.03%, 13.23%",6.1 months/8 days/27 days,17.09%,17.72%,-0.63%,0.9,1.14,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"SUNPHARMA.NS, Long, 2026-03-01 (Price: 1737.0)",Weekly,2026-05-25 (Price: 1840.6),No Price Target,No Date Target,1.65%/5.09%,"5.96%, 2.8 months","2026-05-25 (Price: 1840.6), 5.96% above",1934.3232 (Avg % Gain of Historic Winning trades)/1871.01 (Function Specific Target)/1935.175 (Horizontal)/2110.5488 (F-Stack 1)/2409.4589 (F-Stack 2)/2017.1781 (Backtested Max),2027-03-31 (Max)/2026-08-21 (Avg),1595.3/727.775/1465.6767/925.6338/No F-Track Level/No F-Track Level/1688.06,"95.65%, Past 10 years, 23",1732.9,No Information,No Information,No Information,No Information,No Information,6.74% above/5.96% above/5.96% above,16.13%/4.32%/11.36%,"35.87%, 59.81%",9.1 months/1.2 month/4 months,2.25%,10.55%,-8.3%,0.46,0.56,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"SUNPHARMA.NS, Long, 2026-01-11 (Price: 1729.9)",Weekly,2026-05-25 (Price: 1840.6),No Price Target,No Date Target,1.5%/4.66%,"6.4%, 4.5 months","2026-05-25 (Price: 1840.6), 6.4% above",1926.4166 (Avg % Gain of Historic Winning trades)/1868.17 (Function Specific Target)/1935.175 (Horizontal)/2110.5488 (F-Stack 1)/2409.4589 (F-Stack 2)/2008.9329 (Backtested Max),2027-02-10 (Max)/2026-07-03 (Avg),1586.7/727.775/1465.6767/925.6338/No F-Track Level/No F-Track Level/1698.45,"95.65%, Past 10 years, 23",1728.0,No Information,No Information,No Information,No Information,No Information,6.52% above/6.4% above/6.4% above,16.13%/4.32%/11.36%,"35.87%, 59.81%",9.1 months/1.2 month/4 months,2.25%,10.55%,-8.3%,0.46,0.56,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"SUNPHARMA.NS, Long, 2025-11-23 (Price: 1779.7)",Weekly,2026-05-25 (Price: 1840.6),No Price Target,No Date Target,2.58%/5.14%,"3.42%, 6.1 months","2026-05-25 (Price: 1840.6), 3.42% above",1981.8739 (Avg % Gain of Historic Winning trades)/1888.09 (Function Specific Target)/1935.175 (Horizontal)/2110.5488 (F-Stack 1)/2409.4589 (F-Stack 2)/2066.7656 (Backtested Max),2026-12-23 (Max),1586.7/653.55/1465.6767/925.6338/No F-Track Level/No F-Track Level/1683.31,"95.65%, Past 10 years, 23",1765.8,No Information,No Information,No Information,No Information,No Information,4.75% above/3.17% above/3.42% above,16.13%/4.32%/11.36%,"35.87%, 59.81%",9.1 months/1.2 month/4 months,2.25%,10.55%,-8.3%,0.46,0.56,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2026-05-14 (Price: 397.17)",Daily,No Exit Yet,No Price Target,2026-05-22 (Min),4.81%/10.04%,"-4.48%, 8 days","2026-05-22 (Price: 379.38), 4.48% below",417.4654 (Avg % Gain of Historic Winning trades)/589.51 (Function Specific Target)/505.0904 (F-Stack 1)/561.7053 (F-Stack 2)/439.7863 (Backtested Max)/397.6466 (Backtested Min),2026-09-03 (Max)/2026-06-25 (Avg),273.14/84.51/365.3613/345.4418/No F-Track Level/No F-Track Level/290.27,"100.0%, Past 4 years, 20",393.79,No Information,No Information,No Information,No Information,No Information,4.93% below/4.48% below/4.48% below,10.73%/0.12%/5.11%,"-0.0%, 25.37%",2.6 months/6 days/29 days,19.91%,22.22%,-2.31%,1.44,1.16,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-11-30 (Price: 320.12)",Weekly,2026-05-17 (Price: 393.32),No Price Target,2026-05-22 (Max),28.76%,"18.51%, 5.8 months","2026-05-22 (Price: 379.38), 18.51% above",488.5 (Function Specific Target),No Next Date Target,147.74/84.51/240.3589/219.0619/No F-Track Level/No F-Track Level/203.2,"100.0%, Past 10 years, 20",311.01,No Information,No Information,No Information,No Information,No Information,26.61% above/18.51% above/18.51% above,19.02%/4.43%/10.08%,"-0.0%, 15.08%",4 months/1.2 month/1.7 month,13.59%,17.02%,-3.43%,1.76,0.92,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
SIGMASHELL,"GOOG, Long, 2026-03-02 (Price: 306.36)",Daily,2026-05-21 (Price: 383.47),No Price Target,No Date Target,4.49%,"23.83%, 2.7 months","2026-05-22 (Price: 379.38), 23.83% above",396.4298 (Backtested Max),2026-08-22 (Max)/2026-06-22 (Avg),302.82/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/296.03,"100.0%, Past 5 years, 11",302.965,"-3.95, 85.0%",No Information,No Information,No Information,No Information,No Information,29.4%/0.45%/12.07%,"-0.0%, 17.88%",4 months/1.2 month/2.6 months,26.27%,17.58%,8.69%,1.07,0.9,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
