"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MAZDOCK.NS, Long, 2026-06-07 (Price: 2423.1001)",No Exit Yet,"5.34%, 10 days","^NSEI, Normal Case",2026-05-24 (Price: 2380.0),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-06-07",Already confirmed,"2026-06-17 (Price: 2552.3999), 5.34% above",10 days,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2027-05-07/2026-09-06/2026-12-06,92.6%,54.38%,38.22%,0.78,2.08,3618.4154/3850.0637/3563.3046/2588.15/3563.3046/3898.3519/2562.26,2162.9/112.6583/1693.9315/1173.5389/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2464.8999
"TRI.TO, Long, 2026-06-07 (Price: 120.12)",No Exit Yet,"-6.71%, 10 days","^GSPC, Normal Case",2026-05-31 (Price: 113.52),"82.14%, Past 10 years, 112","Weekly, was CONFIRMED on 2026-06-07",Already confirmed,"2026-06-17 (Price: 112.06), 6.71% below",10 days,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,2027-05-27/2026-09-06/2026-11-10,22.88%,5.43%,17.45%,0.6,0.27,134.7506/130.4864/293.2329/240.8933/293.2329/376.0577/163.89,114.06/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),118.86
"^GSPC, Long, 2026-04-19 (Price: 7126.0601)",2026-06-17 (Price: 7420.1001),"4.13%, 2 months","^DJI, Normal Case",2025-12-21 (Price: 6720.4302),"83.53%, Past 10 years, 85","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-06-17 (Price: 7420.1001), 4.13% above",2 months,21.88%/0.33%/6.65%,"14.2%, 31.81%",9.8 months/2.1 months/4.2 months,2027-06-18/2026-07-19/2026-10-18,14.58%,9.27%,5.31%,0.52,0.62,7704.6962/7599.9431/9765.5661/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6897.21,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),6806.4702
"^GSPC, Long, 2026-03-01 (Price: 6878.8799)",2026-06-17 (Price: 7420.1001),"7.87%, 3.6 months","^DJI, Normal Case",2026-02-22 (Price: 6775.5),"83.53%, Past 10 years, 85","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-06-17 (Price: 7420.1001), 7.87% above",3.6 months,21.88%/0.33%/6.65%,"14.2%, 31.81%",9.8 months/2.1 months/4.2 months,2027-04-30/2026-05-31/2026-08-30,14.58%,9.27%,5.31%,0.52,0.62,7437.4449/7336.3254/9765.5661/No Horizontal Resistance/9765.5661/10911.139/6897.21,6836.17/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),6901.25
"QQQ, Long, 2026-02-08 (Price: 609.65)",2026-06-17 (Price: 722.51),"18.51%, 4.3 months","^GSPC, Normal Case",2021-03-28 (Price: 307.39),"86.49%, Past 10 years, 74","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-06-17 (Price: 722.51), 18.51% above",4.3 months,44.95%/0.81%/10.22%,"13.49%, 27.25%",7 months/2.1 months/3.8 months,2026-12-09/2026-05-10/2026-07-23,23.84%,13.95%,9.89%,0.8,0.91,684.8198/671.9562/836.2536/No Horizontal Resistance/836.2536/910.0135/627.76,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),618.7
"^NDX, Long, 2026-02-08 (Price: 25075.7695)",2026-06-17 (Price: 29670.9473),"18.33%, 4.3 months","^GSPC, Normal Case",2021-03-28 (Price: 12627.9297),"85.71%, Past 10 years, 70","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-06-17 (Price: 29670.9473), 18.33% above",4.3 months,44.87%/0.79%/10.12%,"13.31%, 27.32%",7.2 months/2.1 months/3.9 months,2026-12-17/2026-05-10/2026-07-27,22.21%,13.97%,8.24%,0.8,0.91,28180.1498/27613.4374/33965.62/No Horizontal Resistance/33965.62/36701.6323/25795.98,17397.7/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),25491.6406
"SPY, Long, 2026-02-08 (Price: 690.62)",2026-06-17 (Price: 740.96),"7.29%, 4.3 months","^GSPC, Tangent Case",2021-03-14 (Price: 381.42),"84.21%, Past 10 years, 19","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-06-17 (Price: 740.96), 7.29% above",4.3 months,7.13%/0.46%/4.0%,"5.53%, 12.25%",4.9 months/2.1 months/3.5 months,2026-09-08/2026-05-10/2026-07-10,6.25%,9.24%,-2.99%,0.53,0.62,744.0049/718.2448/969.1148/No Horizontal Resistance/969.1148/1522.3697/No EMA 200 Target,505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/687.83,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),689.58
"QQQ, Long, 2026-02-01 (Price: 621.87)",2026-06-17 (Price: 722.51),"16.18%, 4.5 months","^GSPC, Normal Case",2026-01-18 (Price: 614.56),"86.49%, Past 10 years, 74","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-06-17 (Price: 722.51), 16.18% above",4.5 months,44.95%/0.81%/10.22%,"13.49%, 27.25%",7 months/2.1 months/3.8 months,2026-12-02/2026-05-03/2026-07-16,23.84%,13.95%,9.89%,0.8,0.91,698.5466/685.4251/836.2536/No Horizontal Resistance/836.2536/910.0135/627.76,422.67/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),623.21
"^NDX, Long, 2026-02-01 (Price: 25552.3906)",2026-06-17 (Price: 29670.9473),"16.12%, 4.5 months","^GSPC, Normal Case",2026-01-18 (Price: 25266.1992),"85.71%, Past 10 years, 70","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-06-17 (Price: 29670.9473), 16.12% above",4.5 months,44.87%/0.79%/10.12%,"13.31%, 27.32%",7.2 months/2.1 months/3.9 months,2026-12-10/2026-05-03/2026-07-20,22.21%,13.97%,8.24%,0.8,0.91,28715.7766/28138.2925/33965.62/No Horizontal Resistance/33965.62/36701.6323/25795.98,17397.7/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),25631.0098
