"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GLD, Long, 2026-05-06 (Price: 430.96)",No Exit Yet,"0.0%, 0 days","84.62%, Past 6 years, 13","Daily, is Confirmed on 2026-05-06",No Cancellation Possible,"2026-05-06 (Price: 430.96), 0.0% below",0 days,2026-04-29 (Price: 414.17)/2026-05-04 (Price: 413.2801),23 days/2 days/10 days,8.13%/0.35%/3.13%,"11.51%, 12.05%",2.7 months/7 days/26 days,2026-08-31/2026-05-16/2026-06-12,4.72%,11.73%,-7.01%,0.07,0.83,446.8193/444.449/452.51/No Horizontal Resistance/581.2346/868.6914/No EMA 200 Target,No Recent Minima/150.8/403.5768/293.7778/428.9248/379.2852/393.21,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),430.15
"USDCHF=X, Long, 2026-05-04 (Price: 0.7811)",2026-05-06 (Price: 0.7814),"0.04%, 2 days","100.0%, Past 6 years, 18","Daily, is Confirmed on 2026-05-04",No Cancellation Possible,"2026-05-06 (Price: 0.7814), 0.04% above",2 days,2026-04-15 (Price: 0.7809)/2026-04-20 (Price: 0.7774),1.1 month/2 days/10 days,2.33%/0.05%/0.76%,"-0.0%, 1.59%",28 days/3 days/11 days,2026-06-13/2026-05-08/2026-05-19,5.78%,-2.56%,8.34%,0.92,-0.99,0.797/0.787/0.82/1.0105/1.3738/1.5145/0.79,No Recent Minima/0.7787/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),0.7812
"PPH, Long, 2026-05-01 (Price: 102.3194)",No Exit Yet,"-0.09%, 5 days","100.0%, Past 6 years, 12","Daily, is Confirmed on 2026-05-01",No Cancellation Possible,"2026-05-06 (Price: 102.23), 0.09% below",5 days,2026-03-19 (Price: 101.63)/2026-03-20 (Price: 100.2),22 days/1 day/8 days,7.14%/0.11%/2.85%,"-0.0%, 7.66%",4 months/6 days/1 month,2026-10-21/2026-05-09/2026-06-13,8.22%,6.5%,1.72%,0.77,0.41,105.389/105.2355/107.44/No Horizontal Resistance/120.2747/126.127/No EMA 200 Target,No Recent Minima/72.54/100.0174/96.0365/No F-Track Level/No F-Track Level/98.32,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),102.35
"^TNX, Long, 2026-04-28 (Price: 4.354)",2026-05-01 (Price: 4.378),"0.55%, 3 days","80.95%, Past 6 years, 21","Daily, is Confirmed on 2026-04-28",No Cancellation Possible,"2026-05-06 (Price: 4.356), 0.05% above",8 days,2026-04-15 (Price: 4.264)/2026-04-20 (Price: 4.244),14 days/1 day/5 days,14.93%/0.12%/4.91%,"15.47%, 15.47%",2 months/2 days/18 days,2026-07-23/2026-04-30/2026-05-24,8.77%,25.44%,-16.67%,0.2,1.12,4.7145/4.5678/4.57/4.6918/17.4008/18.8284/No EMA 200 Target,No Recent Minima/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.18,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),4.371
"RELIANCE.NS, Long, 2026-04-01 (Price: 1369.2)",2026-05-04 (Price: 1463.1),"6.86%, 1.1 month","95.0%, Past 6 years, 20","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-05-06 (Price: 1437.9), 5.02% above",1.2 month,2026-02-27 (Price: 1388.1)/2026-03-04 (Price: 1307.0),15 days/2 days/7 days,13.75%/0.08%/3.14%,"11.14%, 12.26%",4 months/2 days/23 days,2026-09-21/2026-04-03/2026-05-04,11.49%,9.08%,2.41%,0.46,0.51,1438.3446/1412.1929/1437.66/1610.3/1879.7264/2065.5547/1435.11,No Recent Minima/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),1384.2
"ARM, Short, 2026-04-29 (Price: 201.69)",2026-05-06 (Price: 237.3),"-17.66%, 7 days","100.0%, Past 2 years, 4","Daily, is Confirmed on 2026-04-29",No Cancellation Possible,"2026-05-06 (Price: 237.3), 17.66% above",7 days,2026-04-22 (Price: 196.66)/2026-04-24 (Price: 237.68),14 days/5 days/8 days,5.76%/2.2%/3.92%,"0.0%, 10.51%",12 days/3 days/7 days,2026-05-16/2026-05-03/2026-05-09,15.68%,3.67%,12.01%,2.04,1.35,173.1509/193.7838/183.47/165.49/155.9428/122.7432/142.15,No Recent Maxima/No Horizontal Resistance/209.6611/292.8214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/17/17 days (Across ALL Assets),72.5%/80/1.4 month (Across ALL Assets),202.71
