"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MAZDOCK.NS, Long, 2026-05-03 (Price: 2738.0)",No Exit Yet,"-3.41%, 3 days","^NSEI, Normal Case",2026-04-26 (Price: 2578.0),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-05-03",Already confirmed,"2026-05-06 (Price: 2644.5), 3.41% below",3 days,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2027-04-02/2026-08-02/2026-11-01,92.6%,54.38%,38.22%,0.78,2.08,4088.6554/4350.4082/4314.534/No Horizontal Resistance/4314.534/5706.0825/No EMA 200 Target,2162.9/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/2615.5,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2690.0
"^GSPC, Long, 2026-05-03 (Price: 7230.1201)",No Exit Yet,"1.87%, 3 days","^DJI, Normal Case",2026-04-26 (Price: 7046.5498),"83.53%, Past 10 years, 85","Weekly, was CONFIRMED on 2026-05-03",Already confirmed,"2026-05-06 (Price: 7365.1201), 1.87% above",3 days,21.88%/0.33%/6.65%,"14.2%, 31.81%",9.8 months/2.1 months/4.2 months,2027-07-02/2026-08-02/2026-11-01,14.58%,9.27%,5.31%,0.52,0.62,7817.2059/7710.9231/9765.5661/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6743.07,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),7152.7202
