"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"WCN.TO, Long, 2026-05-11 (Price: 206.55)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 206.55), 0.0% below",0 days,3.62%/1.58%/2.24%,"6.39%, 7.15%",1.3 month/2 days/14 days,2026-07-06/2026-05-13/2026-05-31,5.54%,5.19%,0.35%,0.17,0.27,215.9893/211.1767/213.58/252.7/354.4788/566.6704/236.66,No Recent Minima/148.255/142.2872/92.1958/No stop loss/No stop loss/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),208.33
"VGT, Long, 2026-05-11 (Price: 113.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 6","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 78.1814 or above 415.8905 prior to 2026-05-15,"2026-05-11 (Price: 113.72), 0.0% below",0 days,11.08%/7.01%/9.17%,"-0.0%, 4.8%",1.2 month/7 days/19 days,2026-07-02/2026-05-21/2026-06-07,9.89%,2.33%,7.56%,1.84,0.31,146.2894/124.1481/135.22/704.335/No Next Fib Ext/No Next Fib Ext/691.03,104.16/No Horizontal Support/105.1824/84.9412/No stop loss/No stop loss/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),112.41
"WPM.TO, Long, 2026-05-01 (Price: 170.85)",2026-05-06 (Price: 183.43),"7.36%, 5 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-11 (Price: 196.75), 15.16% above",10 days,11.19%/1.64%/4.97%,"11.96%, 12.04%",29 days/1 day/10 days,2026-06-12/2026-05-02/2026-05-15,5.72%,17.71%,-11.99%,0.14,0.89,181.1864/179.3412/180.26/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,170.84/52.782/158.548/146.049/No F-Track Level/No F-Track Level/165.02,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),170.43
"MCD, Long, 2026-04-30 (Price: 293.59)",2026-05-08 (Price: 275.75),"-6.08%, 8 days","70.59%, Past 4 years, 17","Daily, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-11 (Price: 274.6), 6.47% below",11 days,4.76%/1.35%/2.71%,"6.54%, 6.94%",13 days/1 day/7 days,2026-05-18/2026-05-01/2026-05-10,3.8%,2.75%,1.05%,0.03,0.06,312.3798/301.5463/306.96/321.444/370.0426/590.3302/309.01,290.08/230.37/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),290.55
"RELIANCE.NS, Long, 2026-04-12 (Price: 1350.2)",2026-05-03 (Price: 1436.0),"6.35%, 21 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-05-11 (Price: 1388.2), 2.81% above",29 days,14.48%/4.43%/7.74%,"0%, 10.35%",6.1 months/7 days/1.9 month,2027-01-02/2026-04-22/2026-07-03,8.42%,9.28%,-0.86%,1.5,0.5,1752.4246/1454.7055/1603.57/1610.3/1879.7264/2065.5547/1434.09,1348.1/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),1359.0
"SJ.TO, Long, 2026-04-10 (Price: 85.89)",2026-05-06 (Price: 77.01),"-10.34%, 26 days","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-04-10",Already confirmed,"2026-05-11 (Price: 72.07), 16.09% below",1 month,4.21%/1.58%/2.82%,"16.04%, 17.5%",23 days/1 day/6 days,2026-05-13/2026-04-11/2026-04-18,1.72%,7.05%,-5.33%,-0.14,0.37,90.3735/88.3121/89.34/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,85.13/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/85.19,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),87.17
"ORCL, Long, 2026-02-15 (Price: 160.14)",2026-05-10 (Price: 195.95),"22.36%, 2.8 months","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-05-11 (Price: 193.84), 21.04% above",2.8 months,15.74%/12.23%/13.73%,"20.01%, 25.53%",2.7 months/7 days/1.2 month,2026-06-12/2026-02-25/2026-04-08,6.28%,8.05%,-1.77%,0.4,0.41,208.3742/182.1272/195.25/No Horizontal Resistance/300.069/376.1425/210.74,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),148.49
"EEM, Short, 2026-05-11 (Price: 67.89)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 4 years, 5","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 67.89), 0.0% below",0 days,2.22%/0.6%/1.3%,"2.94%, 2.47%",13 days/1 day/7 days,2026-05-29/2026-05-12/2026-05-21,4.35%,3.82%,0.53%,0.18,0.05,63.5518/67.0074/65.28/37.485/58.9308/54.2403/56.03,67.94/No Horizontal Resistance/No stop loss/69.5308/No stop loss/No stop loss/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),67.83
"AMZN, Short, 2026-05-07 (Price: 271.17)",No Exit Yet,"0.8%, 4 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-05-07",Already confirmed,"2026-05-11 (Price: 268.99), 0.8% below",4 days,5.38%/0.94%/2.55%,"6.23%, 7.98%",17 days/3 days/9 days,2026-05-31/2026-05-11/2026-05-20,4.88%,3.82%,1.06%,0.24,0.38,262.7095/264.2552/263.48/86.995/231.81/213.1321/228.71,274.99/No Horizontal Resistance/317.6152/339.3352/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),275.0
"NVO, Short, 2026-05-07 (Price: 45.8)",No Exit Yet,"-1.31%, 4 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-05-07",Already confirmed,"2026-05-11 (Price: 46.4), 1.31% above",4 days,4.23%/1.28%/2.5%,"4.83%, 4.23%",4 days/1 day/1 day,2026-05-12/2026-05-08/2026-05-08,6.4%,3.82%,2.58%,0.48,0.18,43.9451/44.655/44.3/45.4025/45.3824/37.3162/No EMA 200 Target,49.57/139.01/157.4212/211.8775/No F-Track Level/No F-Track Level/49.43,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),46.55
