"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SJ.TO, Long, 2026-05-04 (Price: 81.45)",No Exit Yet,"0.0%, 0 days","71.43%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 79.7348 or above 81.5936 prior to 2026-05-08,"2026-05-04 (Price: 81.45), 0.0% below",0 days,10.34%/4.61%/7.46%,"13.98%, 15.76%",5.6 months/14 days/2.6 months,2027-01-02/2026-05-24/2026-08-24,3.75%,11.05%,-7.3%,0.05,0.61,88.7642/87.5262/88.15/84.3925/108.5192/133.8092/85.32,76.55/38.015/50.2755/47.8005/No stop loss/77.1771/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),82.0
"WPM.TO, Long, 2026-05-01 (Price: 170.85)",No Exit Yet,"-1.07%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 169.03), 1.07% below",3 days,11.19%/1.64%/4.97%,"11.96%, 12.04%",29 days/1 day/10 days,2026-06-12/2026-05-02/2026-05-15,5.76%,19.21%,-13.45%,0.25,0.97,180.1272/179.3412/179.73/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,170.84/52.782/158.548/146.049/No F-Track Level/No F-Track Level/163.55,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),170.43
"SPOT, Long, 2026-05-01 (Price: 441.51)",No Exit Yet,"-0.74%, 3 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-04 (Price: 438.26), 0.74% below",3 days,14.75%/3.67%/8.98%,"16.71%, 16.71%",1.3 month/1 day/9 days,2026-06-26/2026-05-02/2026-05-14,6.66%,8.86%,-2.2%,0.25,0.46,464.3802/481.1576/472.77/No Horizontal Resistance/854.3544/922.2645/590.33,434.2/118.6/433.8097/410.2623/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),450.785
"MCD, Long, 2026-04-30 (Price: 293.59)",No Exit Yet,"-3.23%, 4 days","75.0%, Past 4 years, 16","Daily, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-04 (Price: 284.1), 3.23% below",4 days,4.76%/1.35%/2.71%,"6.54%, 6.54%",13 days/1 day/7 days,2026-05-18/2026-05-01/2026-05-10,5.25%,4.1%,1.15%,0.27,0.18,310.9412/301.5463/306.24/321.444/370.0426/590.3302/309.41,290.08/230.37/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),290.55
"PPH, Long, 2026-04-28 (Price: 99.73)",2026-04-30 (Price: 101.85),"2.13%, 2 days","81.25%, Past 4 years, 16","Daily, was CONFIRMED on 2026-04-28",Already confirmed,"2026-05-04 (Price: 102.12), 2.4% above",6 days,3.67%/1.34%/2.05%,"7.38%, 7.38%",20 days/2 days/6 days,2026-05-26/2026-04-30/2026-05-06,6.09%,5.66%,0.43%,0.4,0.33,104.7165/101.7745/103.25/No Horizontal Resistance/120.2747/126.127/No EMA 200 Target,99.43/72.54/96.0365/87.7591/No F-Track Level/No F-Track Level/98.16,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),99.78
"MFT.NZ, Long, 2026-04-05 (Price: 58.99)",2026-05-04 (Price: 61.5),"4.25%, 29 days","88.89%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-05-04 (Price: 61.5), 4.25% above",29 days,13.39%/6.64%/8.98%,"14.48%, 14.87%",21 days/7 days/12 days,2026-05-05/2026-04-15/2026-04-22,11.35%,9.03%,2.32%,0.47,0.51,65.4258/64.2873/64.86/85.45/105.252/119.9356/63.24,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),58.89
"BDGI.TO, Long, 2026-03-11 (Price: 64.46)",2026-05-01 (Price: 78.36),"21.56%, 1.7 month","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-05-04 (Price: 80.22), 24.45% above",1.8 month,7.41%/3.8%/5.01%,"11.11%, 11.11%",11 days/1 day/6 days,2026-03-26/2026-03-12/2026-03-19,4.4%,6.0%,-1.6%,0.12,0.31,68.2954/67.6894/67.99/No Horizontal Resistance/79.9248/84.3122/66.64,64.31/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),64.43
"WFG.TO, Long, 2026-02-25 (Price: 88.81)",2026-05-04 (Price: 81.01),"-8.78%, 2.3 months","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-05-04 (Price: 81.01), 8.78% below",2.3 months,7.22%/2.44%/4.18%,"15.92%, 15.92%",28 days/2 days/10 days,2026-04-06/2026-02-27/2026-03-11,6.21%,-0.85%,7.06%,0.27,-0.02,93.0906/92.5223/92.81/131.52/170.6139/181.1797/92.39,81.56/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),90.02
"QQQ, Short, 2026-05-04 (Price: 672.88)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-04 (Price: 672.88), 0.0% below",0 days,1.64%/0.69%/1.03%,"2.57%, 1.72%",6 days/1 day/3 days,2026-05-12/2026-05-05/2026-05-08,4.6%,3.82%,0.78%,0.34,0.47,662.2485/665.9493/664.1/256.995/634.1966/578.1694/604.64,674.15/No Horizontal Resistance/768.7753/903.4157/No stop loss/No stop loss/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),674.64
"^NDX, Short, 2026-05-04 (Price: 27651.8184)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-04 (Price: 27651.8184), 0.0% below",0 days,1.44%/0.71%/1.02%,"0%, 1.75%",6 days/1 day/3 days,2026-05-12/2026-05-05/2026-05-08,5.45%,3.82%,1.63%,0.8,0.46,27156.8509/27369.7699/27263.31/10555.915/25849.2/22960.0831/24846.61,27710.36/No Horizontal Resistance/31443.3312/34778.0694/No stop loss/No stop loss/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),27731.3418
