"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"USCI, Long, 2026-06-17 (Price: 93.5401)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-06-17",Already confirmed,"2026-06-17 (Price: 93.5401), 0.0% below",0 days,4.2%/1.48%/2.63%,"7.63%, 8.04%",22 days/1 day/10 days,2026-07-18/2026-06-18/2026-07-01,8.12%,13.45%,-5.33%,0.45,0.95,101.5939/96.0002/98.8/No Horizontal Resistance/107.1436/112.9927/No EMA 200 Target,91.98/51.03/90.2685/81.0354/92.4202/85.9616/85.71,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),94.24
"ETH-USD, Long, 2026-06-17 (Price: 1794.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 1758.7336 or above 1794.45 prior to 2026-06-19,"2026-06-17 (Price: 1794.45), 0.0% below",0 days,33.31%/13.05%/23.33%,"0%, 21.37%",1.6 month/14 days/1.1 month,2026-08-25/2026-07-07/2026-08-03,28.57%,18.28%,10.29%,2.73,0.93,2570.1907/2213.0952/2391.64/4922.7188/5483.4169/5888.6495/2426.77,1589.72/1370.4997/No F-Stack Support/No F-Stack Support/1793.4297/No stop loss/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),1724.4359
"ADBE, Long, 2026-06-16 (Price: 207.32)",No Exit Yet,"-5.33%, 1 day","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-06-16",Already confirmed,"2026-06-17 (Price: 196.28), 5.33% below",1 day,6.2%/3.13%/4.43%,"13.81%, 15.77%",1.8 month/2 days/17 days,2026-09-02/2026-06-18/2026-07-10,5.99%,-8.13%,14.12%,0.15,-0.29,218.3702/216.5043/217.44/636.07/719.5145/812.9837/296.05,204.02/No Horizontal Support/180.1385/162.3922/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),205.34
"BABA, Long, 2026-06-15 (Price: 112.55)",No Exit Yet,"-4.54%, 2 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 107.44), 4.54% below",2 days,12.26%/1.81%/6.36%,"17.99%, 17.99%",1.2 month/1 day/16 days,2026-08-06/2026-06-16/2026-07-08,12.7%,-7.18%,19.88%,0.41,-0.05,125.3694/119.7082/122.54/181.595/399.1612/524.2534/149.34,103.83/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),112.66
"BYDDY, Long, 2026-06-15 (Price: 10.94)",No Exit Yet,"-4.94%, 2 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 10.4), 4.94% below",2 days,42.06%/3.25%/9.48%,"19.69%, 23.05%",28 days/5 days/13 days,2026-07-25/2026-06-22/2026-07-03,9.52%,10.73%,-1.21%,0.19,0.52,12.3753/11.9771/12.18/14.0754/17.0759/19.2153/12.78,No Recent Minima/7.1633/9.6555/8.3057/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),10.94
"HDB, Long, 2026-06-14 (Price: 24.17)",No Exit Yet,"2.44%, 3 days","100.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-17 (Price: 24.76), 2.44% above",3 days,16.81%/7.65%/10.25%,"0%, 13.44%",2.1 months/7 days/1.2 month,2026-09-13/2026-06-24/2026-08-05,14.56%,5.46%,9.1%,3.35,0.27,26.9133/26.6474/26.78/39.5717/40.717/49.3282/31.42,23.41/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),23.29
"HDFCBANK.NS, Long, 2026-06-14 (Price: 772.45)",No Exit Yet,"1.9%, 3 days","83.33%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-17 (Price: 787.1), 1.9% above",3 days,11.71%/4.83%/8.43%,"12.08%, 16.27%",2.3 months/7 days/1.4 month,2026-09-21/2026-06-24/2026-08-13,8.13%,9.43%,-1.3%,0.53,0.56,832.1604/837.5675/834.86/1009.6/1098.0619/1180.6259/903.43,744.55/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),738.0
"IEI, Long, 2026-06-14 (Price: 117.21)",No Exit Yet,"-0.26%, 3 days","75.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-17 (Price: 116.9), 0.26% below",3 days,1.55%/0.43%/0.87%,"4.66%, 5.44%",3.5 months/7 days/1.5 month,2026-11-13/2026-06-24/2026-08-18,2.93%,0.05%,2.88%,-0.34,-1.21,No Target/118.2297/117.52/119.6711/No Next Fib Ext/No Next Fib Ext/119.05,116.73/113.8775/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),116.89
"META, Long, 2026-06-12 (Price: 566.98)",2026-06-15 (Price: 593.48),"4.67%, 3 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-06-12",Already confirmed,"2026-06-17 (Price: 567.58), 0.11% above",5 days,14.76%/3.27%/7.32%,"19.19%, 19.41%",1.4 month/1 day/16 days,2026-08-11/2026-06-13/2026-07-05,3.38%,9.36%,-5.98%,0.05,0.48,621.0699/608.4829/614.78/742.455/842.484/1305.5879/655.71,525.72/276.89/556.264/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),572.95
"MSFT, Long, 2026-06-12 (Price: 390.74)",No Exit Yet,"-3.03%, 5 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-06-12",Already confirmed,"2026-06-17 (Price: 378.91), 3.03% below",5 days,5.23%/2.02%/3.46%,"8.2%, 14.53%",2.4 months/1 day/10 days,2026-09-24/2026-06-13/2026-06-26,4.34%,7.06%,-2.72%,0.06,0.37,409.6909/404.2596/406.98/554.585/553.3726/615.9924/451.98,390.34/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),391.42
