Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BASELINEDIVERGENCE,"MAZDOCK.NS, Long, 2026-03-15 (Price: 2328.0)",Weekly,2026-05-11 (Price: 2565.8),No Price Target,No Date Target,35.49%/44.16%,"10.21%, 1.9 month","2026-05-11 (Price: 2565.8), 10.21% above",3476.4024 (Historic Rise or Fall to Pivot)/3698.9592 (Avg % Gain of Historic Winning trades)/4295.3759 (Function Specific Target)/4295.3759 (F-Stack 1)/5655.9245 (F-Stack 2)/6291.6528 (Backtested Max),2027-02-12 (Max)/2026-06-14 (Min)/2026-09-13 (Avg),2224.9/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.0%, Past 5 years, 60",2488.3999,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,92.6%,54.38%,38.22%,0.78,2.08,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"MAZDOCK.NS, Long, 2026-02-08 (Price: 2402.3999)",Weekly,2026-05-11 (Price: 2565.8),No Price Target,2026-05-10 (Min),39.82%/48.77%,"6.8%, 3.1 months","2026-05-11 (Price: 2565.8), 6.8% above",3587.5038 (Historic Rise or Fall to Pivot)/3817.1732 (Avg % Gain of Historic Winning trades)/4287.3338 (Function Specific Target)/4287.3338 (F-Stack 1)/5593.7123 (F-Stack 2)/6492.726 (Backtested Max),2027-01-08 (Max)/2026-08-09 (Avg),2301.8/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.0%, Past 5 years, 60",2380.0,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,92.6%,54.38%,38.22%,0.78,2.08,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"MAZDOCK.NS, Long, 2026-01-11 (Price: 2500.5)",Weekly,2026-05-11 (Price: 2565.8),No Price Target,No Date Target,45.53%/54.85%,"2.61%, 4 months","2026-05-11 (Price: 2565.8), 2.61% above",3733.9967 (Historic Rise or Fall to Pivot)/3973.0444 (Avg % Gain of Historic Winning trades)/4259.573 (Function Specific Target)/4259.573 (F-Stack 1)/5325.1753 (F-Stack 2)/6757.8513 (Backtested Max),2026-12-11 (Max)/2026-07-12 (Avg),2408.2/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.0%, Past 5 years, 60",2495.0,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,92.6%,54.38%,38.22%,0.78,2.08,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"MAZDOCK.NS, Long, 2026-01-04 (Price: 2494.5)",Weekly,2026-05-11 (Price: 2565.8),No Price Target,No Date Target,45.18%/54.47%,"2.86%, 4.2 months","2026-05-11 (Price: 2565.8), 2.86% above",3725.0368 (Historic Rise or Fall to Pivot)/3963.5111 (Avg % Gain of Historic Winning trades)/4259.573 (Function Specific Target)/4259.573 (F-Stack 1)/5325.1753 (F-Stack 2)/6741.6357 (Backtested Max),2026-12-04 (Max)/2026-07-05 (Avg),2408.2/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.0%, Past 5 years, 60",2579.0,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,92.6%,54.38%,38.22%,0.78,2.08,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"MAZDOCK.NS, Long, 2025-09-28 (Price: 2827.6001)",Weekly,2026-05-11 (Price: 2565.8),No Price Target,No Date Target,59.43%/59.43%,"-9.26%, 7.5 months","2026-05-11 (Price: 2565.8), 9.26% below",4222.4552 (Historic Rise or Fall to Pivot)/4492.7738 (Avg % Gain of Historic Winning trades)/4090.5272 (Function Specific Target)/4090.5272 (F-Stack 1)/4287.3338 (F-Stack 2)/7641.872 (Backtested Max),2026-08-28 (Max),2603.1/113.85/2784.682/1843.1138/No F-Track Level/No F-Track Level/2608.35,"85.0%, Past 5 years, 60",3025.0,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,92.6%,54.38%,38.22%,0.78,2.08,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2026-05-06 (Price: 733.83)",Daily,No Exit Yet,739.3337 (Backtested Min),2026-05-11 (Min),1.18%/3.84%,"0.75%, 5 days","2026-05-11 (Price: 739.3), 0.75% above",771.769 (Historic Rise or Fall to Pivot)/747.9929 (Avg % Gain of Historic Winning trades)/814.03 (Function Specific Target)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/767.6596 (Backtested Max),2026-08-22 (Max)/2026-06-05 (Avg),631.97/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/672.4,"100.0%, Past 4 years, 16",728.16,No Information,No Information,No Information,No Information,No Information,2.97% above/0.75% above/0.75% above,4.61%/0.75%/1.93%,"0%, 12.05%",2.5 months/4 days/21 days,11.25%,11.35%,-0.1%,1.58,0.81,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2025-09-30 (Price: 666.18)",Monthly,No Exit Yet,741.1252 (Avg % Gain of Historic Winning trades),No Date Target,2.18%/3.6%,"10.98%, 7.4 months","2026-05-11 (Price: 739.3), 10.98% above",765.9071 (Historic Rise or Fall to Pivot)/1004.58 (Function Specific Target)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/755.4481 (Backtested Max),2027-04-26 (Max)/2026-10-17 (Avg),554.54/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/600.46,"80.0%, Past 20 years, 10",637.5,No Information,No Information,No Information,No Information,No Information,10.98% above/10.98% above/10.98% above,13.4%/8.58%/11.25%,"5.51%, 13.47%",1.1 year/4 months/8.8 months,5.38%,5.02%,0.36%,0.53,0.26,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
SIGMASHELL,"SPY, Long, 2026-04-01 (Price: 655.24)",Daily,No Exit Yet,733.4757 (Backtested Max),No Date Target,31.09%/31.09%,"12.83%, 1.3 month","2026-05-11 (Price: 739.3), 12.83% above",969.1148 (Function Specific Target)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2),2026-09-30 (Max)/2026-06-18 (Min)/2026-07-27 (Avg),631.97/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"90.0%, Past 5 years, 10",653.9,"-4.8, 90.62%",No Information,No Information,No Information,No Information,No Information,11.94%/1.85%/7.44%,"0.65%, 17.02%",4.2 months/1.8 month/2.7 months,15.1%,6.06%,9.04%,1.25,0.33,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
BASELINEDIVERGENCE,"SPY, Long, 2026-02-08 (Price: 690.62)",Weekly,No Exit Yet,744.0049 (Historic Rise or Fall to Pivot)/739.8612 (Backtested Max),2026-05-10 (Min),31.09%/31.09%,"7.05%, 3.1 months","2026-05-11 (Price: 739.3), 7.05% above",969.1148 (Function Specific Target)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2),2026-09-08 (Max)/2026-07-10 (Avg),505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/673.95,"84.21%, Past 10 years, 19",689.58,No Information,"^GSPC, Tangent Case",No Information,No Information,No Information,No Information,7.13%/0.46%/4.0%,"5.53%, 12.25%",4.9 months/2.1 months/3.5 months,6.25%,9.24%,-2.99%,0.53,0.62,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2026-04-30 (Price: 667.74)",Daily,2026-05-06 (Price: 695.77),711.477 (Backtested Max),No Date Target,7.43%/17.24%,"6.82%, 11 days","2026-05-11 (Price: 713.29), 6.82% above",766.27 (Function Specific Target)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2),2026-06-08 (Max)/2026-05-18 (Avg),558.28/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/603.5,"75.0%, Past 4 years, 20",665.31,No Information,No Information,No Information,No Information,No Information,8.48% above/6.82% above/6.82% above,6.55%/0.6%/3.34%,"2.59%, 22.88%",27 days/6 days/13 days,11.2%,13.97%,-2.77%,0.42,0.86,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
