"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BTI, Long, 2026-05-06 (Price: 59.56)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 54.83 prior to 2026-05-08,"2026-05-06 (Price: 59.56), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 54.9461),8.4% above,"2024-04-21 (Price: 28.25), 2026-03-01 (Price: 63.22)",18.23%/0.47%/14.35%,"9.4%, 36.12%",3.2 years/3.3 months/1.4 year,2030-11-29/2026-09-26/2028-05-03,7.57%,2.98%,4.59%,0.67,0.12,64.6405/68.1069/80.54/No Horizontal Resistance/79.4263/92.0024/No EMA 200 Target,56.68/28.5067/53.9498/50.4772/54.9461/49.8615/56.62,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),58.54
"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",No Exit Yet,"8.29%, 10 days","91.3%, Past 20 years, 23","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-06 (Price: 1437.9), 8.29% above",10 days,Upmove Bounce Back,61.8% (Price: 1304.6849),10.21% above,"2025-04-13 (Price: 1114.85), 2026-01-11 (Price: 1611.8)",23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,2030-01-10/2026-05-16/2027-02-11,15.03%,9.05%,5.98%,1.32,0.46,1418.0904/1547.2853/1625.97/1610.3/1879.7264/2065.5547/1435.11,1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),1363.2
"BABA, Long, 2026-04-26 (Price: 135.82)",No Exit Yet,"4.14%, 10 days","100.0%, Past 11 years, 9","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-06 (Price: 141.44), 4.14% above",10 days,Upmove Bounce Back,38.2% (Price: 117.1824),20.7% above,"2024-01-28 (Price: 66.63), 2025-03-23 (Price: 148.43)",32.92%/16.45%/22.55%,"-0.0%, 31.31%",1.2 year/1.6 month/5.5 months,2028-01-11/2026-07-04/2026-12-20,16.77%,2.08%,14.69%,1.15,0.18,148.7365/166.4474/184.9/181.595/399.1612/524.2534/148.49,122.05/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),140.465
"WPM, Short, 2026-04-30 (Price: 126.46)",No Exit Yet,"-6.41%, 6 days","90.0%, Past 20 years, 10","Monthly, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-06 (Price: 134.57), 6.41% above",6 days,Upmove Break Below,23.66% (Price: 133.3127),0.94% above,"2022-09-30 (Price: 28.62), 2026-03-31 (Price: 165.76)",15.12%/3.3%/7.86%,"17.6%, 15.12%",3.1 months/1 month/1.6 month,2026-09-11/2026-06-12/2026-07-08,6.28%,4.88%,1.4%,0.46,0.59,No Target/116.5202/44.18/38.3375/114.4872/101.6148/118.9,163.65/No Horizontal Resistance/208.744/224.283/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.5%/8/1.4 month (Across ALL Assets),68.0%/25/1.2 month (Across ALL Assets),134.63
"WPM, Short, 2026-03-31 (Price: 131.01)",2026-04-30 (Price: 126.46),"3.47%, 1 month","90.0%, Past 20 years, 10","Monthly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-05-06 (Price: 134.57), 2.72% above",1.2 month,Upmove Break Below,38.2% (Price: 117.097),14.92% above,"2023-10-31 (Price: 38.37), 2026-03-31 (Price: 165.76)",15.12%/3.3%/7.86%,"17.6%, 15.12%",3.1 months/1 month/1.6 month,2026-08-12/2026-05-13/2026-06-08,6.28%,4.88%,1.4%,0.46,0.59,No Target/120.7126/54.58/38.3375/127.6576/114.4872/118.9,163.65/No Horizontal Resistance/188.656/216.4147/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.5%/8/1.4 month (Across ALL Assets),68.0%/25/1.2 month (Across ALL Assets),163.65
