Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",Weekly,No Exit Yet,1434.58 (EMA 200),No Date Target,7.81%/12.2%,"8.09%, 12 days","2026-05-08 (Price: 1435.2), 8.09% above",1547.2853 (Avg % Gain of Historic Winning trades)/1625.97 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1641.5591 (Backtested Max),2030-01-10 (Max)/2026-05-16 (Min)/2027-02-11 (Avg),1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"91.3%, Past 20 years, 23",1363.2,No Information,No Information,No Information,"61.8% (Price: 1304.6849), 10.0% above, Upmove Bounce Back","2025-04-13 (Price: 1114.85), 2026-01-11 (Price: 1611.8)",No Information,23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,15.03%,9.05%,5.98%,1.32,0.46,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-02-22 (Price: 1419.4)",Weekly,No Exit Yet,1434.58 (EMA 200),No Date Target,3.57%/5.62%,"1.11%, 2.5 months","2026-05-08 (Price: 1435.2), 1.11% above",1515.9192 (Historic Rise or Fall to Pivot)/1654.0268 (Avg % Gain of Historic Winning trades)/2146.29 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1754.8042 (Backtested Max)/1486.3957 (Backtested Min),2029-11-08 (Max)/2026-12-10 (Avg),1386.1/1006.0696/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"91.3%, Past 20 years, 23",1420.1,No Information,No Information,No Information,"23.66% (Price: 1325.1633), 8.3% above, Upmove Bounce Back","2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",No Information,23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,15.03%,9.05%,5.98%,1.32,0.46,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
DELTADRIFT,"RELIANCE.NS, Long, 2026-04-12 (Price: 1350.2)",Weekly,2026-05-03 (Price: 1436.0),1434.58 (EMA 200),No Date Target,1.36%/7.7%,"6.3%, 26 days","2026-05-08 (Price: 1435.2), 6.3% above",1752.4246 (Historic Rise or Fall to Pivot)/1454.7055 (Avg % Gain of Historic Winning trades)/1603.57 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1545.709 (Backtested Max),2027-01-02 (Max)/2026-07-03 (Avg),1348.1/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 15 years, 4",1359.0,No Information,No Information,No Information,No Information,No Information,No Information,14.48%/4.43%/7.74%,"0%, 10.35%",6.1 months/7 days/1.9 month,8.42%,9.28%,-0.86%,1.5,0.5,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2026-04-29 (Price: 1425.4)",Daily,2026-05-07 (Price: 1436.2),No Price Target,2026-05-09 (Min),2.25%/2.73%,"0.69%, 9 days","2026-05-08 (Price: 1435.2), 0.69% above",1467.4493 (Historic Rise or Fall to Pivot)/1474.4338 (Avg % Gain of Historic Winning trades)/1518.7 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1577.2051 (Backtested Max),2027-01-01 (Max)/2026-05-09 (Min)/2026-06-24 (Avg),1304.6/1024.7604/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 4 years, 27",1392.0,No Information,No Information,No Information,No Information,No Information,3.33% above/0.69% above/0.69% above,10.65%/0.45%/3.44%,"13.97%, 27.42%",5.7 months/7 days/1.3 month,4.24%,9.08%,-4.84%,0.3,0.51,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2026-03-23 (Price: 1407.8)",Daily,2026-05-07 (Price: 1436.2),No Price Target,No Date Target,6.62%/8.54%,"1.95%, 1.5 month","2026-05-08 (Price: 1435.2), 1.95% above",1530.2 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1557.7307 (Backtested Max),2026-11-25 (Max)/2026-05-18 (Avg),1345.0/1024.7604/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 4 years, 27",1400.0,No Information,No Information,No Information,No Information,No Information,3.64% above/1.95% above/1.95% above,10.65%/0.45%/3.44%,"13.97%, 27.42%",5.7 months/7 days/1.3 month,4.24%,9.08%,-4.84%,0.3,0.51,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",Monthly,2026-05-08 (Price: 1435.2),No Price Target,No Date Target,9.21%/9.77%,"-1.75%, 2.2 years","2026-05-08 (Price: 1435.2), 1.75% below",2144.8926 (Historic Rise or Fall to Pivot)/1725.643 (Avg % Gain of Historic Winning trades)/1575.43 (Function Specific Target)/2250.6285 (F-Stack 2)/2080.9096 (Backtested Max)/1567.4384 (Backtested Min),No Next Date Target,1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,"84.62%, Past 20 years, 13",1435.0,No Information,No Information,No Information,No Information,No Information,0.6% above/1.75% below/1.75% below,42.45%/7.3%/18.13%,"0.53%, 36.79%",1.4 year/7.1 months/1.1 year,6.85%,11.69%,-4.84%,0.87,0.6,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
PULSEGAUGE,"RELIANCE.NS, Long, 2026-04-23 (Price: 1343.4)",Weekly,No Exit Yet,1434.58 (EMA 200),No Date Target,12.2%/30.97%,"6.83%, 15 days","2026-05-08 (Price: 1435.2), 6.83% above",2020.3393 (Avg % Gain of Historic Winning trades)/1879.7264 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/2065.2088 (Backtested Max)/2003.1437 (Backtested Min),2040-01-05 (Max)/2028-04-20 (Min)/2032-02-27 (Avg),1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 25 years, 5",1363.2,No Information,No Information,No Information,No Information,No Information,No Information,53.73%/49.11%/50.39%,"-0.0%, 61.78%",9.6 years/1.4 year/4.1 years,8.29%,11.94%,-3.65%,1.33,0.07,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-03-05 (Price: 5.67)",Daily,2026-05-07 (Price: 5.95),No Price Target,No Date Target,4.34%/18.49%,"1.59%, 2.1 months","2026-05-08 (Price: 5.76), 1.59% above",6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.0102 (Backtested Max),2027-02-28 (Max)/2026-06-04 (Avg),5.56/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.59%, Past 4 years, 37",5.6,No Information,No Information,No Information,No Information,No Information,1.59% above/1.59% above/1.59% above,6.0%/0.46%/2.59%,"6.51%, 16.22%",8.3 months/20 days/2.1 months,13.84%,2.96%,10.88%,0.23,0.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-18 (Price: 5.64)",Daily,2026-05-07 (Price: 5.95),No Price Target,No Date Target,3.79%/18.49%,"2.13%, 2.6 months","2026-05-08 (Price: 5.76), 2.13% above",6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.9784 (Backtested Max),2027-02-13 (Max)/2026-05-20 (Avg),5.58/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.59%, Past 4 years, 37",5.6,No Information,No Information,No Information,No Information,No Information,2.86% above/2.13% above/2.13% above,6.0%/0.46%/2.59%,"6.51%, 16.22%",8.3 months/20 days/2.1 months,13.84%,2.96%,10.88%,0.23,0.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-05 (Price: 5.71)",Daily,No Exit Yet,No Price Target,2026-05-07 (Avg),5.08%/18.49%,"0.88%, 3.1 months","2026-05-08 (Price: 5.76), 0.88% above",6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.0526 (Backtested Max),2027-01-31 (Max),5.52/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.59%, Past 4 years, 37",5.63,No Information,No Information,No Information,No Information,No Information,2.49% above/0.88% above/0.88% above,6.0%/0.46%/2.59%,"6.51%, 16.22%",8.3 months/20 days/2.1 months,13.84%,2.96%,10.88%,0.23,0.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
