Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
TRENDPULSE,"BRK-B, Long, 2026-06-15 (Price: 495.52)",Daily,No Exit Yet,No Price Target,2026-06-23 (Min),2.29%/4.49%,"-1.56%, 10 days","2026-06-25 (Price: 487.81), 1.56% below",520.9402 (Historic Rise or Fall to Pivot)/509.6919 (Avg % Gain of Historic Winning trades)/523.45 (Function Specific Target)/512.2133 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/520.3951 (Backtested Max)/498.9886 (Backtested Min),2026-08-06 (Max)/2026-07-02 (Avg),470.29/267.42/491.88/449.7662/No F-Track Level/No F-Track Level/490.39,"100.0%, Past 4 years, 22",487.56,No Information,No Information,No Information,No Information,No Information,0.29% below/1.56% below/1.56% below,5.02%/0.7%/2.86%,N/A,"-0.0%, 7.4%",1.2 month/6 days/12 days,1.2 month/0 days/10 days,12.87%,12.36%,0.51%,1.33,0.9,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.86%,2.37%,0.80,0.78,486.3994,100.0%,74.0,0
TRENDPULSE,"BRK-B, Long, 2026-01-09 (Price: 499.1)",Daily,2026-06-23 (Price: 492.81),No Price Target,No Date Target,4.46%/5.01%,"-2.26%, 5.6 months","2026-06-25 (Price: 487.81), 2.26% below",524.7038 (Historic Rise or Fall to Pivot)/513.3743 (Avg % Gain of Historic Winning trades)/509.57 (Function Specific Target)/512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/524.1548 (Backtested Max),No Next Date Target,496.12/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/497.22,"100.0%, Past 4 years, 22",498.94,No Information,No Information,No Information,No Information,No Information,2.26% below/2.26% below/2.26% below,5.02%/0.7%/2.86%,N/A,"-0.0%, 7.4%",1.2 month/6 days/12 days,1.2 month/0 days/10 days,12.87%,12.36%,0.51%,1.33,0.9,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.86%,2.37%,0.37,0.67,477.0291,100.0%,74.0,0
PULSEGAUGE,"BRK-B, Long, 2026-04-23 (Price: 470.55)",Weekly,No Exit Yet,No Price Target,2026-06-27 (Min),0.46%/5.0%,"3.67%, 2.1 months","2026-06-25 (Price: 487.81), 3.67% above",538.168 (Avg % Gain of Historic Winning trades)/630.85 (Function Specific Target)/512.2133 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/490.06 (EMA 200)/557.4135 (Backtested Max)/532.3803 (Backtested Min),2028-02-29 (Max)/2026-06-27 (Min)/2027-02-12 (Avg),468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 25 years, 20",474.38,No Information,No Information,No Information,No Information,No Information,No Information,18.46%/13.14%/14.37%,-20.65%/-33.7%/-24.91%,"33.7%, 24.78%",1.3 year/1.5 month/6.8 months,1.3 year/0 days/5.2 months,3.17%,6.9%,-3.73%,0.05,-0.22,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,4.55%,0.28%,3.63,2.83,470.5500,74.5%,-4.7,87
DELTADRIFT,"HDFCBANK.NS, Long, 2026-06-14 (Price: 772.45)",Weekly,No Exit Yet,No Price Target,2026-06-24 (Min),1.69%/3.47%,"3.09%, 11 days","2026-06-25 (Price: 796.3), 3.09% above",823.8952 (Historic Rise or Fall to Pivot)/837.5675 (Avg % Gain of Historic Winning trades)/830.73 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1180.6259 (F-Stack 2)/898.07 (EMA 200)/862.9039 (Backtested Max)/809.7593 (Backtested Min),2026-09-21 (Max)/2026-08-13 (Avg),744.55/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 15 years, 7",738.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.43%,-12.08%/-12.08%/-12.08%,"12.08%, 16.27%",2.3 months/7 days/1.4 month,2.3 months/0 days/1.2 month,8.0%,9.15%,-1.15%,0.49,0.54,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,5.50%,4.19%,2.15,0.13,772.4500,63.4%,47.3,27
SIGMASHELL,"HDFCBANK.NS, Long, 2026-03-23 (Price: 744.15)",Daily,2026-06-23 (Price: 774.65),No Price Target,No Date Target,12.78%/26.79%,"7.01%, 3.1 months","2026-06-25 (Price: 796.3), 7.01% above",1098.0619 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/898.07 (EMA 200),2026-11-03 (Max)/2026-07-05 (Min)/2026-08-30 (Avg),No Recent Minima/640.9/697.8792/606.5732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",763.15,"-3.21, 100.0%",No Information,No Information,No Information,No Information,No Information,8.69%/0.8%/4.88%,N/A,"-0.0%, 22.66%",5.2 months/2.4 months/3.7 months,5.2 months/0 days/2.1 months,6.75%,12.02%,-5.27%,0.68,0.64,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,4.88%,1.88%,0.39,0.04,744.1500,-43.6%,14.8,40
SIGMASHELL,"HDFCBANK.NS, Long, 2026-03-02 (Price: 879.4)",Daily,2026-06-23 (Price: 774.65),No Price Target,No Date Target,11.32%/12.69%,"-9.45%, 3.8 months","2026-06-25 (Price: 796.3), 9.45% below",897.3398 (Historic Rise or Fall to Pivot)/922.3147 (Avg % Gain of Historic Winning trades)/1098.0619 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/898.07 (EMA 200)/955.8199 (Backtested Max)/886.4352 (Backtested Min),2026-10-13 (Max)/2026-08-09 (Avg),878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",876.2,"-3.0, 69.44%",No Information,No Information,No Information,No Information,No Information,8.69%/0.8%/4.88%,N/A,"-0.0%, 22.66%",5.2 months/2.4 months/3.7 months,5.2 months/0 days/2.1 months,6.75%,12.02%,-5.27%,0.68,0.64,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,4.88%,1.88%,1.25,3.93,879.4000,100.0%,14.8,40
FRACTAL TRACK,"KWEB, Long, 2026-04-19 (Price: 30.45)",Weekly,No Exit Yet,No Price Target,2026-06-27 (Min),43.12%/48.28%,"-22.4%, 2.2 months","2026-06-25 (Price: 23.63), 22.4% below",36.1716 (Avg % Gain of Historic Winning trades)/42.86 (Function Specific Target)/54.865 (Horizontal)/112.1402 (F-Stack 1)/127.8094 (F-Stack 2)/33.82 (EMA 200)/39.6215 (Backtested Max)/35.0388 (Backtested Min),2029-07-29 (Max)/2026-06-27 (Min)/2027-06-10 (Avg),27.91/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 12 years, 9",28.35,No Information,No Information,No Information,"78.6% (Price: 27.1066), 12.83% below, Upmove Bounce Back","2024-01-28 (Price: 22.68), 2025-10-05 (Price: 43.365)",No Information,30.12%/15.07%/18.79%,N/A,"-0.0%, 42.44%",2.3 years/1.6 month/9.6 months,2.3 years/0 days/6.4 months,12.25%,-0.22%,12.47%,1.18,0.04,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity_etf,18.79%,18.96%,N/A,N/A,30.4500,100.0%,42.8,87
TRENDPULSE,"KWEB, Long, 2026-04-15 (Price: 29.64)",Daily,No Exit Yet,No Price Target,2026-06-27 (Avg),31.42%/33.94%,"-20.28%, 2.4 months","2026-06-25 (Price: 23.63), 20.28% below",31.0538 (Historic Rise or Fall to Pivot)/31.6496 (Avg % Gain of Historic Winning trades)/34.49 (Function Specific Target)/54.865 (Horizontal)/112.1402 (F-Stack 1)/127.8094 (F-Stack 2)/35.9 (EMA 200)/34.4031 (Backtested Max),2027-04-19 (Max)/2026-06-27 (Avg),27.78/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 20",29.27,No Information,No Information,No Information,No Information,No Information,17.72% below/20.28% below/20.28% below,16.07%/2.37%/6.78%,N/A,"-0.0%, 44.9%",8.5 months/4 days/1.7 month,8.5 months/0 days/1.6 month,17.43%,-9.9%,27.33%,1.18,-0.19,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity_etf,6.78%,8.67%,N/A,N/A,20.0731,100.0%,59.7,60
OSCILLATOR DELTA,"KWEB, Long, 2026-06-01 (Price: 27.36)",Daily,2026-06-23 (Price: 24.49),No Price Target,No Date Target,21.37%/22.73%,"-13.63%, 24 days","2026-06-25 (Price: 23.63), 13.63% below",29.1876 (Historic Rise or Fall to Pivot)/28.6788 (Avg % Gain of Historic Winning trades)/29.0 (Function Specific Target)/54.865 (Horizontal)/33.82 (EMA 200)/31.5844 (Backtested Max),2026-07-05 (Max),No Recent Minima/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"86.21%, Past 6 years, 29",26.95,No Information,No Information,No Information,No Information,No Information,No Information,15.44%/0.28%/4.82%,-10.01%/-13.22%/-11.25%,"13.22%, 14.33%",24 days/1 day/8 days,1.6 month/0 days/10 days,15.21%,-9.9%,25.11%,0.34,-0.19,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),equity_etf,2.60%,3.00%,N/A,N/A,27.3600,100.0%,75.5,0
TRENDPULSE,"NFLX, Long, 2026-04-10 (Price: 103.01)",Daily,No Exit Yet,No Price Target,2026-06-27 (Avg),55.33%/71.61%,"-31.17%, 2.5 months","2026-06-25 (Price: 70.9), 31.17% below",121.67 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/110.128 (Backtested Max),2026-08-05 (Max)/2026-06-27 (Avg),90.92/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.24%, Past 4 years, 17",102.47,No Information,No Information,No Information,No Information,No Information,28.66% below/31.17% below/31.17% below,6.91%/0.45%/3.8%,-0.57%/-25.85%/-13.21%,"25.85%, 39.95%",2.7 months/7 days/1.8 month,7.7 months/0 days/2 months,4.57%,6.04%,-1.47%,0.07,0.35,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.80%,0.36%,0.07,0.98,55.1065,100.0%,0.9,60
