Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2026-03-15 (Price: 132.25)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,13.81%/22.53%,"-11.34%, 2.2 months","2026-05-20 (Price: 117.25), 11.34% below",148.358 (Historic Rise or Fall to Pivot)/143.6632 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/368.7715 (F-Stack 2)/176.76 (EMA 200)/165.5506 (Backtested Max)/133.4402 (Backtested Min),2027-03-04 (Max)/2026-06-14 (Min)/2026-08-18 (Avg),113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"82.14%, Past 10 years, 112",150.99,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2026-03-08 (Price: 151.44)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,30.32%/40.31%,"-22.58%, 2.4 months","2026-05-20 (Price: 117.25), 22.58% below",169.8854 (Historic Rise or Fall to Pivot)/164.5093 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/368.7715 (F-Stack 2)/176.76 (EMA 200)/189.5726 (Backtested Max)/152.803 (Backtested Min),2027-02-25 (Max)/2026-06-07 (Min)/2026-08-11 (Avg),113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"82.14%, Past 10 years, 112",130.06,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-12-21 (Price: 182.02)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,56.64%/68.64%,"-35.58%, 5 months","2026-05-20 (Price: 117.25), 35.58% below",204.19 (Historic Rise or Fall to Pivot)/197.7283 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/227.8526 (Backtested Max)/183.6582 (Backtested Min),2026-12-10 (Max)/2026-05-26 (Avg),179.89/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",180.06,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-11-23 (Price: 190.48)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,63.92%/76.48%,"-38.44%, 5.9 months","2026-05-20 (Price: 117.25), 38.44% below",213.6805 (Historic Rise or Fall to Pivot)/206.9184 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/238.4429 (Backtested Max)/192.1943 (Backtested Min),2026-11-12 (Max),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",198.05,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,105.45%/105.85%,"-47.23%, 7.1 months","2026-05-20 (Price: 117.25), 47.23% below",249.2415 (Historic Rise or Fall to Pivot)/241.3541 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/278.1249 (Backtested Max),2026-10-08 (Max),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",213.63,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-09-07 (Price: 241.93)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,108.19%/124.14%,"-51.54%, 8.5 months","2026-05-20 (Price: 117.25), 51.54% below",271.3971 (Historic Rise or Fall to Pivot)/262.8086 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/302.848 (Backtested Max)/244.1074 (Backtested Min),2026-08-27 (Max),236.67/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",244.35,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-08-24 (Price: 246.86)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,112.44%/128.71%,"-52.5%, 9 months","2026-05-20 (Price: 117.25), 52.5% below",276.9275 (Historic Rise or Fall to Pivot)/268.164 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/309.0193 (Backtested Max)/249.0817 (Backtested Min),2026-08-13 (Max),236.67/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",237.85,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-06-29 (Price: 271.15)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,150.09%/150.09%,"-56.76%, 10.8 months","2026-05-20 (Price: 117.25), 56.76% below",304.1761 (Historic Rise or Fall to Pivot)/294.5502 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/339.4256 (Backtested Max),2026-06-18 (Max),236.22/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",266.22,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-06-22 (Price: 266.18)",Weekly,2026-05-20 (Price: 117.25),No Price Target,No Date Target,146.61%/150.09%,"-55.95%, 11.1 months","2026-05-20 (Price: 117.25), 55.95% below",298.6007 (Historic Rise or Fall to Pivot)/289.1513 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/333.2041 (Backtested Max),2026-06-11 (Max),236.22/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/176.76,"82.14%, Past 10 years, 112",265.75,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
TRENDPULSE,"SUNPHARMA.NS, Long, 2026-05-11 (Price: 1872.7)",Daily,No Exit Yet,No Price Target,2026-05-22 (Min),2.73%/2.92%,"0.41%, 9 days","2026-05-20 (Price: 1880.3), 0.41% above",2056.7864 (Historic Rise or Fall to Pivot)/1931.6901 (Avg % Gain of Historic Winning trades)/1935.175 (Horizontal)/2110.5488 (F-Stack 1)/2409.4589 (F-Stack 2)/2092.9295 (Backtested Max),2027-01-31 (Max)/2026-05-22 (Min)/2026-06-19 (Avg),1620.4/797.125/1465.6767/925.6338/No F-Track Level/No F-Track Level/1704.04,"92.0%, Past 4 years, 25",1827.2,No Information,No Information,No Information,No Information,No Information,0.41% above/0.41% above/0.41% above,11.76%/1.18%/3.15%,"2.03%, 13.23%",6.1 months/8 days/27 days,17.09%,17.72%,-0.63%,0.9,1.14,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
