"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"EFN.TO, Long, 2026-05-25 (Price: 28.13)",No Exit Yet,"0.0%, 0 days","80.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 27.9215 or above 29.9434 prior to 2026-05-29,"2026-05-25 (Price: 28.13), 0.0% below",0 days,22.27%/6.58%/13.09%,"43.16%, 45.87%",2.6 months/7 days/28 days,2026-09-14/2026-06-04/2026-07-04,2.99%,9.59%,-6.6%,0.04,0.48,31.8825/31.8122/31.85/34.925/48.884/73.5584/34.54,27.72/12.67/24.2096/18.3848/24.8709/20.735/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),27.86
"SJ.TO, Long, 2026-05-24 (Price: 73.96)",No Exit Yet,"0.19%, 1 day","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-05-24",Already confirmed,"2026-05-25 (Price: 74.1), 0.19% above",1 day,10.34%/3.91%/7.32%,"13.98%, 15.76%",5.6 months/14 days/2.3 months,2027-01-22/2026-06-13/2026-08-31,3.72%,10.65%,-6.93%,0.05,0.59,81.2007/79.3739/80.29/84.3925/95.0177/123.2166/84.91,71.28/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),73.12
"MCD, Long, 2026-05-24 (Price: 282.27)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 269.5893 or above 289.1931 prior to 2026-05-29,"2026-05-24 (Price: 282.27), 0.0% below",0 days,14.58%/3.15%/7.28%,"0%, 3.2%",1.6 month/7 days/1.1 month,2026-08-01/2026-06-03/2026-07-10,6.97%,6.06%,0.91%,1.56,0.34,327.5179/302.8193/315.17/321.444/370.0426/590.3302/307.98,275.75/230.37/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),275.82
"BYDDY, Long, 2026-05-22 (Price: 11.6)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2026-05-22",Already confirmed,"2026-05-22 (Price: 11.6), 0.0% below",0 days,42.06%/3.25%/9.48%,"19.69%, 23.05%",28 days/5 days/13 days,2026-07-01/2026-05-29/2026-06-09,9.52%,10.73%,-1.21%,0.19,0.52,13.1219/12.6997/12.91/14.0729/17.0759/19.2153/13.03,11.5/7.1633/9.6555/8.3057/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),11.52
"XLU, Long, 2026-05-19 (Price: 44.34)",2026-05-22 (Price: 45.35),"2.28%, 3 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-05-19",Already confirmed,"2026-05-22 (Price: 45.35), 2.28% above",3 days,4.04%/1.18%/2.66%,"8.55%, 8.55%",1.3 month/1 day/13 days,2026-07-14/2026-05-20/2026-06-06,9.69%,4.86%,4.83%,0.56,0.24,46.6191/45.5194/46.07/47.3425/49.4858/65.2454/44.41,43.87/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),43.82
"NU, Long, 2026-05-18 (Price: 12.29)",2026-05-20 (Price: 12.79),"4.07%, 2 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-05-18",Already confirmed,"2026-05-22 (Price: 12.73), 3.58% above",4 days,23.68%/2.44%/8.86%,"24.09%, 24.09%",2.1 months/1 day/22 days,2026-08-17/2026-05-19/2026-06-18,21.14%,5.23%,15.91%,0.51,0.4,12.9192/13.3789/13.15/16.285/No Next Fib Ext/No Next Fib Ext/15.48,12.19/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),12.4
"VGT, Long, 2026-05-17 (Price: 113.31)",No Exit Yet,"2.15%, 7 days","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-05-17",Already confirmed,"2026-05-24 (Price: 115.75), 2.15% above",7 days,11.08%/7.01%/9.17%,"-0.0%, 4.8%",1.2 month/7 days/19 days,2026-07-08/2026-05-27/2026-06-13,9.89%,2.33%,7.56%,1.84,0.31,145.762/123.7005/134.73/704.335/No Next Fib Ext/No Next Fib Ext/665.14,104.16/No Horizontal Support/85.1743/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),112.41
"SPOT, Long, 2026-05-01 (Price: 441.51)",2026-05-21 (Price: 489.93),"10.97%, 20 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-22 (Price: 519.86), 17.75% above",21 days,14.75%/3.67%/9.64%,"16.71%, 16.71%",15 days/1 day/4 days,2026-05-22/2026-05-02/2026-05-06,5.76%,8.16%,-2.4%,0.13,0.44,457.7134/484.0716/470.89/No Horizontal Resistance/854.3544/922.2645/574.57,434.2/118.6/433.8097/410.2623/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),450.785
"VGT, Long, 2026-04-24 (Price: 104.16)",2026-05-20 (Price: 113.83),"9.28%, 26 days","92.31%, Past 4 years, 13","Daily, was CONFIRMED on 2026-04-24",Already confirmed,"2026-05-22 (Price: 115.75), 11.13% above",28 days,5.9%/2.23%/3.84%,"9.37%, 9.37%",26 days/2 days/11 days,2026-05-31/2026-04-26/2026-05-09,10.36%,-16.02%,26.38%,0.62,-0.05,112.2116/108.1597/110.19/704.335/No Next Fib Ext/No Next Fib Ext/665.14,101.02/No Horizontal Support/85.1743/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),102.95
"QQQ, Short, 2026-05-24 (Price: 717.54)",No Exit Yet,"-0.0%, 0 days","83.33%, Past 15 years, 6","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 697.4404 or above 730.0896 prior to 2026-05-29,"2026-05-24 (Price: 717.54), 0.0% below",0 days,10.63%/3.12%/5.09%,"5.78%, 10.63%",2.1 months/7 days/22 days,2026-08-23/2026-06-03/2026-06-24,7.8%,4.79%,3.01%,0.57,0.81,700.8931/681.0172/690.96/256.995/610.7303/563.3658/614.66,No Recent Maxima/No Horizontal Resistance/836.2536/910.0135/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,93.33%/15/25 days (Across ALL Assets),71.43%/35/29 days (Across ALL Assets),711.54
"^NDX, Short, 2026-05-24 (Price: 29481.6426)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 28665.4686 or above 30015.2935 prior to 2026-05-29,"2026-05-24 (Price: 29481.6426), 0.0% below",0 days,4.6%/3.09%/3.68%,"5.77%, 7.1%",2.1 months/7 days/26 days,2026-08-23/2026-06-03/2026-06-30,5.62%,4.79%,0.83%,0.35,0.81,29413.8348/28396.7182/28905.28/10555.915/25025.4383/22796.2371/25258.33,No Recent Maxima/No Horizontal Resistance/33965.62/36701.6323/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,93.33%/15/25 days (Across ALL Assets),71.43%/35/29 days (Across ALL Assets),29246.1973
"MCY.NZ, Short, 2026-05-15 (Price: 7.05)",2026-05-20 (Price: 6.91),"1.99%, 5 days","100.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-05-15",Already confirmed,"2026-05-25 (Price: 6.94), 1.56% below",10 days,2.47%/1.4%/1.79%,"0%, 4.4%",13 days/1 day/6 days,2026-06-02/2026-05-16/2026-05-23,5.84%,3.82%,2.02%,3.45,-0.06,6.5276/6.9238/6.73/5.13/6.8904/5.8309/6.51,7.1/7.2/7.7971/8.9053/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),7.04
