Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
TRENDPULSE,ORCL,Short,Daily,2026-04-08,143.66,2026-04-13,155.62,155.62,-8.3252%,5.0,Closed,90.0
DELTADRIFT,IMO.TO,Short,Weekly,2026-04-05,181.66,2026-04-15,171.54,171.54,5.5708%,10.0,Closed,80.0
FRACTAL TRACK,GDX,Short,Quarterly,2026-04-03,94.59,,,81.44,13.9021%,,Open,100.0
DELTADRIFT,IMO.TO,Short,Weekly,2026-04-03,181.66,,,161.61,11.0371%,,Open,80.0
FRACTAL TRACK,^STI,Short,Weekly,2026-04-03,4947.5,,,5204.0098,-5.1846%,,Open,90.0
FRACTAL TRACK,000660.KS,Short,Quarterly,2026-04-03,876000.0,,,2919000.0,-233.2192%,,Open,85.71
FRACTAL TRACK,005930.KS,Short,Quarterly,2026-04-02,178400.0,,,353500.0,-98.1502%,,Open,100.0
FRACTAL TRACK,000660.KS,Short,Quarterly,2026-04-02,830000.0,,,2919000.0,-251.6867%,,Open,85.71
FRACTAL TRACK,GDX,Short,Quarterly,2026-04-02,94.59,,,81.44,13.9021%,,Open,100.0
FRACTAL TRACK,WIPRO.NS,Short,Quarterly,2026-03-31,187.64,2026-04-15,209.75,209.75,-11.7832%,15.0,Closed,85.71
DELTADRIFT,^STI,Short,Monthly,2026-03-31,4885.4502,,,5204.0098,-6.5206%,,Open,80.0
DELTADRIFT,NA.TO,Short,Monthly,2026-03-31,180.01,,,223.1,-23.9376%,,Open,100.0
FRACTAL TRACK,WPM,Short,Monthly,2026-03-31,131.01,2026-04-10,144.84,144.84,-10.5564%,10.0,Closed,88.89
FRACTAL TRACK,SFTBY,Short,Quarterly,2026-03-31,12.09,2026-04-02,11.51,11.51,4.7974%,2.0,Closed,100.0
FRACTAL TRACK,HDB,Short,Quarterly,2026-03-31,24.88,2026-04-17,27.51,27.51,-10.5707%,17.0,Closed,87.5
FRACTAL TRACK,CSCO,Short,Monthly,2026-03-31,77.59,2026-04-17,86.25,86.25,-11.1612%,17.0,Closed,86.67
