"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MCD, Long, 2026-05-20 (Price: 280.27)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 269.5893 or above 289.1931 prior to 2026-05-22,"2026-05-20 (Price: 280.27), 0.0% below",0 days,14.58%/3.15%/7.28%,"0%, 3.2%",1.6 month/7 days/1.1 month,2026-07-28/2026-05-30/2026-07-06,6.97%,6.06%,0.91%,1.56,0.34,325.1973/300.6737/312.94/321.444/371.0748/388.2483/308.18,275.75/230.37/267.8324/250.4892/No stop loss/264.5491/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),275.82
"SJ.TO, Long, 2026-05-20 (Price: 71.96)",No Exit Yet,"0.0%, 0 days","71.43%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 69.713 or above 77.5784 prior to 2026-05-22,"2026-05-20 (Price: 71.96), 0.0% below",0 days,10.34%/3.91%/7.32%,"13.98%, 15.76%",5.6 months/14 days/2.3 months,2027-01-18/2026-06-09/2026-08-27,3.72%,10.65%,-6.93%,0.05,0.59,79.0049/77.2275/78.12/84.3925/108.5192/133.8092/84.99,71.28/38.015/50.2755/47.8005/70.6167/66.7117/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),73.12
"XLU, Long, 2026-05-19 (Price: 44.34)",No Exit Yet,"0.38%, 1 day","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-05-19",Already confirmed,"2026-05-20 (Price: 44.51), 0.38% above",1 day,4.04%/1.18%/2.66%,"8.55%, 8.55%",1.3 month/1 day/13 days,2026-07-14/2026-05-20/2026-06-06,9.69%,4.86%,4.83%,0.56,0.24,46.6191/45.5194/46.07/47.3425/49.4858/65.2454/44.39,43.87/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),43.82
"NU, Long, 2026-05-18 (Price: 12.29)",2026-05-20 (Price: 12.79),"4.07%, 2 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-05-18",Already confirmed,"2026-05-20 (Price: 12.79), 4.07% above",2 days,23.68%/2.44%/8.86%,"24.09%, 24.09%",2.1 months/1 day/22 days,2026-08-17/2026-05-19/2026-06-18,21.14%,5.23%,15.91%,0.51,0.4,12.9192/13.3789/13.15/16.285/No Next Fib Ext/No Next Fib Ext/15.47,12.19/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),12.4
"VGT, Long, 2026-05-17 (Price: 113.31)",No Exit Yet,"0.46%, 3 days","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-05-17",Already confirmed,"2026-05-20 (Price: 113.83), 0.46% above",3 days,11.08%/7.01%/9.17%,"-0.0%, 4.8%",1.2 month/7 days/19 days,2026-07-08/2026-05-27/2026-06-13,9.89%,2.33%,7.56%,1.84,0.31,145.762/123.7005/134.73/704.335/No Next Fib Ext/No Next Fib Ext/670.87,104.16/No Horizontal Support/85.1743/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),112.41
"IHI, Long, 2026-05-12 (Price: 48.7)",2026-05-19 (Price: 50.28),"3.24%, 7 days","78.95%, Past 4 years, 19","Daily, was CONFIRMED on 2026-05-12",Already confirmed,"2026-05-20 (Price: 50.9), 4.52% above",8 days,5.45%/1.63%/2.73%,"9.31%, 10.0%",28 days/1 day/8 days,2026-06-21/2026-05-13/2026-05-23,6.66%,-2.11%,8.77%,0.2,-0.31,51.4662/50.0295/50.75/65.682/68.9264/76.3906/58.95,47.55/46.725/46.1919/36.8936/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),47.975
"MCD, Long, 2026-05-12 (Price: 274.84)",2026-05-18 (Price: 282.47),"2.78%, 6 days","70.59%, Past 4 years, 17","Daily, was CONFIRMED on 2026-05-12",Already confirmed,"2026-05-20 (Price: 280.27), 1.98% above",8 days,4.76%/1.35%/2.71%,"6.54%, 6.94%",13 days/1 day/7 days,2026-05-30/2026-05-13/2026-05-22,3.8%,2.75%,1.05%,0.03,0.06,292.4298/282.2882/287.36/321.444/370.0426/590.3302/308.18,274.6/230.37/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),278.2
"WCN.TO, Long, 2026-05-11 (Price: 206.55)",2026-05-15 (Price: 215.36),"4.27%, 4 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-05-11",Already confirmed,"2026-05-20 (Price: 215.72), 4.44% above",9 days,3.62%/1.58%/2.24%,"6.39%, 7.15%",1.3 month/2 days/14 days,2026-07-06/2026-05-13/2026-05-31,5.54%,5.19%,0.35%,0.17,0.27,215.9893/211.1767/213.58/252.7/354.4788/566.6704/235.27,No Recent Minima/148.255/142.2872/92.1958/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),208.33
"VGT, Long, 2026-04-24 (Price: 104.16)",2026-05-20 (Price: 113.83),"9.28%, 26 days","92.31%, Past 4 years, 13","Daily, was CONFIRMED on 2026-04-24",Already confirmed,"2026-05-20 (Price: 113.83), 9.28% above",26 days,5.9%/2.23%/3.84%,"9.37%, 9.37%",26 days/2 days/11 days,2026-05-31/2026-04-26/2026-05-09,10.36%,-16.02%,26.38%,0.62,-0.05,112.2116/108.1597/110.19/704.335/No Next Fib Ext/No Next Fib Ext/670.87,101.02/No Horizontal Support/85.1743/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),102.95
"ORCL, Long, 2026-02-15 (Price: 160.14)",2026-05-10 (Price: 195.95),"22.36%, 2.8 months","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-05-20 (Price: 188.16), 17.5% above",3.1 months,15.74%/12.23%/13.73%,"20.01%, 25.53%",2.7 months/7 days/1.2 month,2026-06-12/2026-02-25/2026-04-08,6.28%,8.05%,-1.77%,0.4,0.41,208.3742/182.1272/195.25/No Horizontal Resistance/300.069/376.1425/208.63,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),148.49
"QQQ, Short, 2026-05-20 (Price: 713.15)",No Exit Yet,"-0.0%, 0 days","83.33%, Past 15 years, 6","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 697.4404 or above 730.0896 prior to 2026-05-22,"2026-05-20 (Price: 713.15), 0.0% below",0 days,10.63%/3.12%/5.09%,"5.78%, 10.63%",2.1 months/7 days/22 days,2026-08-19/2026-05-30/2026-06-20,7.8%,4.79%,3.01%,0.57,0.81,696.6049/676.8507/686.73/256.995/634.1966/578.1694/613.14,No Recent Maxima/No Horizontal Resistance/782.9774/918.2826/No stop loss/No stop loss/No EMA 200 Stop Loss,93.33%/15/25 days (Across ALL Assets),71.43%/35/29 days (Across ALL Assets),711.54
"^NDX, Short, 2026-05-20 (Price: 29297.6973)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 28665.4686 or above 30015.2935 prior to 2026-05-22,"2026-05-20 (Price: 29297.6973), 0.0% below",0 days,4.6%/3.09%/3.68%,"5.77%, 7.1%",2.1 months/7 days/26 days,2026-08-19/2026-05-30/2026-06-26,5.62%,4.79%,0.83%,0.35,0.81,29230.3126/28219.542/28724.93/10555.915/25849.2/22960.0831/25195.8,No Recent Maxima/No Horizontal Resistance/31443.3312/32732.2371/No stop loss/No stop loss/No EMA 200 Stop Loss,93.33%/15/25 days (Across ALL Assets),71.43%/35/29 days (Across ALL Assets),29246.1973
"CSCO, Short, 2026-05-19 (Price: 115.38)",No Exit Yet,"0.89%, 1 day","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-05-19",Already confirmed,"2026-05-20 (Price: 114.35), 0.89% below",1 day,13.08%/0.88%/2.88%,"3.04%, 13.08%",24 days/2 days/8 days,2026-06-22/2026-05-21/2026-05-30,8.04%,3.82%,4.22%,0.49,0.46,111.7686/112.0571/111.91/40.92/78.7458/68.2017/77.37,118.88/No Horizontal Resistance/No stop loss/119.2504/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),116.899
"MCY.NZ, Short, 2026-05-15 (Price: 7.05)",2026-05-20 (Price: 6.91),"1.99%, 5 days","100.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 6.91), 1.99% below",5 days,2.47%/1.4%/1.79%,"0%, 4.4%",13 days/1 day/6 days,2026-06-02/2026-05-16/2026-05-23,5.84%,3.82%,2.02%,3.45,-0.06,6.5276/6.9238/6.73/5.13/6.8904/5.8309/6.5,7.1/7.2/7.7971/8.9053/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),7.04
"NVO, Short, 2026-05-07 (Price: 45.8)",2026-05-15 (Price: 44.74),"2.31%, 8 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-05-07",Already confirmed,"2026-05-20 (Price: 45.07), 1.59% below",13 days,4.23%/1.28%/2.5%,"4.83%, 4.23%",4 days/1 day/1 day,2026-05-12/2026-05-08/2026-05-08,6.4%,3.82%,2.58%,0.48,0.18,43.9451/44.655/44.3/45.4025/45.3824/37.3162/No EMA 200 Target,49.57/139.01/157.4212/211.8775/No F-Track Level/No F-Track Level/49.08,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),46.55
