"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BRK-B, Long, 2026-05-07 (Price: 475.08)",No Exit Yet,"0.18%, 1 day","100.0%, Past 6 years, 18","Daily, is Confirmed on 2026-05-07",No Cancellation Possible,"2026-05-08 (Price: 475.94), 0.18% above",1 day,2026-04-22 (Price: 464.62)/2026-05-05 (Price: 464.34),1.0 month/1 day/8 days,8.12%/0.15%/2.82%,"0.0%, 6.97%",3 months/5 days/1 month,2026-09-14/2026-05-14/2026-06-19,13.39%,12.19%,1.2%,1.06,0.86,500.6393/488.4773/536.84/512.2133/630.85/709.9376/489.76,No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),469.255
"C6L.SI, Long, 2026-05-07 (Price: 6.33)",No Exit Yet,"-0.32%, 1 day","87.5%, Past 6 years, 16","Daily, is Confirmed on 2026-05-07",No Cancellation Possible,"2026-05-08 (Price: 6.31), 0.32% below",1 day,2026-04-29 (Price: 6.31)/2026-05-04 (Price: 6.27),1.2 month/1 day/11 days,9.74%/0.59%/2.64%,"10.5%, 11.94%",3.2 months/7 days/25 days,2026-09-23/2026-05-17/2026-06-12,4.92%,4.17%,0.75%,0.12,0.19,6.6895/6.4971/6.65/7.24/15.377/16.6022/6.58,No Recent Minima/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),6.33
"GLD, Long, 2026-05-06 (Price: 430.96)",No Exit Yet,"0.65%, 2 days","84.62%, Past 6 years, 13","Daily, is Confirmed on 2026-05-06",No Cancellation Possible,"2026-05-08 (Price: 433.77), 0.65% above",2 days,2026-04-29 (Price: 414.17)/2026-05-04 (Price: 413.2801),23 days/2 days/10 days,8.13%/0.35%/3.13%,"11.51%, 12.05%",2.7 months/7 days/26 days,2026-08-31/2026-05-16/2026-06-12,4.72%,11.73%,-7.01%,0.07,0.83,446.8193/444.449/452.51/No Horizontal Resistance/520.3579/624.146/No EMA 200 Target,No Recent Minima/150.8/424.4974/381.6561/No F-Track Level/No F-Track Level/394.39,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),430.15
"MX.TO, Long, 2026-04-28 (Price: 82.7)",2026-05-07 (Price: 83.8),"1.33%, 9 days","86.96%, Past 6 years, 23","Daily, is Confirmed on 2026-04-28",No Cancellation Possible,"2026-05-08 (Price: 82.38), 0.39% below",10 days,2026-04-13 (Price: 81.92)/2026-04-23 (Price: 81.51),29 days/1 day/7 days,11.79%/0.26%/5.04%,"15.96%, 16.64%",2.7 months/3 days/15 days,2026-08-23/2026-05-02/2026-05-19,12.58%,17.97%,-5.39%,0.31,0.79,94.2532/86.8681/90.97/No Horizontal Resistance/104.8718/111.623/No EMA 200 Target,No Recent Minima/38.425/80.4508/69.4599/No F-Track Level/No F-Track Level/60.84,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),83.46
"RELIANCE.NS, Long, 2026-04-01 (Price: 1369.2)",2026-05-04 (Price: 1463.1),"6.86%, 1.1 month","95.0%, Past 6 years, 20","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-05-08 (Price: 1435.2), 4.82% above",1.2 month,2026-02-27 (Price: 1388.1)/2026-03-04 (Price: 1307.0),15 days/2 days/7 days,13.75%/0.08%/3.14%,"11.14%, 12.26%",4 months/2 days/23 days,2026-09-21/2026-04-03/2026-05-04,11.49%,9.08%,2.41%,0.46,0.51,1438.3446/1412.1929/1437.66/1610.3/1879.7264/2065.5547/1434.58,No Recent Minima/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),1384.2
"ARM, Short, 2026-04-29 (Price: 201.69)",2026-05-06 (Price: 237.3),"-17.66%, 7 days","100.0%, Past 2 years, 4","Daily, is Confirmed on 2026-04-29",No Cancellation Possible,"2026-05-08 (Price: 213.27), 5.74% above",9 days,2026-04-22 (Price: 196.66)/2026-04-24 (Price: 237.68),14 days/5 days/8 days,5.76%/2.2%/3.92%,"0.0%, 10.51%",12 days/3 days/7 days,2026-05-16/2026-05-03/2026-05-09,15.68%,3.67%,12.01%,2.04,1.35,173.1509/193.7838/183.47/165.49/155.9428/122.7432/142.7,No Recent Maxima/No Horizontal Resistance/209.6611/292.8214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/17/17 days (Across ALL Assets),72.5%/80/1.4 month (Across ALL Assets),202.71
