"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"EURUSD=X, Long, 2026-06-25 (Price: 1.1375)",No Exit Yet,"0.0%, 0 days","73.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-06-25",Already confirmed,"2026-06-25 (Price: 1.1375), 0.0% below",0 days,1.61%/0.52%/1.0%,-1.51%/-2.53%/-1.91%,"2.53%, 3.21%",1.8 month/1 day/16 days,1.8 month/1 day/20 days,2026-09-11/2026-06-26/2026-07-18,3.83%,-0.53%,4.36%,0.02,-0.66,1.1529/1.1489/1.15/1.1894/1.7416/2.0466/1.17,No stop loss/1.0207/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),1.1378
"NZDUSD=X, Long, 2026-06-25 (Price: 0.5647)",No Exit Yet,"0.0%, 0 days","76.47%, Past 4 years, 17","Daily, is CONFIRMED on 2026-06-25",Already confirmed,"2026-06-25 (Price: 0.5647), 0.0% below",0 days,2.12%/0.9%/1.3%,-2.05%/-4.65%/-3.03%,"4.65%, 5.12%",2.6 months/1 day/22 days,2.6 months/1 day/25 days,2026-10-15/2026-06-26/2026-07-26,3.87%,-2.71%,6.58%,0.02,-0.75,0.577/0.572/0.57/0.714/No Next Fib Ext/No Next Fib Ext/0.58,0.56/0.5528/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),0.565
"BYDDY, Long, 2026-06-25 (Price: 9.67)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2026-06-25",Already confirmed,"2026-06-25 (Price: 9.67), 0.0% below",0 days,10.96%/3.25%/5.32%,-13.39%/-19.69%/-15.84%,"19.69%, 23.05%",24 days/5 days/11 days,2.4 months/5 days/16 days,2026-07-29/2026-07-02/2026-07-10,2.05%,1.12%,0.93%,-0.01,0.18,10.3073/10.1844/10.25/14.0754/17.1567/19.0613/12.67,9.6/7.1633/7.4613/6.9107/No stop loss/No stop loss/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),9.7
"ZM, Long, 2026-06-23 (Price: 86.445)",No Exit Yet,"-4.12%, 2 days","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-06-23",Already confirmed,"2026-06-25 (Price: 82.88), 4.12% below",2 days,8.26%/3.32%/5.43%,-12.99%/-20.11%/-15.67%,"20.11%, 21.62%",24 days/1 day/8 days,1.2 month/1 day/12 days,2026-07-27/2026-06-24/2026-07-04,0.93%,-18.57%,19.5%,-0.03,-0.5,91.4156/91.139/91.28/96.845/No Next Fib Ext/No Next Fib Ext/87.24,84.34/55.345/80.6919/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),84.3
"XLE, Long, 2026-06-22 (Price: 54.06)",No Exit Yet,"0.06%, 3 days","100.0%, Past 4 years, 13","Daily, was CONFIRMED on 2026-06-22",Already confirmed,"2026-06-25 (Price: 54.09), 0.06% above",3 days,4.81%/1.81%/3.0%,N/A,"0%, 11.71%",2.2 months/1 day/20 days,2.2 months/1 day/20 days,2026-09-25/2026-06-23/2026-07-20,13.97%,10.0%,3.97%,3.32,0.54,57.6712/55.6818/56.68/No Horizontal Resistance/63.4977/77.4405/No EMA 200 Target,53.77/37.6833/53.7738/37.4998/No F-Track Level/No F-Track Level/51.11,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),53.53
"IMO.TO, Long, 2026-06-22 (Price: 161.61)",No Exit Yet,"-0.43%, 3 days","84.62%, Past 4 years, 13","Daily, was CONFIRMED on 2026-06-22",Already confirmed,"2026-06-25 (Price: 160.92), 0.43% below",3 days,6.75%/2.89%/4.81%,-8.07%/-9.11%/-8.59%,"9.11%, 9.29%",21 days/2 days/12 days,21 days/2 days/11 days,2026-07-22/2026-06-24/2026-07-09,10.84%,21.26%,-10.42%,0.51,1.11,182.0698/169.3834/175.73/No Horizontal Resistance/191.1726/226.9244/No EMA 200 Target,158.2/60.8067/143.048/130.9032/No F-Track Level/No F-Track Level/149.43,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),159.13
"BABA, Long, 2026-06-15 (Price: 112.55)",2026-06-23 (Price: 102.6),"-8.84%, 8 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-06-15",Already confirmed,"2026-06-25 (Price: 95.07), 15.53% below",10 days,12.26%/3.97%/6.78%,-9.87%/-17.99%/-13.93%,"17.99%, 17.99%",1.2 month/1 day/14 days,1.8 month/0 days/15 days,2026-08-06/2026-06-16/2026-07-05,12.56%,-9.07%,21.63%,0.39,-0.1,125.043/120.1809/122.61/181.595/399.1612/524.2534/148.48,103.83/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),112.66
"HDB, Long, 2026-06-14 (Price: 24.17)",No Exit Yet,"4.96%, 11 days","100.0%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-25 (Price: 25.37), 4.96% above",11 days,16.81%/7.65%/10.25%,N/A,"-0.0%, 13.44%",2.1 months/7 days/1.2 month,2.1 months/0 days/1 month,2026-09-13/2026-06-24/2026-08-05,14.3%,5.35%,8.95%,2.05,0.27,26.6329/26.6474/26.64/39.5717/40.717/49.3282/31.17,23.41/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),23.29
"HDFCBANK.NS, Long, 2026-06-14 (Price: 772.45)",No Exit Yet,"3.09%, 11 days","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-25 (Price: 796.3), 3.09% above",11 days,11.71%/4.83%/8.43%,-12.08%/-12.08%/-12.08%,"12.08%, 16.27%",2.3 months/7 days/1.4 month,2.3 months/0 days/1.2 month,2026-09-21/2026-06-24/2026-08-13,8.0%,9.15%,-1.15%,0.49,0.54,823.8952/837.5675/830.73/1009.6/1098.0619/1180.6259/898.07,744.55/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),738.0
"IEI, Long, 2026-06-14 (Price: 117.21)",No Exit Yet,"0.31%, 11 days","77.78%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-25 (Price: 117.57), 0.31% above",11 days,1.55%/0.43%/0.87%,-1.21%/-4.66%/-2.94%,"4.66%, 5.44%",3.5 months/7 days/1.5 month,7.5 months/0 days/2.4 months,2026-11-13/2026-06-24/2026-08-18,3.18%,-0.06%,3.24%,-0.32,-1.25,No Target/118.2297/117.54/119.6711/No Next Fib Ext/No Next Fib Ext/118.99,116.73/113.8775/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),116.89
"FUTU, Long, 2026-06-14 (Price: 97.54)",No Exit Yet,"0.59%, 11 days","100.0%, Past 7 years, 4","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-25 (Price: 98.12), 0.59% above",11 days,17.72%/15.35%/16.81%,N/A,"-0.0%, 55.68%",1.1 year/14 days/4.7 months,1.1 year/0 days/3.5 months,2028-01-08/2026-07-04/2027-01-04,13.34%,19.31%,-5.97%,1.47,0.85,No Target/113.9365/No Target/201.195/202.7607/237.529/154.79,89.76/36.7433/73.7321/70.4414/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),92.33
"NU, Long, 2026-06-14 (Price: 12.19)",No Exit Yet,"2.21%, 11 days","100.0%, Past 4 years, 4","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-25 (Price: 12.46), 2.21% above",11 days,19.78%/10.0%/14.09%,N/A,"-0.0%, 22.89%",3.3 months/14 days/1.5 month,3.3 months/0 days/1.1 month,2026-11-04/2026-07-04/2026-08-18,13.95%,1.09%,12.86%,1.31,0.21,No Target/13.9076/13.0/16.1267/No Next Fib Ext/No Next Fib Ext/15.34,11.97/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),12.01
