"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BDGI.TO, Long, 2026-05-04 (Price: 80.22)",No Exit Yet,"0.0%, 0 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-04 (Price: 80.22), 0.0% below",0 days,"4, 2026-01-19 (Price: 82.57)",2026-04-30 (Price: 65.7),2026-05-04 (Price: 80.22),4/0/0 days,22.1% above/0.0% below/0.0% below,2026-01-19 (Price: 82.57)/2026-05-04 (Price: 66.3338),9.22%/1.3%/5.01%,"19.0%, 30.91%",3.2 months/6 days/23 days,2026-09-20/2026-05-12/2026-06-06,18.11%,11.37%,6.74%,0.36,0.57,82.033/84.239/81.63/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,60.35/24.32/73.041/66.9303/68.81/60.2924/66.64,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),79.31
"NOVA.F, Long, 2026-05-04 (Price: 37.82)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-04 (Price: 37.82), 0.0% below",0 days,"2, 2020-01-20 (Price: 28.0)",2026-04-30 (Price: 36.04),2026-05-04 (Price: 37.82),4/0/0 days,4.94% above/0.0% below/0.0% below,2020-01-20 (Price: 28.0)/2026-05-04 (Price: 35.608),12.24%/0.47%/5.34%,"11.07%, 36.03%",1.3 month/6 days/16 days,2026-06-29/2026-05-12/2026-05-27,12.63%,0.87%,11.76%,0.41,0.11,39.9606/39.8396/43.71/126.5/No Next Fib Ext/No Next Fib Ext/42.82,32.66/No Horizontal Support/36.9076/25.5985/No stop loss/No stop loss/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),37.0
"SOXX, Long, 2026-05-04 (Price: 462.06)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 333.49 prior to 2026-06-30,"2026-05-04 (Price: 462.06), 0.0% below",0 days,"2, 2004-03-31 (Price: 23.5567)",2026-03-31 (Price: 328.66),2026-04-01 (Price: 338.54),34/33/0 days,40.59% above/36.49% above/0.0% below,2004-03-31 (Price: 23.5567)/2026-05-04 (Price: 323.87),74.51%/31.99%/48.61%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2031-01-18/2028-03-11/2029-01-18,15.12%,9.12%,6.0%,0.52,0.47,605.4834/686.6674/725.16/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,106.24/110.475/320.8469/267.2317/393.5904/346.8734/310.81,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets),333.49
"XLU, Long, 2026-05-04 (Price: 46.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 27 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 46.3093 prior to 2026-06-30,"2026-05-04 (Price: 46.37), 0.0% below",0 days,"2, 2007-12-31 (Price: 22.33)",2026-03-31 (Price: 45.89),2026-04-30 (Price: 46.85),34/4/0 days,1.05% above/1.02% below/0.0% below,2007-12-31 (Price: 22.33)/2026-05-04 (Price: 43.435),24.01%/15.95%/18.64%,"-0.0%, 39.64%",4.1 years/2.8 years/3.2 years,2032-03-09/2030-05-01/2030-11-27,1.31%,2.9%,-1.59%,-0.01,0.05,47.4829/55.0134/60.79/47.3425/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.9698/40.0015/44.24,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets),45.78
"ASML, Long, 2026-05-04 (Price: 1386.21)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1345.64 prior to 2026-06-30,"2026-05-04 (Price: 1386.21), 0.0% below",0 days,"2, 1995-09-30 (Price: 7.1682)",2026-03-31 (Price: 1320.83),2026-04-08 (Price: 1421.05),34/26/0 days,4.95% above/2.45% below/0.0% below,1995-09-30 (Price: 7.1682)/2026-05-04 (Price: 1235.0167),210.92%/0.46%/114.28%,"0%, 35.81%",3 years/1 year/2.3 years,2030-08-15/2027-10-07/2029-08-13,13.27%,14.29%,-1.02%,0.45,0.62,1681.8886/2970.3708/2213.64/No Horizontal Resistance/1542.4146/1739.0799/No EMA 200 Target,415.35/576.784/1374.6905/1218.8523/1318.0232/1177.1728/1119.45,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets),1345.64
"MEL.NZ, Long, 2026-05-04 (Price: 5.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 5.695 prior to 2026-05-08,"2026-05-04 (Price: 5.8), 0.0% below",0 days,"0, 2024-07-21 (Price: 6.89)",2026-05-03 (Price: 5.72),2026-05-04 (Price: 5.8),1/0/0 days,1.4% above/0.0% below/0.0% below,2024-07-21 (Price: 6.89)/2026-05-04 (Price: 5.6562),24.31%/1.96%/8.57%,"-0.0%, 22.1%",3.3 months/1.2 month/1.6 month,2026-09-24/2026-06-25/2026-07-12,11.13%,7.15%,3.98%,0.58,0.37,6.304/6.2971/6.45/6.825/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,5.35/4.3875/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/5.67,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),5.69
"MX.TO, Long, 2026-05-04 (Price: 88.37)",No Exit Yet,"0.0%, 0 days","92.0%, Past 10 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 87.44 prior to 2026-05-08,"2026-05-04 (Price: 88.37), 0.0% below",0 days,"4, 2016-03-20 (Price: 48.95)",2026-04-26 (Price: 81.49),2026-05-04 (Price: 88.37),8/0/0 days,8.44% above/0.0% below/0.0% below,2016-03-20 (Price: 48.95)/2026-05-04 (Price: 77.7472),35.52%/4.37%/14.26%,"12.77%, 73.13%",11 months/28 days/4.8 months,2027-08-24/2026-06-13/2026-11-28,13.72%,4.93%,8.79%,0.36,0.3,101.3957/100.9716/112.02/No Horizontal Resistance/117.4996/153.5474/No EMA 200 Target,47.63/38.425/87.1294/81.2495/79.5146/71.2457/60.06,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),87.44
"MX.TO, Long, 2026-05-04 (Price: 88.37)",No Exit Yet,"0.0%, 0 days","80.0%, Past 33 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 87.44 prior to 2026-05-08,"2026-05-04 (Price: 88.37), 0.0% below",0 days,"8, 2018-12-31 (Price: 107.07)",2025-12-31 (Price: 54.44),2026-04-29 (Price: 86.65),124/5/0 days,62.33% above/1.98% above/0.0% below,2018-12-31 (Price: 107.07)/2026-05-04 (Price: 43.1504),108.43%/65.95%/81.05%,"20.17%, 53.89%",2.8 years/1.3 year/2.1 years,2030-05-01/2028-03-11/2029-05-03,8.2%,4.18%,4.02%,0.26,0.28,105.7701/159.9939/99.59/No Horizontal Resistance/117.4996/153.5474/No EMA 200 Target,45.09/38.425/87.1294/81.2495/79.5146/71.2457/60.06,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets),82.91
"NOVA.F, Long, 2026-05-04 (Price: 37.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 16","Weekly, will be confirmed as valid at the end of this week",Already confirmed,"2026-05-04 (Price: 37.82), 0.0% below",0 days,"4, 2024-05-12 (Price: 140.5295)",2026-04-26 (Price: 35.1),2026-05-04 (Price: 37.82),8/0/0 days,7.75% above/0.0% below/0.0% below,2024-05-12 (Price: 140.5295)/2026-05-04 (Price: 31.1332),21.94%/2.36%/12.22%,"-0.0%, 9.84%",6.1 months/1.2 month/2.8 months,2027-01-24/2026-06-25/2026-09-02,13.53%,6.36%,7.17%,0.72,0.33,44.847/42.4416/99.45/126.5/No Next Fib Ext/No Next Fib Ext/42.82,31.2/No Horizontal Support/36.9076/25.5985/31.908/No stop loss/No EMA 200 Stop Loss,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),37.0
"MU, Long, 2026-05-04 (Price: 576.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 41 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 349.55 prior to 2026-06-30,"2026-05-04 (Price: 576.45), 0.0% below",0 days,"0, 1986-06-30 (Price: 1.7125)",2025-12-31 (Price: 285.41),2026-04-01 (Price: 367.85),124/33/0 days,101.97% above/56.71% above/0.0% below,1986-06-30 (Price: 1.7125)/2026-05-04 (Price: 197.9267),248.53%/139.08%/212.05%,"-0.0%, 14.87%",1.5 year/1.3 year/1.4 year,2028-06-24/2028-03-11/2028-05-01,12.14%,8.71%,3.43%,0.3,0.46,1216.8859/1798.8122/921.29/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,49.98/48.44/339.9853/310.1249/467.081/389.8401/279.35,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets),349.55
