Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
DELTADRIFT,"EFN.TO, Long, 2026-06-07 (Price: 26.79)",Weekly,2026-06-26 (Price: 29.57),29.3511 (Historic Rise or Fall to Pivot)/29.82 (Function Specific Target),No Date Target,2.46%/10.77%,"10.38%, 19 days","2026-06-26 (Price: 29.57), 10.38% above",30.2968 (Avg % Gain of Historic Winning trades)/34.925 (Horizontal)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/33.42 (EMA 200)/32.7561 (Backtested Max),2026-09-27 (Max)/2026-07-17 (Avg),21.35/12.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"83.33%, Past 15 years, 6",26.92,No Information,No Information,No Information,No Information,No Information,No Information,22.27%/6.58%/13.09%,-43.16%/-43.16%/-43.16%,"43.16%, 45.87%",2.6 months/7 days/28 days,7.9 months/0 days/1.9 month,2.99%,9.0%,-6.01%,0.04,0.45,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,3.71%,1.68%,0.47,0.11,26.7900,20.7%,3.8,0
DELTADRIFT,"NAUKRI.NS, Long, 2026-05-31 (Price: 995.0)",Weekly,No Exit Yet,No Price Target,2026-06-26 (Avg),8.31%/11.39%,"-1.51%, 26 days","2026-06-26 (Price: 980.0), 1.51% below",1419.1685 (Historic Rise or Fall to Pivot)/1091.6145 (Avg % Gain of Historic Winning trades)/1255.39 (Function Specific Target)/1483.595 (Horizontal)/2223.4618 (F-Stack 1)/2377.3661 (F-Stack 2)/1182.65 (EMA 200)/1111.7135 (Backtested Max)/1061.466 (Backtested Min),2026-07-22 (Max),928.1/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 15 years, 5",964.45,No Information,No Information,No Information,No Information,No Information,No Information,11.73%/6.68%/9.71%,-22.33%/-22.33%/-22.33%,"22.33%, 28.55%",1.2 month/7 days/18 days,8.4 months/0 days/2 months,3.62%,12.8%,-9.18%,0.05,0.62,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,3.30%,0.25%,1.83,1.50,995.0000,100.0%,-1.6,0
PULSEGAUGE,"MEL.NZ, Long, 2026-04-28 (Price: 5.53)",Weekly,No Exit Yet,No Price Target,2026-06-23 (Min),12.89%/15.07%,"3.98%, 2 months","2026-06-26 (Price: 5.75), 3.98% above",6.6166 (Avg % Gain of Historic Winning trades)/7.4565 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.9484 (Backtested Max)/6.4911 (Backtested Min),2027-09-27 (Max)/2027-03-06 (Avg),5.35/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 12 years, 7",5.59,No Information,No Information,No Information,No Information,No Information,No Information,25.65%/17.38%/19.65%,-26.08%/-26.08%/-26.08%,"26.08%, 32.1%",11.9 months/1.3 month/7.2 months,11.9 months/0 days/5.3 months,7.79%,7.68%,0.11%,0.52,-0.12,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,13.12%,8.27%,2.82,2.35,5.5300,79.8%,27.1,87
TRENDPULSE,"BYD.TO, Long, 2023-12-31 (Price: 278.49)",Monthly,2026-06-26 (Price: 138.25),No Price Target,No Date Target,145.11%/165.65%,"-50.36%, 2.5 years","2026-06-26 (Price: 138.25), 50.36% below",408.6841 (Historic Rise or Fall to Pivot)/367.2583 (F-Stack 2)/338.8666 (Backtested Max),No Next Date Target,138.66/166.48/229.0045/147.1212/No F-Track Level/No F-Track Level/241.57,"93.75%, Past 20 years, 16",258.84,No Information,No Information,No Information,No Information,No Information,46.57% below/50.36% below/50.36% below,21.68%/5.8%/10.46%,-53.77%/-53.77%/-53.77%,"53.77%, 59.58%",1.1 year/5.1 months/9.9 months,2.5 years/0 days/9.9 months,12.45%,8.21%,4.24%,0.12,0.41,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity,6.45%,-3.23%,N/A,N/A,94.3235,100.0%,8.9,92
SIGMASHELL,"SUM.NZ, Long, 2026-05-01 (Price: 8.2)",Daily,No Exit Yet,No Price Target,2026-06-26 (Min),5.69%/19.54%,"3.9%, 1.9 month","2026-06-26 (Price: 8.52), 3.9% above",9.0044 (Avg % Gain of Historic Winning trades)/16.1691 (Function Specific Target)/12.6867 (Horizontal)/16.1691 (F-Stack 1)/19.8479 (F-Stack 2)/10.42 (EMA 200)/10.1852 (Backtested Max),2026-12-25 (Max)/2026-08-17 (Avg),7.99/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"73.33%, Past 5 years, 15",8.16,"-15.41, 61.37%",No Information,No Information,No Information,No Information,No Information,24.21%/0.1%/9.81%,-5.59%/-25.59%/-14.12%,"25.59%, 38.29%",5.5 months/1.3 month/2.5 months,1.5 year/0 days/3.7 months,0.05%,8.98%,-8.93%,0.03,0.49,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,3.43%,-0.53%,1.58,0.83,8.2000,60.2%,-8.0,80
FRACTAL TRACK,"FRW.NZ, Long, 2026-04-19 (Price: 12.25)",Weekly,No Exit Yet,13.9429 (Avg % Gain of Historic Winning trades),No Date Target,6.41%/7.56%,"13.39%, 2.3 months","2026-06-26 (Price: 13.89), 13.39% above",20.34 (Function Specific Target)/14.94 (Horizontal)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/14.7808 (Backtested Max),2031-07-31 (Max)/2026-09-26 (Min)/2027-11-13 (Avg),10.0/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 20 years, 14",12.92,No Information,No Information,No Information,"23.66% (Price: 12.0583), 15.19% above, Upmove Bounce Back","2003-10-19 (Price: 1.76), 2026-02-15 (Price: 15.25)",No Information,20.66%/2.33%/13.82%,N/A,"0%, 39.81%",3.7 years/3.7 months/1.1 year,3.7 years/3.7 months/1.1 year,9.27%,4.55%,4.72%,1.81,0.21,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,13.82%,6.67%,0.67,0.28,12.2500,3.1%,26.8,87
SIGMASHELL,"FSF.NZ, Long, 2026-05-04 (Price: 6.57)",Daily,No Exit Yet,No Price Target,2026-06-25 (Min),1.72%/7.77%,"9.74%, 1.8 month","2026-06-26 (Price: 7.21), 9.74% above",7.3341 (Avg % Gain of Historic Winning trades)/8.4284 (Function Specific Target)/8.4284 (F-Stack 1)/9.6034 (F-Stack 2)/7.77 (EMA 200)/8.3754 (Backtested Max),2027-01-02 (Max)/2026-10-16 (Avg),6.4/2.942/6.3611/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 5 years, 14",6.561,"-10.0, 100.0%",No Information,No Information,No Information,No Information,No Information,27.48%/1.18%/11.63%,-0.87%/-3.66%/-2.27%,"3.66%, 28.57%",5.6 months/1.2 month/3.8 months,9.6 months/0 days/4.1 months,22.08%,0.18%,21.9%,0.89,-0.08,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,9.64%,9.56%,1.04,0.14,6.5700,16.2%,44.8,80
TRENDPULSE,"BBTC.NS, Long, 2026-05-14 (Price: 1537.9)",Daily,2026-06-25 (Price: 1548.0),No Price Target,No Date Target,3.45%/7.2%,"0.66%, 1.4 month","2026-06-25 (Price: 1548.0), 0.66% above",1601.4153 (Historic Rise or Fall to Pivot)/1659.3941 (Avg % Gain of Historic Winning trades)/1756.96 (Function Specific Target)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1773.69 (EMA 200)/1765.2016 (Backtested Max),2026-11-21 (Max)/2026-07-31 (Avg),1465.6/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"91.3%, Past 4 years, 23",1532.5,No Information,No Information,No Information,No Information,No Information,5.62% above/0.66% above/0.66% above,14.78%/0.49%/7.9%,-13.42%/-13.42%/-13.42%,"13.42%, 27.11%",4.4 months/7 days/1.8 month,7.7 months/0 days/2 months,12.03%,4.38%,7.65%,0.5,0.26,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,6.05%,5.00%,1.48,1.28,1465.6315,91.7%,44.6,80
TRENDPULSE,"BEL.NS, Long, 2026-06-18 (Price: 428.6)",Daily,No Exit Yet,No Price Target,2026-06-23 (Min),6.09%/6.12%,"-4.69%, 7 days","2026-06-25 (Price: 408.5), 4.69% below",465.9311 (Historic Rise or Fall to Pivot)/453.2874 (Avg % Gain of Historic Winning trades)/455.51 (Function Specific Target)/433.5 (Horizontal)/456.8119 (F-Stack 1)/613.9011 (F-Stack 2)/520.4061 (Backtested Max)/433.3575 (Backtested Min),2026-11-12 (Max)/2026-07-31 (Avg),402.3/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/418.33,"100.0%, Past 4 years, 28",422.5,No Information,No Information,No Information,No Information,No Information,2.7% below/4.69% below/4.69% below,21.42%/1.11%/5.76%,N/A,"-0.0%, 22.01%",3.4 months/4 days/1 month,3.4 months/0 days/29 days,27.61%,37.89%,-10.28%,0.99,1.93,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,5.76%,1.40%,3.80,6.18,397.7605,100.0%,44.8,0
DELTADRIFT,"NZDUSD=X, Long, 2026-06-25 (Price: 0.5647)",Daily,No Exit Yet,No Price Target,2026-06-26 (Min),1.01%/1.05%,"-0.11%, 1 day","2026-06-26 (Price: 0.5641), 0.11% below",0.577 (Historic Rise or Fall to Pivot)/0.572 (Avg % Gain of Historic Winning trades)/0.57 (Function Specific Target)/0.714 (Horizontal)/0.58 (EMA 200)/0.5767 (Backtested Max)/0.5698 (Backtested Min),2026-10-15 (Max)/2026-07-26 (Avg),0.56/0.5528/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"76.47%, Past 4 years, 17",0.565,No Information,No Information,No Information,No Information,No Information,No Information,2.12%/0.9%/1.3%,-2.05%/-4.65%/-3.03%,"4.65%, 5.12%",2.6 months/1 day/22 days,2.6 months/1 day/25 days,3.87%,-2.71%,6.58%,0.02,-0.75,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),currency,0.28%,0.55%,1.79,2.00,0.5647,100.0%,12.7,80
DELTADRIFT,"ZM, Long, 2026-06-23 (Price: 86.445)",Daily,No Exit Yet,No Price Target,2026-06-24 (Min),0.88%/3.28%,"0.04%, 3 days","2026-06-26 (Price: 86.48), 0.04% above",91.4156 (Historic Rise or Fall to Pivot)/91.139 (Avg % Gain of Historic Winning trades)/91.28 (Function Specific Target)/96.845 (Horizontal)/87.24 (EMA 200)/93.5854 (Backtested Max)/89.315 (Backtested Min),2026-07-27 (Max)/2026-07-04 (Avg),84.34/55.345/80.6919/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"73.33%, Past 4 years, 15",84.3,No Information,No Information,No Information,No Information,No Information,No Information,8.26%/3.32%/5.43%,-12.99%/-20.11%/-15.67%,"20.11%, 21.62%",24 days/1 day/8 days,1.2 month/1 day/12 days,0.93%,-18.57%,19.5%,-0.03,-0.5,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,-0.20%,0.69%,2.19,1.12,86.4450,99.2%,13.6,40
DELTADRIFT,"CAD=X, Short, 2026-06-23 (Price: 1.4158)",Daily,No Exit Yet,No Price Target,2026-06-24 (Min),-12.06%/-2.75%,"-0.23%, 3 days","2026-06-26 (Price: 1.419), 0.23% above",1.415 (Historic Rise or Fall to Pivot)/1.409 (Avg % Gain of Historic Winning trades)/1.41 (Function Specific Target)/1.2478 (Horizontal)/1.38 (EMA 200),2026-07-08 (Max)/2026-06-30 (Avg),1.42/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 4 years, 7",1.4157,No Information,No Information,No Information,No Information,No Information,No Information,0.9%/0.24%/0.48%,-1.05%/-1.05%/-1.05%,"1.05%, 2.05%",11 days/1 day/5 days,11 days/1 day/5 days,3.98%,3.82%,0.16%,0.33,-0.27,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),currency,0.26%,0.26%,6.81,10.10,1.4158,100.0%,41.3,40
