"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^GSPC, Long, 2026-04-17 (Price: 7126.0601)",No Exit Yet,"0.0%, 0 days","^DJI, Local Extrema Case",2025-12-21 (Price: 6720.4302),"83.33%, Past 10 years, 84","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 7126.0601), 0.0% below",0 days,21.88%/0.33%/6.65%,"14.2%, 31.81%",9.8 months/2.1 months/4.2 months,2027-06-16/2026-07-17/2026-10-16,14.9%,8.54%,6.36%,0.0,0.56,7717.5231/7599.9431/7259.3705/No Horizontal Resistance/7259.3705/8120.6965/No EMA 200 Target,6368.85/4128.7074/6878.3796/6483.7743/No F-Track Level/No F-Track Level/6683.79,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),6806.4702
"BN.TO, Long, 2026-04-05 (Price: 56.93)",No Exit Yet,"12.14%, 12 days","^GSPC, Normal Case",2026-03-29 (Price: 52.74),"92.59%, Past 2 years, 27","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 63.84), 12.14% above",12 days,39.04%/0.51%/13.13%,"10.81%, 25.91%",5.6 months/2.1 months/3.6 months,2026-12-04/2026-07-05/2026-09-08,66.17%,16.44%,49.73%,0.0,0.9,63.7217/64.4049/68.7243/68.4166/68.7243/74.8784/61.72,52.55/41.16/52.8663/46.8365/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),54.81
"TRI.TO, Long, 2026-04-05 (Price: 125.58)",No Exit Yet,"1.49%, 12 days","^GSPC, Normal Case",2026-03-29 (Price: 117.77),"82.46%, Past 10 years, 114","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 127.45), 1.49% above",12 days,25.18%/0.39%/8.37%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,2027-03-25/2026-07-05/2026-09-08,22.02%,5.4%,16.62%,0.0,0.27,140.8631/136.091/293.2329/240.8933/293.2329/372.3374/193.79,113.99/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),124.83
"BEL.NS, Long, 2026-04-05 (Price: 421.6)",No Exit Yet,"9.76%, 12 days","^NSEI, Local Extrema Case",2026-01-25 (Price: 397.0),"81.51%, Past 10 years, 119","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 462.75), 9.76% above",12 days,62.01%/0.22%/18.3%,"36.52%, 45.62%",10.5 months/2.1 months/4 months,2027-07-05/2026-07-05/2026-09-25,34.37%,19.02%,15.35%,0.0,0.9,505.9622/498.7528/456.8119/433.5/456.8119/613.9011/No EMA 200 Target,404.75/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/412.17,74.36%/39/3.3 months (Across ALL Assets),64.9%/396/3.4 months (Across ALL Assets),400.0
