Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2024-06-30 (Price: 173.81)",2026-05-04 (Price: 401.61),"131.06%, 1.9 year","71.43%, Past 28 years, 7","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-05-04 (Price: 401.61), 131.06% above",1.9 year,137.29,No Information,No Information,No Information,No Information,No Information,195.19% above/183.7% above/131.06% above,96.63%/26.32%/58.65%,"14.69%, 43.01%",2.3 years/1.3 year/1.9 year,2027-10-10/2026-05-08/2027-03-17,9.93%,11.69%,-1.76%,0.35,0.54,264.2433/275.7496/192.78/No Horizontal Resistance/No Target/217.8566/No EMA 200 Target,68.56/60.035/135.8936/108.0515/No F-Track Level/No F-Track Level/121.39,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2024-06-30 (Price: 202.26)",2026-05-04 (Price: 307.65),"52.11%, 1.9 year","100.0%, Past 45 years, 6","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-05-04 (Price: 307.65), 52.11% above",1.9 year,199.99,No Information,No Information,No Information,No Information,No Information,52.11% above/52.11% above/52.11% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1.1 year/1.8 year,2029-08-20/2026-01-24/2027-01-24,5.38%,6.11%,-0.73%,0.2,0.31,238.2421/255.9398/316.12/203.41/208.1524/275.691/No EMA 200 Target,104.5/91.08/186.1217/130.0388/No F-Track Level/No F-Track Level/173.92,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2024-03-31 (Price: 136.05)",2026-05-04 (Price: 401.61),"195.19%, 2.1 years","71.43%, Past 28 years, 7","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-05-04 (Price: 401.61), 195.19% above",2.1 years,102.25,No Information,No Information,No Information,No Information,No Information,195.19% above/195.19% above/195.19% above,96.63%/26.32%/58.65%,"14.69%, 43.01%",2.3 years/1.3 year/1.9 year,2027-07-11/2026-02-06/2026-12-16,9.93%,11.69%,-1.76%,0.35,0.54,206.8368/215.8433/139.74/143.6/No Target/169.1372/No EMA 200 Target,68.56/60.035/108.0515/85.2377/No F-Track Level/No F-Track Level/104.41,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2024-03-31 (Price: 48075.75)",2026-05-04 (Price: 60159.75),"25.14%, 2.1 years","100.0%, Past 21 years, 8","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-05-04 (Price: 60159.75), 25.14% above",2.1 years,46581.1484,No Information,No Information,No Information,No Information,No Information,30.27% above/27.91% above/25.14% above,71.71%/11.89%/36.9%,"-0.0%, 44.62%",4.6 years/1.3 year/2.6 years,2030-10-23/2026-02-06/2027-12-16,10.88%,9.46%,1.42%,0.35,0.47,57354.3698/65815.7017/73711.59/No Horizontal Resistance/51648.171/69983.5191/No EMA 200 Target,11703.75/24894.2998/44465.2214/36390.8355/No F-Track Level/No F-Track Level/41870.31,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"XLV, Long, 2024-02-29 (Price: 144.82)",2026-05-04 (Price: 144.73),"-0.06%, 2.2 years","85.71%, Past 20 years, 21","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-05-04 (Price: 144.73), 0.06% below",2.2 years,140.55,No Information,No Information,No Information,No Information,No Information,6.12% above/1.78% above/0.06% below,11.06%/2.58%/6.99%,"5.59%, 36.99%",2.7 years/5.1 months/1.2 year,2028-01-06/2024-10-07/2025-11-15,3.88%,4.65%,-0.77%,0.09,0.23,157.3904/154.9429/146.52/No Horizontal Resistance/153.114/174.1807/No EMA 200 Target,124.54/86.68/117.2225/81.225/No F-Track Level/No F-Track Level/133.48,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",2026-05-04 (Price: 1463.1),"0.16%, 2.2 years","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-05-04 (Price: 1463.1), 0.16% above",2.2 years,1435.0,No Information,No Information,No Information,No Information,No Information,2.56% above/0.16% above/0.16% above,27.34%/7.3%/15.78%,"-0.0%, 36.79%",1.4 year/9.1 months/1.2 year,2026-02-26/2025-03-30/2025-11-15,7.63%,11.76%,-4.13%,0.22,0.6,2144.8926/1691.3142/1575.43/No Horizontal Resistance/1503.6962/2250.6285/No EMA 200 Target,1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2023-12-31 (Price: 40.71)",2026-05-04 (Price: 80.22),"97.05%, 2.4 years","100.0%, Past 34 years, 6","Quarterly, is CONFIRMED on 2023-12-31",Already confirmed,"2026-05-04 (Price: 80.22), 97.05% above",2.4 years,34.78,No Information,No Information,No Information,No Information,No Information,131.25% above/127.19% above/97.05% above,227.42%/21.67%/132.05%,"-0.0%, 36.34%",2.3 years/1.3 year/1.8 year,2027-04-11/2025-11-07/2026-07-26,17.97%,7.98%,9.99%,0.39,0.4,82.9181/94.4676/47.88/41.625/50.7492/58.0566/No EMA 200 Target,26.66/24.32/36.352/32.7462/No F-Track Level/No F-Track Level/32.88,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"BBD-B.TO, Long, 2023-03-31 (Price: 73.78)",2026-05-04 (Price: 279.39),"278.68%, 3.1 years","100.0%, Past 31 years, 5","Quarterly, is CONFIRMED on 2023-03-31",Already confirmed,"2026-05-04 (Price: 279.39), 278.68% above",3.1 years,52.18,No Information,No Information,No Information,No Information,No Information,434.51% above/432.78% above/278.68% above,241.77%/145.03%/209.53%,"-0.0%, 93.65%",3.1 years/1.6 year/2.6 years,2027-09-02/2025-07-12/2026-12-15,6.57%,2.49%,4.08%,0.26,0.31,97.3306/228.3712/113.21/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,8.25/38.25/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/43.09,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",2026-05-04 (Price: 46.37),"24.55%, 4.2 years","100.0%, Past 27 years, 5","Quarterly, is CONFIRMED on 2022-03-31",Already confirmed,"2026-05-04 (Price: 46.37), 24.55% above",4.2 years,35.775,No Information,No Information,No Information,No Information,No Information,24.55% above/24.55% above/24.55% above,24.01%/15.95%/18.64%,"-0.0%, 39.64%",4.1 years/2.8 years/3.2 years,2028-02-04/2026-03-28/2026-10-24,1.31%,2.9%,-1.59%,-0.01,0.05,38.1235/44.1697/44.63/No Horizontal Resistance/38.6831/43.7042/No EMA 200 Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"TD, Long, 2021-06-30 (Price: 70.05)",2026-05-04 (Price: 106.25),"51.68%, 4.9 years","100.0%, Past 30 years, 5","Quarterly, is CONFIRMED on 2021-06-30",Already confirmed,"2026-05-04 (Price: 106.25), 51.68% above",4.9 years,65.19,No Information,No Information,No Information,No Information,No Information,88.32% above/60.45% above/51.68% above,36.89%/18.26%/27.58%,"-0.0%, 32.96%",4.9 years/4.3 years/4.6 years,2028-06-28/2027-08-20/2028-01-22,6.57%,7.18%,-0.61%,0.24,0.37,90.1333/89.3698/74.88/No Horizontal Resistance/74.6074/91.6167/No EMA 200 Target,42.39/45.58/62.0577/52.9681/No F-Track Level/No F-Track Level/59.66,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2020-12-31 (Price: 162.8465)",2026-05-04 (Price: 272.05),"67.06%, 5.4 years","100.0%, Past 28 years, 5","Quarterly, is CONFIRMED on 2020-12-31",Already confirmed,"2026-05-04 (Price: 272.05), 67.06% above",5.4 years,160.4,No Information,No Information,No Information,No Information,No Information,72.8% above/65.68% above/67.06% above,98.54%/31.27%/63.23%,"0%, 51.17%",5.4 years/1.5 year/2.9 years,2028-09-15/2023-02-21/2025-02-20,11.21%,21.18%,-9.97%,0.31,0.72,200.4152/265.8143/257.16/No Horizontal Resistance/193.0625/213.1321/No EMA 200 Target,1.61/83.3704/132.2674/119.5138/No F-Track Level/No F-Track Level/143.87,100.0%/20/2.5 years (Across ALL Assets),0.0%/5/2.8 months (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Long, 2026-05-04 (Price: 17.95)",No Exit Yet,"0.0%, 0 days","83.33%, Past 14 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.55 prior to 2026-05-29,"2026-05-04 (Price: 17.95), 0.0% below",0 days,17.34,No Information,No Information,No Information,"61.8% (Price: 10.4799), 71.28% above, Upmove Bounce Back","2020-03-31 (Price: 3.05), 2025-10-31 (Price: 22.5)",No Information,37.13%/6.04%/23.44%,"6.15%, 41.57%",4.2 years/29 days/1.2 year,2032-05-02/2026-06-15/2028-01-19,10.88%,9.57%,1.31%,0.31,0.46,20.4702/22.1575/29.62/No Horizontal Resistance/22.5282/24.0279/No EMA 200 Target,12.09/4.205/16.241/14.7555/No stop loss/15.8016/14.3,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
FRACTAL TRACK,"HDFCBANK.NS, Long, 2026-05-04 (Price: 779.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 726.65 prior to 2026-05-29,"2026-05-04 (Price: 779.4), 0.0% below",0 days,772.6,No Information,No Information,No Information,"88.6% (Price: 720.3897), 8.19% above, Upmove Bounce Back","2024-02-29 (Price: 681.775), 2025-10-31 (Price: 1020.5)",No Information,56.06%/20.18%/27.58%,"-0.0%, 15.16%",1.3 year/4 months/10.4 months,2028-03-11/2026-10-24/2027-07-29,10.15%,11.95%,-1.8%,0.53,0.66,888.9836/994.3585/982.63/1009.6/1299.7536/1565.406/939.82,731.55/640.9/762.8018/626.4465/754.2622/720.3897/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
FRACTAL TRACK,"FXI, Long, 2026-05-04 (Price: 36.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 21 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.77 prior to 2026-05-29,"2026-05-04 (Price: 36.55), 0.0% below",0 days,36.67,No Information,No Information,No Information,"38.2% (Price: 33.9245), 7.74% above, Upmove Bounce Back","2024-01-31 (Price: 20.86), 2025-10-31 (Price: 42.0)",No Information,24.57%/2.93%/18.06%,"0%, 20.88%",2 years/7.1 months/1.4 year,2029-03-11/2027-03-08/2028-05-01,9.4%,2.4%,7.0%,0.3,0.1,No Target/43.1509/49.23/42.105/78.2212/93.8279/38.66,35.9/20.865/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2026-05-04 (Price: 413.62)",No Exit Yet,"0.0%, 0 days","86.67%, Past 40 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 356.28 prior to 2026-05-29,"2026-05-04 (Price: 413.62), 0.0% below",0 days,412.8,No Information,No Information,No Information,"38.2% (Price: 348.9484), 18.53% above, Upmove Bounce Back","2009-03-31 (Price: 14.87), 2025-07-31 (Price: 555.45)",No Information,29.06%/6.63%/22.0%,"13.49%, 56.13%",14.2 years/3 months/2 years,2046-08-11/2026-09-11/2029-03-11,6.96%,15.5%,-8.54%,0.2,0.76,533.4457/504.6164/737.97/554.585/574.7462/624.2034/467.51,370.17/216.39/384.4933/331.7514/389.8712/368.8052/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2026-05-04 (Price: 82.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 29 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 69.51 prior to 2026-05-29,"2026-05-04 (Price: 82.01), 0.0% below",0 days,83.45,No Information,No Information,No Information,"38.2% (Price: 69.2626), 18.4% above, Upmove Bounce Back","2024-12-31 (Price: 43.56), 2025-10-31 (Price: 85.15)",No Information,30.9%/20.21%/24.62%,"-0.0%, 36.48%",5 years/5 months/1.4 year,2033-06-23/2026-12-07/2028-05-01,8.39%,4.78%,3.61%,0.27,0.24,90.58/102.2009/106.96/106.045/119.2488/124.7126/No EMA 200 Target,71.82/58.425/74.001/62.2235/No stop loss/No stop loss/75.69,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2026-05-04 (Price: 58.35)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 54.83 prior to 2026-05-08,"2026-05-04 (Price: 58.35), 0.0% below",0 days,58.54,No Information,No Information,No Information,"23.66% (Price: 54.9461), 6.19% above, Upmove Bounce Back","2024-04-21 (Price: 28.25), 2026-03-01 (Price: 63.22)",No Information,18.23%/0.47%/14.35%,"9.4%, 36.12%",3.2 years/3.3 months/1.4 year,2030-11-27/2026-09-24/2028-05-01,7.78%,2.95%,4.83%,0.22,0.11,63.7415/66.7232/79.33/59.135/79.4263/92.0024/No EMA 200 Target,56.68/28.5067/53.9498/50.4772/54.9461/49.8615/56.55,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
FRACTAL TRACK,"ENZL, Long, 2026-05-04 (Price: 44.605)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 41.69 prior to 2026-05-29,"2026-05-04 (Price: 44.605), 0.0% below",0 days,44.69,No Information,No Information,No Information,"88.6% (Price: 42.0993), 5.95% above, Upmove Bounce Back","2023-10-31 (Price: 41.03), 2024-09-30 (Price: 50.41)",No Information,22.15%/8.73%/15.44%,"-0.0%, 22.82%",2.6 years/2.1 years/2.4 years,2030-01-18/2029-05-03/2029-10-06,5.03%,1.22%,3.81%,0.14,-0.06,45.9342/51.492/50.23/64.905/78.3229/93.1188/45.52,42.65/39.215/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
FRACTAL TRACK,"INDA, Long, 2026-05-04 (Price: 48.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 45.21 prior to 2026-05-29,"2026-05-04 (Price: 48.63), 0.0% below",0 days,49.17,No Information,No Information,No Information,"38.2% (Price: 44.5882), 9.06% above, Upmove Bounce Back","2020-03-31 (Price: 20.48), 2024-09-30 (Price: 59.49)",No Information,24.1%/20.42%/21.71%,"-0.0%, 32.99%",2.8 years/1.7 year/2 years,2030-05-01/2028-10-06/2029-03-11,10.66%,2.99%,7.67%,0.23,0.09,54.5483/59.1876/72.04/55.3975/60.4014/65.7544/52.31,46.84/39.0425/41.6131/No stop loss/No stop loss/No stop loss/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets)
