Report Type,Symbol,Today price,New Highest
New High,AAPL,$308.8200,√ $311.4000
New High,XIU.TO,$51.2500,√ $51.3400
New High,QQQ,$717.5400,√ $722.1200
New High,ARM,$306.5100,√ $315.0000
New High,SOXX,$537.3300,√ $541.8900
New High,^DJI,$50579.6992,√ $50830.2383
New High,BNS.TO,$110.9800,√ $111.3500
New High,AMD,$467.5100,√ $481.3700
New High,ASML,$1632.9000,√ $1653.5300
New High,GS,$996.7300,√ $1005.1800
New High,CSCO,$120.4100,√ $120.7900
New High,DIA,$506.1200,√ $508.7400
New High,TD,$111.8700,√ $112.3200
New High,BDGI.TO,$87.8900,√ $88.1350
New High,NA.TO,$213.3800,√ $214.7800
New High,RY.TO,$264.1500,√ $265.1000
New High,TD.TO,$156.5600,√ $157.1600
New High,MSE.PA,$69.5700,√ $69.7100
New High,^STI,$5070.5498,√ $5102.0698
New High,EIF.TO,$111.8400,√ $113.4500
New High,,,
