"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MX.TO, Long, 2026-06-17 (Price: 77.86)",No Exit Yet,"-2.94%, 2 days","75.0%, Past 5 years, 4","Daily, was CONFIRMED on 2026-06-17",No Cancellation Possible,"2026-06-19 (Price: 75.57), 2.94% below",2 days,68.51%/1.75%/33.2%,N/A,"1.91%, 44.27%",1.5 year/1.2 month/8.5 months,N/A,2028-08-07/2026-08-08/2027-06-21,20.47%,8.96%,11.51%,0.7,0.45,93.0271/103.7095/98.37/No Horizontal Resistance/104.8718/122.9238/No EMA 200 Target,74.24/38.425/77.0903/68.3859/No F-Track Level/No F-Track Level/66.0,79.78%/89/6 months (Across ALL Assets),70.96%/334/4.8 months (Across ALL Assets),78.24
"MCD, Long, 2025-06-11 (Price: 301.72)",2026-06-18 (Price: 278.61),"-7.66%, 1 year","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-06-11",No Cancellation Possible,"2026-06-18 (Price: 278.61), 7.66% below",1 year,12.32%/5.48%/8.15%,N/A,"-0.0%, 18.2%",1.9 year/2.5 months/9.5 months,N/A,2028-02-26/2025-09-27/2026-07-28,9.57%,2.75%,6.82%,1.75,0.06,317.9525/326.3102/322.13/322.0/370.0426/590.3302/305.29,300.43/204.46/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.78%/89/6 months (Across ALL Assets),70.96%/334/4.8 months (Across ALL Assets),300.2
"AMZN, Long, 2024-08-18 (Price: 177.06)",2026-06-14 (Price: 238.55),"34.73%, 1.8 year","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2024-08-18",No Cancellation Possible,"2026-06-19 (Price: 244.39), 38.03% above",1.9 year,66.13%/10.01%/38.07%,N/A,"10.32%, 49.02%",1.4 year/1.3 year/1.4 year,N/A,2026-08-16/2026-06-26/2026-08-16,7.16%,16.61%,-9.45%,0.37,0.84,184.0539/244.4667/214.26/189.4872/213.1321/231.81/232.8,166.94/81.3658/132.2674/119.5138/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.26%/23/2.2 years (Across ALL Assets),67.31%/104/1.1 year (Across ALL Assets),168.14
