"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"HDB, Long, 2026-05-18 (Price: 24.63)",No Exit Yet,"0.0%, 2 days","88.0%, Past 6 years, 25","Daily, is Confirmed on 2026-05-18",No Cancellation Possible,"2026-05-20 (Price: 24.63), 0.0% below",2 days,2026-05-05 (Price: 24.82)/2026-05-13 (Price: 23.75),23 days/1 day/8 days,11.75%/0.27%/5.01%,"10.41%, 13.52%",2.3 months/3 days/23 days,2026-08-25/2026-05-22/2026-06-20,15.08%,2.46%,12.62%,0.53,0.12,26.7137/25.864/26.6/39.5717/40.717/51.346/32.66,No Recent Minima/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),24.47
"CSU.TO, Long, 2026-05-14 (Price: 2533.1499)",2026-05-19 (Price: 2729.71),"7.76%, 5 days","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-05-14",No Cancellation Possible,"2026-05-20 (Price: 2715.0), 7.18% above",6 days,2026-05-06 (Price: 2387.6699)/2026-05-12 (Price: 2366.8401),14 days/1 day/6 days,9.71%/0.06%/4.72%,"12.56%, 13.01%",1.2 month/5 days/14 days,2026-07-05/2026-05-21/2026-06-03,6.88%,6.79%,0.09%,0.19,0.35,2658.7941/2652.7146/2685.14/5050.3501/No Next Fib Ext/No Next Fib Ext/3253.55,No Recent Minima/1788.955/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),2493.8501
