"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"WPM.TO, Long, 2026-05-01 (Price: 170.85)",2026-05-06 (Price: 183.43),"7.36%, 5 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 189.94), 11.17% above",7 days,11.19%/1.64%/4.97%,"11.96%, 12.04%",29 days/1 day/10 days,2026-06-12/2026-05-02/2026-05-15,5.72%,17.71%,-11.99%,0.14,0.89,181.1864/179.3412/180.26/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,170.84/52.782/158.548/146.049/No F-Track Level/No F-Track Level/164.68,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),170.43
"MCD, Long, 2026-04-30 (Price: 293.59)",2026-05-08 (Price: 275.75),"-6.08%, 8 days","70.59%, Past 4 years, 17","Daily, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-08 (Price: 275.75), 6.08% below",8 days,4.76%/1.35%/2.71%,"6.54%, 6.94%",13 days/1 day/7 days,2026-05-18/2026-05-01/2026-05-10,3.8%,2.75%,1.05%,0.03,0.06,312.3798/301.5463/306.96/321.444/370.0426/590.3302/309.11,290.08/230.37/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),290.55
"RELIANCE.NS, Long, 2026-04-12 (Price: 1350.2)",2026-05-03 (Price: 1436.0),"6.35%, 21 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-05-08 (Price: 1435.2), 6.3% above",26 days,14.48%/4.43%/7.74%,"0%, 10.35%",6.1 months/7 days/1.9 month,2027-01-02/2026-04-22/2026-07-03,8.42%,9.28%,-0.86%,1.5,0.5,1752.4246/1454.7055/1603.57/1610.3/1879.7264/2065.5547/1434.58,1348.1/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),1359.0
"SJ.TO, Long, 2026-04-10 (Price: 85.89)",2026-05-06 (Price: 77.01),"-10.34%, 26 days","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-04-10",Already confirmed,"2026-05-08 (Price: 71.28), 17.01% below",28 days,4.21%/1.58%/2.82%,"16.04%, 17.5%",23 days/1 day/6 days,2026-05-13/2026-04-11/2026-04-18,1.72%,7.05%,-5.33%,-0.14,0.37,90.3735/88.3121/89.34/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,85.13/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/85.24,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),87.17
"WFG.TO, Long, 2026-02-25 (Price: 88.81)",2026-05-04 (Price: 81.01),"-8.78%, 2.3 months","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-05-08 (Price: 84.64), 4.7% below",2.4 months,7.22%/2.44%/4.27%,"15.92%, 15.92%",3.3 months/2 days/18 days,2026-07-18/2026-02-27/2026-03-23,3.22%,-3.5%,6.72%,0.01,-0.15,93.1706/92.6022/92.89/131.52/170.6139/181.1797/92.05,81.56/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),90.02
"ORCL, Long, 2026-02-15 (Price: 160.14)",2026-05-08 (Price: 195.95),"22.36%, 2.7 months","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-05-08 (Price: 195.95), 22.36% above",2.7 months,15.74%/12.23%/13.73%,"20.01%, 25.53%",2.7 months/7 days/1.2 month,2026-06-12/2026-02-25/2026-04-08,6.28%,8.05%,-1.77%,0.4,0.41,208.3742/182.1272/195.25/No Horizontal Resistance/300.069/376.1425/210.99,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),148.49
"AMZN, Short, 2026-05-07 (Price: 271.17)",No Exit Yet,"-0.56%, 1 day","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-05-07",Already confirmed,"2026-05-08 (Price: 272.68), 0.56% above",1 day,5.38%/0.94%/2.55%,"6.23%, 7.98%",17 days/3 days/9 days,2026-05-31/2026-05-11/2026-05-20,4.88%,3.82%,1.06%,0.24,0.38,262.7095/264.2552/263.48/86.995/231.81/213.1321/228.52,274.99/No Horizontal Resistance/317.6152/339.3352/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),275.0
"NVO, Short, 2026-05-07 (Price: 45.8)",No Exit Yet,"-0.59%, 1 day","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-05-07",Already confirmed,"2026-05-08 (Price: 46.07), 0.59% above",1 day,4.23%/1.28%/2.5%,"4.83%, 4.23%",4 days/1 day/1 day,2026-05-12/2026-05-08/2026-05-08,6.4%,3.82%,2.58%,0.48,0.18,43.9451/44.655/44.3/45.4025/45.3824/37.3162/No EMA 200 Target,49.57/139.01/157.4212/211.8775/No F-Track Level/No F-Track Level/49.55,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),46.55
"^NDX, Short, 2026-05-04 (Price: 27651.8184)",2026-05-06 (Price: 28599.1719),"-3.43%, 2 days","87.5%, Past 4 years, 8","Daily, was CONFIRMED on 2026-05-04",Already confirmed,"2026-05-08 (Price: 29234.9941), 5.73% above",4 days,1.44%/0.71%/1.02%,"3.69%, 1.75%",6 days/1 day/3 days,2026-05-12/2026-05-05/2026-05-08,4.15%,3.82%,0.33%,0.16,0.62,27502.4986/27369.7699/27436.13/10555.915/25025.4383/22796.2371/24956.32,27710.36/No Horizontal Resistance/33965.62/36701.6323/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),27731.3418
"GNE.NZ, Short, 2026-05-04 (Price: 2.44)",No Exit Yet,"-0.82%, 4 days","100.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-05-04",Already confirmed,"2026-05-08 (Price: 2.46), 0.82% above",4 days,2.56%/1.05%/1.82%,"0.0%, 2.56%",1 day/1 day/1 day,2026-05-05 (Max),5.28%,3.82%,1.46%,1.24,-0.47,2.3648/2.3956/2.38/2.0875/No F-Stack Support/No F-Stack Support/2.38,2.47/3.3125/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),2.46
"AMZN, Short, 2026-04-27 (Price: 261.12)",2026-05-04 (Price: 272.05),"-4.19%, 7 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-04-27",Already confirmed,"2026-05-08 (Price: 272.68), 4.43% above",11 days,5.38%/0.94%/2.55%,"6.23%, 7.98%",17 days/3 days/9 days,2026-05-21/2026-05-01/2026-05-10,4.88%,3.82%,1.06%,0.24,0.38,252.9731/254.4614/253.72/86.995/231.81/213.1321/228.52,263.99/No Horizontal Resistance/317.6152/339.3352/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),263.425
