Report Type,Symbol,Today price,New Highest
New High,XIU.TO,$50.4900,√ $50.5600
New High,QQQ,$648.8500,√ $650.0000
New High,SOXX,$415.7100,√ $415.7200
New High,^GSPC,$7126.0601,√ $7147.5200
New High,^NDX,$26672.4336,√ $26719.5566
New High,AMD,$278.3900,√ $280.0500
New High,ACWX,$74.4700,√ $75.0770
New High,IWM,$275.7800,√ $277.6300
New High,MAR,$377.9300,√ $379.5600
New High,SPY,$710.1400,√ $712.3800
New High,TD,$105.3500,√ $105.7500
New High,VGT,$805.5800,√ $807.5000
New High,ATZ.TO,$139.9300,√ $142.9300
New High,NA.TO,$202.9200,√ $204.4500
New High,RY.TO,$244.2300,√ $245.6900
New High,TD.TO,$144.1700,√ $144.5500
New High,IBKR,$81.7100,√ $82.8800
New High,,,
