"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^BVSP, Long, 2026-06-23 (Price: 171258.875)",No Exit Yet,"0.0%, 0 days","88.24%, Past 6 years, 17","Daily, is Confirmed on 2026-06-23",No Cancellation Possible,"2026-06-23 (Price: 171258.875), 0.0% below",0 days,2026-06-08 (Price: 168130.0)/2026-06-19 (Price: 167657.5312),21 days/1 day/9 days,12.47%/0.77%/3.72%,-11.08%/-11.51%/-11.3%,"11.51%, 11.76%",1.4 month/7 days/23 days,1.9 month/0 days/25 days,2026-08-22/2026-07-03/2026-07-26,7.79%,6.85%,0.94%,0.25,0.41,178691.5102/177629.7051/190097.35/No Horizontal Resistance/205313.832/219216.256/No EMA 200 Target,No Recent Minima/96132.0/166057.916/142375.45/168362.576/158789.0/167897.67,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),170367.4062
"BTI, Long, 2026-06-23 (Price: 60.74)",No Exit Yet,"0.0%, 0 days","94.74%, Past 6 years, 19","Daily, is Confirmed on 2026-06-23",No Cancellation Possible,"2026-06-23 (Price: 60.74), 0.0% below",0 days,2026-06-03 (Price: 58.57)/2026-06-18 (Price: 58.225),16 days/2 days/8 days,14.51%/0.09%/3.91%,-11.01%/-11.01%/-11.01%,"11.01%, 12.8%",4.8 months/4 days/1 month,4.8 months/4 days/1.1 month,2027-01-17/2026-06-28/2026-08-05,12.76%,4.71%,8.05%,0.57,0.23,66.9294/63.1149/69.85/No Horizontal Resistance/79.4263/92.0024/No EMA 200 Target,No Recent Minima/28.5067/53.9498/50.4772/No stop loss/No stop loss/57.6,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),60.36
"NAUKRI.NS, Long, 2026-06-23 (Price: 1011.6)",No Exit Yet,"0.0%, 0 days","82.35%, Past 6 years, 17","Daily, is Confirmed on 2026-06-23",No Cancellation Possible,"2026-06-23 (Price: 1011.6), 0.0% below",0 days,2026-06-15 (Price: 977.1)/2026-06-19 (Price: 955.0),21 days/1 day/8 days,12.76%/0.42%/5.85%,-10.2%/-11.15%/-10.82%,"11.15%, 13.62%",2.4 months/4 days/20 days,2.4 months/4 days/19 days,2026-10-05/2026-06-28/2026-07-21,11.39%,6.93%,4.46%,0.37,0.36,1096.4732/1070.7786/1062.18/1483.595/1833.4532/2496.9457/1186.19,No Recent Minima/662.12/1009.5995/893.3628/910.766/794.352/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),1010.0
"DBC, Long, 2026-06-22 (Price: 27.41)",No Exit Yet,"-1.06%, 1 day","81.25%, Past 6 years, 16","Daily, is Confirmed on 2026-06-22",No Cancellation Possible,"2026-06-23 (Price: 27.12), 1.06% below",1 day,2026-06-15 (Price: 28.1)/2026-06-17 (Price: 27.68),14 days/1 day/6 days,8.2%/0.16%/2.81%,-10.06%/-10.93%/-10.58%,"10.93%, 12.27%",3.9 months/3 days/23 days,5.3 months/3 days/1.2 month,2026-12-08/2026-06-26/2026-07-25,3.11%,9.73%,-6.62%,-0.01,0.62,29.3506/28.1802/28.78/28.58/61.3269/86.3141/No EMA 200 Target,No Recent Minima/20.84/22.4363/No stop loss/No F-Track Level/No F-Track Level/25.5,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),27.51
"MCY.NZ, Long, 2026-06-22 (Price: 6.89)",No Exit Yet,"0.0%, 1 day","91.3%, Past 6 years, 23","Daily, is Confirmed on 2026-06-22",No Cancellation Possible,"2026-06-23 (Price: 6.89), 0.0% below",1 day,2026-06-10 (Price: 6.7)/2026-06-11 (Price: 6.65),17 days/1 day/7 days,10.44%/0.07%/2.64%,-10.05%/-11.21%/-10.63%,"11.21%, 12.74%",3 months/4 days/24 days,3 months/4 days/27 days,2026-10-30/2026-06-27/2026-07-26,8.21%,4.61%,3.6%,0.25,0.23,7.3089/7.0719/7.23/7.072/7.8394/8.9737/No EMA 200 Target,No Recent Minima/5.13/6.4223/5.8309/No F-Track Level/No F-Track Level/6.56,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),6.94
"URNM, Long, 2026-06-12 (Price: 54.58)",2026-06-22 (Price: 56.18),"2.93%, 10 days","80.0%, Past 6 years, 25","Daily, is Confirmed on 2026-06-12",No Cancellation Possible,"2026-06-23 (Price: 55.69), 2.03% above",11 days,2026-05-20 (Price: 56.81)/2026-06-10 (Price: 51.29),22 days/1 day/7 days,13.73%/2.46%/6.78%,-10.29%/-12.78%/-11.08%,"12.78%, 16.39%",1.8 month/2 days/13 days,1.8 month/0 days/12 days,2026-08-29/2026-06-14/2026-06-30,15.43%,18.54%,-3.11%,0.37,0.81,62.5978/58.2805/66.04/58.7883/95.5076/134.4852/62.29,No Recent Minima/27.3005/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),54.19
"NVO, Long, 2026-06-10 (Price: 42.81)",2026-06-22 (Price: 45.88),"7.17%, 12 days","81.82%, Past 6 years, 22","Daily, is Confirmed on 2026-06-10",No Cancellation Possible,"2026-06-23 (Price: 47.42), 10.77% above",13 days,2026-06-03 (Price: 41.9)/2026-06-08 (Price: 41.0),20 days/1 day/6 days,8.75%/2.56%/5.86%,-10.26%/-11.39%/-10.79%,"11.39%, 12.74%",1.7 month/4 days/16 days,1.7 month/0 days/16 days,2026-08-22/2026-06-15/2026-07-03,13.3%,2.84%,10.46%,0.35,0.19,47.1681/45.3187/44.95/139.01/157.4212/208.2418/48.05,No Recent Minima/No Horizontal Support/37.3162/32.5538/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),41.67
"KWEB, Long, 2026-06-01 (Price: 27.36)",2026-06-23 (Price: 24.49),"-10.49%, 22 days","86.21%, Past 6 years, 29","Daily, is Confirmed on 2026-06-01",No Cancellation Possible,"2026-06-23 (Price: 24.49), 10.49% below",22 days,2026-05-22 (Price: 26.41)/2026-05-28 (Price: 26.23),19 days/1 day/6 days,15.44%/0.28%/4.82%,-10.01%/-13.22%/-11.25%,"13.22%, 14.33%",24 days/1 day/8 days,1.6 month/0 days/10 days,2026-07-05/2026-06-02/2026-06-12,15.21%,-9.9%,25.11%,0.34,-0.19,29.1876/28.6788/29.0/54.865/No Next Fib Ext/No Next Fib Ext/33.97,No Recent Minima/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),26.95
"MX.TO, Long, 2026-06-01 (Price: 84.71)",2026-06-18 (Price: 75.08),"-11.37%, 17 days","81.82%, Past 6 years, 22","Daily, is Confirmed on 2026-06-01",No Cancellation Possible,"2026-06-23 (Price: 72.8), 14.06% below",22 days,2026-05-25 (Price: 81.74)/2026-05-27 (Price: 80.99),29 days/1 day/7 days,11.79%/0.26%/4.78%,-10.61%/-15.96%/-12.86%,"15.96%, 16.64%",2.7 months/3 days/15 days,2.7 months/3 days/18 days,2026-09-26/2026-06-05/2026-06-22,8.75%,12.91%,-4.16%,0.18,0.61,93.7062/88.7591/88.95/No Horizontal Resistance/104.8718/122.9238/No EMA 200 Target,No Recent Minima/38.425/77.0903/68.3859/No F-Track Level/No F-Track Level/66.21,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),82.89
"HDB, Long, 2026-05-18 (Price: 24.63)",2026-06-22 (Price: 25.09),"1.87%, 1.2 month","88.46%, Past 6 years, 26","Daily, is Confirmed on 2026-05-18",No Cancellation Possible,"2026-06-23 (Price: 25.02), 1.58% above",1.2 month,2026-05-05 (Price: 24.82)/2026-05-13 (Price: 23.75),23 days/1 day/8 days,11.75%/0.27%/5.01%,-10.01%/-10.41%/-10.17%,"10.41%, 13.52%",2.3 months/3 days/23 days,2.3 months/0 days/24 days,2026-08-25/2026-05-22/2026-06-20,14.85%,1.34%,13.51%,0.51,0.05,26.6521/25.864/26.6/39.5717/40.717/51.346/31.27,No Recent Minima/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),24.47
