Report Type,Symbol,Today price,New Highest
New High,AAPL,$308.3300,√ $311.8200
New High,SFTBY,$24.6400,√ $25.0000
New High,QQQ,$730.2800,√ $731.1700
New High,ARM,$321.2200,√ $324.9999
New High,SOXX,$570.0900,√ $572.9500
New High,^GSPC,$7519.1201,√ $7539.0898
New High,^NDX,$30001.3184,√ $30044.4902
New High,BNS.TO,$111.0000,√ $111.3900
New High,AMD,$503.8900,√ $506.9600
New High,ACWX,$76.5800,√ $76.6300
New High,NIFTY_MIDCAP_100.NS,$62298.8984,√ $62365.2500
New High,GS,$994.5200,√ $1016.5350
New High,EEM,$68.4000,√ $68.4950
New High,IWM,$290.5100,√ $290.5500
New High,SPY,$750.5900,√ $752.1300
New High,TD,$112.5600,√ $113.5099
New High,BDGI.TO,$87.1500,√ $88.6300
New High,GRANULES.NS,$756.5000,√ $778.7500
New High,EIF.TO,$113.4500,√ $113.6500
New High,005930.KS,$299000.0000,√ $302000.0000
New High,000660.KS,$2052000.0000,√ $2087000.0000
New High,MU,$895.8800,√ $916.7600
New High,,,
