Function,Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max/Min/Avg),Profit [%] (Max/Min/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
Forward Testing,ALTITUDE ALPHA,Yearly,Long,51,64.71%,6.3 years/0 days/2.1 years,171.17%/-51.05%/32.97%,81.43%,2.7 years,37.25%
Forward Testing,ALTITUDE ALPHA,Quarterly,Long,135,59.26%,6.9 years/3 days/2.0 year,106.09%/-49.34%/22.9%,82.24%,2.6 years,26.67%
Forward Testing,ALTITUDE ALPHA,Weekly,Long,96,57.29%,3.0 years/1.4 month/1.3 year,85.6%/-25.75%/19.33%,82.83%,2.2 years,35.42%
Forward Testing,ALTITUDE ALPHA,Monthly,Long,134,50.0%,5.0 years/1.0 month/1.7 year,109.05%/-35.08%/16.65%,79.26%,2.2 years,29.85%
Forward Testing,ALTITUDE ALPHA,Daily,Long,26,46.15%,1.8 year/17 days/8.7 months,73.05%/-30.92%/11.3%,80.0%,7.5 months,0.0%
Forward Testing,BAND MATRIX,Daily,Long,312,64.74%,1.9 year/2 days/4.6 months,224.0%/-49.24%/5.76%,82.26%,6.1 months,1.92%
Forward Testing,BAND MATRIX,Weekly,Long,112,63.39%,2.6 years/0 days/1.1 year,239.14%/-71.0%/15.93%,92.32%,2.0 years,54.46%
Forward Testing,BAND MATRIX,Monthly,Long,1,100.0%,9.2 months/9.2 months/9.2 months,16.83%/16.83%/16.83%,100.0%,9.4 years,100.0%
Forward Testing,BASELINEDIVERGENCE,Weekly,Long,396,64.9%,9.5 months/0 days/3.4 months,170.26%/-53.69%/5.7%,84.74%,3.6 months,15.91%
Forward Testing,DELTADRIFT,Weekly,Long,133,78.95%,9.3 months/0 days/2.0 months,15.83%/-40.46%/3.4%,86.53%,2.2 months,15.04%
Forward Testing,DELTADRIFT,Daily,Long,620,74.35%,3.1 months/1 day/16 days,22.83%/-24.18%/0.89%,82.71%,13 days,0.48%
Forward Testing,DELTADRIFT,Monthly,Long,2,100.0%,1.0 year/3.1 months/7.6 months,32.59%/5.59%/19.09%,77.5%,4.9 months,0.0%
Forward Testing,DELTADRIFT,Weekly,Short,34,70.59%,4.4 months/7 days/1 month,11.44%/-26.46%/-0.13%,86.62%,21 days,0.0%
Forward Testing,DELTADRIFT,Daily,Short,130,66.92%,1.1 month/1 day/6 days,12.36%/-14.69%/-0.14%,85.8%,6 days,0.0%
Forward Testing,DELTADRIFT,Monthly,Short,6,16.67%,1.2 year/3 days/5.1 months,11.03%/-18.52%/-6.05%,86.67%,2.3 months,33.33%
Forward Testing,FRACTAL TRACK,Monthly,Long,66,63.64%,2.7 years/1 month/9.7 months,72.43%/-59.93%/5.64%,88.34%,1.6 year,45.45%
Forward Testing,FRACTAL TRACK,Weekly,Long,165,52.12%,2.1 years/0 days/8.1 months,47.4%/-45.22%/1.0%,93.0%,1.3 year,50.3%
Forward Testing,FRACTAL TRACK,Quarterly,Long,2,50.0%,1.5 year/0 days/9.1 months,43.26%/0.0%/21.63%,100.0%,2 years,50.0%
Forward Testing,FRACTAL TRACK,Daily,Long,52,46.15%,1.5 year/7 days/5.5 months,13.18%/-53.75%/-4.02%,94.37%,5.8 months,50.0%
Forward Testing,FRACTAL TRACK,Weekly,Short,6,66.67%,21 days/7 days/15 days,8.33%/-3.64%/3.33%,95.0%,22 days,0.0%
Forward Testing,FRACTAL TRACK,Monthly,Short,21,57.14%,4.0 months/0 days/1.2 month,20.46%/-20.37%/1.71%,92.97%,1.8 month,23.81%
Forward Testing,FRACTAL TRACK,Quarterly,Short,13,53.85%,6.0 months/0 days/2.1 months,29.71%/-28.92%/-1.13%,94.03%,4.3 months,38.46%
Forward Testing,FRACTAL TRACK,Daily,Short,16,43.75%,18 days/1 day/5 days,6.31%/-31.11%/-3.47%,90.21%,3 days,0.0%
Forward Testing,OSCILLATOR DELTA,Daily,Long,497,78.27%,7.9 months/0 days/25 days,36.88%/-22.98%/0.5%,88.19%,20 days,0.0%
Forward Testing,OSCILLATOR DELTA,Daily,Short,127,72.44%,11.1 months/1 day/1.3 month,12.87%/-18.95%/-0.88%,94.35%,25 days,0.0%
Forward Testing,PULSEGAUGE,Weekly,Long,277,72.92%,2.9 years/14 days/6.5 months,71.36%/-49.02%/7.56%,84.76%,8.8 months,0.0%
Forward Testing,PULSEGAUGE,Weekly,Short,36,66.67%,1.1 month/1 day/11 days,11.82%/-20.66%/-0.63%,85.66%,18 days,0.0%
Forward Testing,SIGMASHELL,Daily,Long,306,64.05%,1.3 year/0 days/3.6 months,115.14%/-52.26%/3.68%,85.64%,3.5 months,0.65%
Forward Testing,TRENDPULSE,Daily,Long,775,77.68%,1.3 year/0 days/1.6 month,74.44%/-55.42%/0.81%,90.61%,28 days,0.52%
Forward Testing,TRENDPULSE,Weekly,Long,389,74.55%,1.7 year/5 days/4.0 months,57.72%/-53.65%/4.05%,89.58%,3.7 months,25.19%
Forward Testing,TRENDPULSE,Monthly,Long,197,65.48%,2.3 years/0 days/9.4 months,251.92%/-59.85%/8.42%,90.88%,10.3 months,42.13%
Forward Testing,TRENDPULSE,Quarterly,Long,3,0.0%,1.0 year/0 days/4.1 months,0.0%/-16.74%/-5.58%,93.94%,2.0 years,100.0%
Forward Testing,TRENDPULSE,Daily,Short,19,42.11%,26 days/3 days/13 days,11.05%/-9.62%/-0.56%,88.94%,10 days,0.0%
Forward Testing,TRENDPULSE,Weekly,Short,17,29.41%,2.6 months/5 days/1.3 month,15.96%/-26.5%/-2.86%,95.86%,2.2 months,29.41%
Forward Testing,TRENDPULSE,Monthly,Short,6,0.0%,1.1 year/0 days/6.4 months,-0.0%/-7.94%/-4.7%,95.83%,6.1 months,16.67%
Latest Performance,ALTITUDE ALPHA,Monthly,Long,16,75.0%,9.0 years/4.1 months/2.9 years,109.05%/-26.38%/44.68%,79.68%,2.8 years,6.25%
Latest Performance,ALTITUDE ALPHA,Daily,Long,11,72.73%,1.7 year/1.7 month/7.3 months,73.05%/-21.76%/40.24%,77.4%,9 months,0.0%
Latest Performance,ALTITUDE ALPHA,Weekly,Long,15,66.67%,5.0 years/1.4 month/2.2 years,77.61%/-27.42%/36.94%,82.72%,2.7 years,0.0%
Latest Performance,ALTITUDE ALPHA,Yearly,Long,14,64.29%,8.1 years/3.1 months/2.8 years,360.07%/-35.4%/62.66%,79.64%,3.2 years,35.71%
