"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"USDCHF=X, Long, 2026-05-04 (Price: 0.7811)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 17","Daily, is Confirmed on 2026-05-04",No Cancellation Possible,"2026-05-04 (Price: 0.7811), 0.0% below",0 days,2026-04-15 (Price: 0.7809)/2026-04-20 (Price: 0.7774),1.1 month/2 days/10 days,2.33%/0.05%/0.78%,"0.0%, 1.59%",28 days/3 days/11 days,2026-06-13/2026-05-08/2026-05-19,6.1%,-2.27%,8.37%,0.85,-0.94,0.7979/0.7872/0.82/1.0105/1.3738/1.5145/0.79,No Recent Minima/0.7787/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),0.7812
"PPH, Long, 2026-05-01 (Price: 102.3194)",No Exit Yet,"-0.19%, 3 days","100.0%, Past 6 years, 10","Daily, is Confirmed on 2026-05-01",No Cancellation Possible,"2026-05-04 (Price: 102.12), 0.19% below",3 days,2026-03-19 (Price: 101.63)/2026-03-20 (Price: 100.2),22 days/2 days/8 days,7.14%/0.11%/2.85%,"0.0%, 7.66%",4 months/6 days/1 month,2026-10-21/2026-05-09/2026-06-13,8.89%,6.83%,2.06%,0.69,0.44,106.1871/105.2355/107.44/No Horizontal Resistance/120.2747/126.127/No EMA 200 Target,No Recent Minima/72.54/100.0174/96.0365/No F-Track Level/No F-Track Level/98.16,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),102.35
"CAD=X, Long, 2026-04-29 (Price: 1.3679)",No Exit Yet,"-0.67%, 5 days","100.0%, Past 6 years, 18","Daily, is Confirmed on 2026-04-29",No Cancellation Possible,"2026-05-04 (Price: 1.3588), 0.67% below",5 days,2026-04-23 (Price: 1.366)/2026-04-27 (Price: 1.3598),18 days/1 day/7 days,4.01%/0.01%/1.07%,"0.0%, 9.95%",2 years/4 days/1.7 month,2029-03-06/2026-05-04/2026-07-11,5.52%,-0.24%,5.76%,0.34,-0.7,1.3935/1.3825/1.44/1.3856/No Next Fib Ext/No Next Fib Ext/1.38,No Recent Minima/1.2478/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),1.3678
"^TNX, Long, 2026-04-28 (Price: 4.354)",2026-05-01 (Price: 4.378),"0.55%, 3 days","80.95%, Past 6 years, 21","Daily, is Confirmed on 2026-04-28",No Cancellation Possible,"2026-05-04 (Price: 4.446), 2.11% above",6 days,2026-04-15 (Price: 4.264)/2026-04-20 (Price: 4.244),14 days/1 day/5 days,14.93%/0.12%/4.91%,"15.47%, 15.47%",2 months/2 days/18 days,2026-07-23/2026-04-30/2026-05-24,8.77%,25.65%,-16.88%,0.34,1.12,4.7145/4.5678/4.57/4.6918/17.4008/18.8284/No EMA 200 Target,No Recent Minima/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.18,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),4.371
"RELIANCE.NS, Long, 2026-04-01 (Price: 1369.2)",2026-05-04 (Price: 1463.1),"6.86%, 1.1 month","95.0%, Past 6 years, 20","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-05-04 (Price: 1463.1), 6.86% above",1.1 month,2026-02-27 (Price: 1388.1)/2026-03-04 (Price: 1307.0),15 days/2 days/7 days,13.75%/0.08%/2.93%,"11.14%, 12.26%",4 months/2 days/23 days,2026-09-21/2026-04-03/2026-05-04,10.33%,9.04%,1.29%,0.55,0.51,1423.8311/1409.3176/1437.66/1610.3/1879.7264/2065.5547/1435.79,No Recent Minima/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),1384.2
"PG, Long, 2026-04-01 (Price: 144.09)",2026-04-30 (Price: 147.09),"2.08%, 29 days","88.89%, Past 6 years, 18","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-05-04 (Price: 143.42), 0.46% below",1.1 month,2026-03-20 (Price: 144.25)/2026-03-27 (Price: 142.01),17 days/1 day/8 days,5.88%/0.19%/2.7%,"11.02%, 11.43%",4.4 months/6 days/1.3 month,2026-10-09/2026-04-09/2026-05-27,5.12%,2.12%,3.0%,0.15,0.01,150.2138/147.9804/154.18/179.4533/186.6499/209.3631/150.62,No Recent Minima/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),143.92
"MSFT, Short, 2026-05-01 (Price: 414.44)",No Exit Yet,"0.2%, 3 days","90.91%, Past 6 years, 11","Daily, is Confirmed on 2026-05-01",No Cancellation Possible,"2026-05-04 (Price: 413.62), 0.2% below",3 days,2026-04-16 (Price: 420.82)/2026-04-17 (Price: 431.58),7 days/1 day/4 days,3.99%/2.29%/2.95%,"11.15%, 11.74%",4.5 months/1 day/1.1 month,2026-11-12/2026-05-02/2026-06-17,6.18%,4.02%,2.16%,0.3,0.5,405.9025/402.214/404.06/216.39/386.873/350.287/No EMA 200 Target,No Recent Maxima/554.585/553.3726/615.9924/No F-Track Level/No F-Track Level/467.51,100.0%/17/17 days (Across ALL Assets),72.5%/80/1.4 month (Across ALL Assets),412.8
"ARM, Short, 2026-04-29 (Price: 201.69)",No Exit Yet,"-0.78%, 5 days","100.0%, Past 2 years, 4","Daily, is Confirmed on 2026-04-29",No Cancellation Possible,"2026-05-04 (Price: 203.26), 0.78% above",5 days,2026-04-22 (Price: 196.66)/2026-04-24 (Price: 237.68),14 days/5 days/8 days,5.76%/2.2%/3.92%,"0.0%, 10.51%",12 days/3 days/7 days,2026-05-16/2026-05-03/2026-05-09,15.68%,3.67%,12.01%,0.73,1.03,173.1509/193.7838/183.47/165.49/155.9428/122.7432/141.51,No Recent Maxima/No Horizontal Resistance/209.6611/292.8214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/17/17 days (Across ALL Assets),72.5%/80/1.4 month (Across ALL Assets),202.71
