"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MAZDOCK.NS, Long, 2026-05-03 (Price: 2738.0)",No Exit Yet,"-7.86%, 11 days","^NSEI, Normal Case",2026-04-26 (Price: 2578.0),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-05-03",Already confirmed,"2026-05-14 (Price: 2522.8), 7.86% below",11 days,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2027-04-02/2026-08-02/2026-11-01,92.6%,54.38%,38.22%,0.78,2.08,4088.6554/4350.4082/4314.534/No Horizontal Resistance/4314.534/5706.0825/No EMA 200 Target,2162.9/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/2600.87,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2690.0
"^GSPC, Long, 2026-05-03 (Price: 7230.1201)",No Exit Yet,"3.75%, 11 days","^DJI, Normal Case",2026-04-26 (Price: 7046.5498),"83.53%, Past 10 years, 85","Weekly, was CONFIRMED on 2026-05-03",Already confirmed,"2026-05-14 (Price: 7501.2402), 3.75% above",11 days,21.88%/0.33%/6.65%,"14.2%, 31.81%",9.8 months/2.1 months/4.2 months,2027-07-02/2026-08-02/2026-11-01,14.58%,9.27%,5.31%,0.52,0.62,7817.2059/7710.9231/9765.5661/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6774.64,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),7152.7202
"MAZDOCK.NS, Long, 2026-03-15 (Price: 2328.0)",2026-05-14 (Price: 2522.8),"8.37%, 2 months","^NSEI, Normal Case",2026-03-08 (Price: 2125.8999),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-05-14 (Price: 2522.8), 8.37% above",2 months,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2027-02-12/2026-06-14/2026-09-13,92.6%,54.38%,38.22%,0.78,2.08,3476.4024/3698.9592/4295.3759/2588.15/4295.3759/5655.9245/2600.87,2224.9/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2488.3999
"MAZDOCK.NS, Long, 2026-02-08 (Price: 2402.3999)",2026-05-14 (Price: 2522.8),"5.01%, 3.2 months","^NSEI, Normal Case",2021-02-14 (Price: 109.35),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-05-14 (Price: 2522.8), 5.01% above",3.2 months,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2027-01-08/2026-05-10/2026-08-09,92.6%,54.38%,38.22%,0.78,2.08,3587.5038/3817.1732/4287.3338/2588.15/4287.3338/5593.7123/2600.87,2301.8/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2380.0
"MAZDOCK.NS, Long, 2026-01-11 (Price: 2500.5)",2026-05-14 (Price: 2522.8),"0.89%, 4.1 months","^NSEI, Normal Case",2026-01-04 (Price: 2420.0),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-01-11",Already confirmed,"2026-05-14 (Price: 2522.8), 0.89% above",4.1 months,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2026-12-11/2026-04-12/2026-07-12,92.6%,54.38%,38.22%,0.78,2.08,3733.9967/3973.0444/4259.573/2588.15/4259.573/5325.1753/2600.87,2408.2/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2495.0
"MAZDOCK.NS, Long, 2026-01-04 (Price: 2494.5)",2026-05-14 (Price: 2522.8),"1.13%, 4.3 months","^NSEI, Normal Case",2025-12-28 (Price: 2401.1001),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-05-14 (Price: 2522.8), 1.13% above",4.3 months,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2026-12-04/2026-04-05/2026-07-05,92.6%,54.38%,38.22%,0.78,2.08,3725.0368/3963.5111/4259.573/2588.15/4259.573/5325.1753/2600.87,2408.2/112.6583/1843.1138/1261.1932/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),2579.0
"MAZDOCK.NS, Long, 2025-09-28 (Price: 2827.6001)",2026-05-14 (Price: 2522.8),"-10.78%, 7.6 months","^NSEI, Normal Case",2025-09-14 (Price: 2659.8999),"85.0%, Past 5 years, 60","Weekly, was CONFIRMED on 2025-09-28",Already confirmed,"2026-05-14 (Price: 2522.8), 10.78% below",7.6 months,170.26%/0.38%/58.89%,"6.25%, 28.55%",7.7 months/2.1 months/4.2 months,2026-08-28/2025-12-28/2026-03-29,92.6%,54.38%,38.22%,0.78,2.08,4222.4552/4492.7738/4090.5272/No Horizontal Resistance/4090.5272/4287.3338/No EMA 200 Target,2603.1/113.85/2784.682/1843.1138/No F-Track Level/No F-Track Level/2600.87,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),3025.0
