Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2026-04-30 (Price: 667.74)",Daily,2026-05-06 (Price: 695.77),No Price Target,2026-05-08 (Min),1.06%/2.26%,"4.2%, 6 days","2026-05-06 (Price: 695.77), 4.2% above",703.1302 (Historic Rise or Fall to Pivot)/766.27 (Function Specific Target)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/711.477 (Backtested Max),2026-06-08 (Max)/2026-05-08 (Min)/2026-05-18 (Avg),558.28/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/603.5,"75.0%, Past 4 years, 20",665.31,No Information,No Information,No Information,No Information,No Information,5.81% above/4.2% above/4.2% above,6.55%/0.6%/3.34%,"2.59%, 22.88%",27 days/6 days/13 days,11.2%,13.97%,-2.77%,0.42,0.86,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2026-04-27 (Price: 664.23)",Daily,2026-05-06 (Price: 695.77),699.4342 (Historic Rise or Fall to Pivot),2026-05-05 (Min),1.72%/9.33%,"4.75%, 9 days","2026-05-06 (Price: 695.77), 4.75% above",760.66 (Function Specific Target)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/707.7371 (Backtested Max),2026-06-05 (Max)/2026-05-15 (Avg),558.28/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/601.9,"75.0%, Past 4 years, 20",663.385,No Information,No Information,No Information,No Information,No Information,6.81% above/4.75% above/4.75% above,6.55%/0.6%/3.34%,"2.59%, 22.88%",27 days/6 days/13 days,11.2%,13.97%,-2.77%,0.42,0.86,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,697.8784 (Historic Rise or Fall to Pivot)/691.7074 (Backtested Max),No Date Target,20.19%/32.3%,"12.75%, 6.4 months","2026-05-06 (Price: 695.77), 12.75% above",920.5 (Function Specific Target)/836.2536 (F-Stack 2),No Next Date Target,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"88.89%, Past 10 years, 18",607.14,No Information,No Information,No Information,No Information,No Information,15.21% above/13.95% above/12.75% above,12.09%/1.74%/6.41%,"10.15%, 35.46%",4.2 months/1.2 month/2.2 months,7.81%,12.14%,-4.33%,0.34,0.81,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
PULSEGAUGE,"QQQ, Long, 2025-10-10 (Price: 589.5)",Weekly,2026-05-01 (Price: 674.15),689.8329 (Backtested Max),No Date Target,20.19%,"18.03%, 6.9 months","2026-05-06 (Price: 695.77), 18.03% above",836.2536 (F-Stack 2),2026-09-26 (Max)/2026-05-19 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"82.35%, Past 25 years, 17",608.45,No Information,No Information,No Information,No Information,No Information,No Information,17.02%/14.9%/15.52%,"23.59%, 27.45%",8.1 months/1.6 month/5.1 months,7.92%,7.91%,0.01%,0.48,-0.15,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"QQQ, Long, 2026-02-01 (Price: 621.87)",Weekly,No Exit Yet,698.5466 (Historic Rise or Fall to Pivot),2026-05-03 (Min),20.19%/20.19%,"11.88%, 3.1 months","2026-05-06 (Price: 695.77), 11.88% above",836.2536 (Function Specific Target)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/901.4006 (Backtested Max),2026-12-02 (Max)/2026-07-16 (Avg),422.67/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/605.9,"86.49%, Past 10 years, 74",623.21,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,44.95%/0.81%/10.22%,"13.49%, 27.25%",7 months/2.1 months/3.8 months,23.84%,13.95%,9.89%,0.8,0.91,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",Weekly,No Exit Yet,1435.11 (EMA 200),No Date Target,7.61%/11.99%,"8.29%, 10 days","2026-05-06 (Price: 1437.9), 8.29% above",1547.2853 (Avg % Gain of Historic Winning trades)/1625.97 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1641.5591 (Backtested Max),2030-01-10 (Max)/2026-05-16 (Min)/2027-02-11 (Avg),1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"91.3%, Past 20 years, 23",1363.2,No Information,No Information,No Information,"61.8% (Price: 1304.6849), 10.21% above, Upmove Bounce Back","2025-04-13 (Price: 1114.85), 2026-01-11 (Price: 1611.8)",No Information,23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,15.03%,9.05%,5.98%,1.32,0.46,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
DELTADRIFT,"RELIANCE.NS, Long, 2026-04-12 (Price: 1350.2)",Weekly,2026-05-03 (Price: 1436.0),1435.11 (EMA 200),No Date Target,1.17%/7.5%,"6.5%, 24 days","2026-05-06 (Price: 1437.9), 6.5% above",1752.4246 (Historic Rise or Fall to Pivot)/1454.7055 (Avg % Gain of Historic Winning trades)/1603.57 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1545.709 (Backtested Max),2027-01-02 (Max)/2026-07-03 (Avg),1348.1/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 15 years, 4",1359.0,No Information,No Information,No Information,No Information,No Information,No Information,14.48%/4.43%/7.74%,"0%, 10.35%",6.1 months/7 days/1.9 month,8.42%,9.28%,-0.86%,1.5,0.5,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets)
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",Monthly,2026-05-06 (Price: 1437.9),No Price Target,No Date Target,9.01%/9.56%,"-1.57%, 2.2 years","2026-05-06 (Price: 1437.9), 1.57% below",2144.8926 (Historic Rise or Fall to Pivot)/1725.643 (Avg % Gain of Historic Winning trades)/1575.43 (Function Specific Target)/2250.6285 (F-Stack 2)/2080.9096 (Backtested Max)/1567.4384 (Backtested Min),No Next Date Target,1071.86/853.4344/1393.886/957.4297/No F-Track Level/No F-Track Level/1244.6,"84.62%, Past 20 years, 13",1435.0,No Information,No Information,No Information,No Information,No Information,0.79% above/1.57% below/1.57% below,42.45%/7.3%/18.13%,"0.53%, 36.79%",1.4 year/7.1 months/1.1 year,6.85%,11.69%,-4.84%,0.87,0.6,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
OSCILLATOR DELTA,"RELIANCE.NS, Long, 2026-04-01 (Price: 1369.2)",Daily,2026-05-04 (Price: 1463.1),No Price Target,2026-05-04 (Avg),8.32%/11.99%,"5.02%, 1.2 month","2026-05-06 (Price: 1437.9), 5.02% above",1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1557.465 (Backtested Max),2026-09-21 (Max),No Recent Minima/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"95.0%, Past 6 years, 20",1384.2,No Information,No Information,No Information,No Information,No Information,No Information,13.75%/0.08%/3.14%,"11.14%, 12.26%",4 months/2 days/23 days,11.49%,9.08%,2.41%,0.46,0.51,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
PULSEGAUGE,"RELIANCE.NS, Long, 2026-04-23 (Price: 1343.4)",Weekly,No Exit Yet,1435.11 (EMA 200),No Date Target,11.99%/30.73%,"7.03%, 13 days","2026-05-06 (Price: 1437.9), 7.03% above",2020.3393 (Avg % Gain of Historic Winning trades)/1879.7264 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/2065.2088 (Backtested Max)/2003.1437 (Backtested Min),2040-01-05 (Max)/2028-04-20 (Min)/2032-02-27 (Avg),1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 25 years, 5",1363.2,No Information,No Information,No Information,No Information,No Information,No Information,53.73%/49.11%/50.39%,"-0.0%, 61.78%",9.6 years/1.4 year/4.1 years,8.29%,11.94%,-3.65%,1.33,0.07,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
