"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BTI, Long, 2026-04-23 (Price: 57.28)",2026-05-13 (Price: 65.35),"14.09%, 20 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-22 (Price: 65.36), 14.11% above",29 days,11.63%,16.61%/15.25%/15.73%,"25.39%, 28.78%",1.8 year/2.3 months/7.3 months,2028-11-16/2026-07-31/2027-03-06,5.58%,5.81%,-0.23%,0.28,-0.2,58.3683/66.2901/82.226/59.135/82.226/92.0468/No EMA 200 Target,56.68/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/57.24,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),57.05
"NVO, Long, 2026-04-23 (Price: 38.52)",2026-05-11 (Price: 46.4),"20.46%, 18 days","73.68%, Past 25 years, 19","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-22 (Price: 44.96), 16.72% above",29 days,11.63%,25.44%/19.64%/20.92%,"35.5%, 38.06%",11.8 months/2 months/6.1 months,2027-09-17/2026-07-18/2027-01-13,5.17%,9.21%,-4.04%,0.21,-0.06,39.3906/46.5784/157.4212/139.01/157.4212/No Next Fib Ext/49.06,36.04/No Horizontal Support/37.3162/32.5538/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),40.51
"PPL.TO, Long, 2026-04-23 (Price: 59.18)",2026-05-14 (Price: 66.72),"12.74%, 21 days","83.33%, Past 22 years, 12","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-25 (Price: 67.73), 14.45% above",1.1 month,11.63%,19.97%/17.44%/18.29%,"37.24%, 34.14%",1.6 year/2.8 months/10.8 months,2028-08-04/2026-08-22/2027-08-05,5.75%,5.24%,0.51%,0.3,-0.17,59.5351/70.004/65.6559/59.5/65.6559/68.3455/No EMA 200 Target,58.17/37.49/56.5867/51.3443/No F-Track Level/No F-Track Level/56.48,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),58.26
"XIU.TO, Long, 2026-01-30 (Price: 46.9)",2026-05-20 (Price: 50.58),"7.85%, 3.7 months","75.0%, Past 25 years, 16","Weekly, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-05-25 (Price: 51.25), 9.28% above",3.8 months,13.6%,11.6%/10.64%/10.91%,"24.26%, 30.26%",2 years/1.2 month/6.9 months,2028-12-07/2026-03-23/2026-11-25,3.67%,4.15%,-0.48%,0.07,-0.39,47.4112/52.0168/53.8646/No Horizontal Resistance/53.8646/57.8672/No EMA 200 Target,35.35/27.9467/44.2067/37.996/No F-Track Level/No F-Track Level/46.76,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),48.68
"BDGI.TO, Long, 2025-12-17 (Price: 72.56)",2026-05-25 (Price: 87.89),"21.13%, 5.3 months","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2025-12-17",No Cancellation Possible,"2026-05-25 (Price: 87.89), 21.13% above",5.3 months,14.01%,37.5%/26.11%/30.68%,"45.17%, 49.58%",7.9 months/20 days/4.1 months,2026-11-25/2026-01-14/2026-06-11,7.19%,13.14%,-5.95%,0.36,0.06,76.0356/94.8214/79.8787/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,35.59/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/68.71,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),78.9
"ASHR, Long, 2025-10-10 (Price: 31.48)",2026-05-11 (Price: 36.51),"15.98%, 7.1 months","83.33%, Past 12 years, 6","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-22 (Price: 35.35), 12.29% above",7.5 months,10.23%,20.84%/18.64%/19.53%,"28.49%, 29.84%",1.3 year/2 months/10.9 months,2027-08-18/2026-01-04/2027-01-26,5.6%,2.08%,3.52%,0.29,-0.23,32.8273/37.628/60.2967/39.9467/60.2967/80.3432/33.08,25.21/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),32.82
"BYD.TO, Long, 2025-07-08 (Price: 209.81)",2026-05-13 (Price: 134.54),"-35.88%, 10.3 months","76.92%, Past 22 years, 13","Weekly, was CONFIRMED on 2025-07-08",No Cancellation Possible,"2026-05-25 (Price: 153.35), 26.91% below",10.7 months,11.9%,27.88%/24.44%/25.85%,"42.94%, 40.93%",1.1 year/1.6 month/6.2 months,2027-02-01/2025-09-15/2026-04-03,4.53%,9.33%,-4.8%,0.2,-0.01,214.8035/264.0459/367.2583/256.6133/367.2583/388.6839/210.83,199.76/188.7067/147.1212/139.9966/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),213.29
"CNR.TO, Long, 2025-07-07 (Price: 140.7)",2026-05-20 (Price: 157.75),"12.12%, 10.6 months","82.35%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-07",No Cancellation Possible,"2026-05-25 (Price: 159.75), 13.54% above",10.7 months,11.9%,15.64%/14.5%/14.99%,"22.84%, 26.76%",1.2 year/1.5 month/6.5 months,2027-03-24/2025-09-10/2026-04-15,6.9%,7.83%,-0.93%,0.4,-0.16,142.4165/161.7909/218.156/168.08/218.156/349.4971/No EMA 200 Target,134.62/128.828/136.9828/86.815/No F-Track Level/No F-Track Level/138.98,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),144.04
"SUNPHARMA.NS, Long, 2025-07-03 (Price: 1679.7)",2026-05-18 (Price: 1905.8),"13.46%, 10.6 months","87.5%, Past 25 years, 16","Weekly, was CONFIRMED on 2025-07-03",No Cancellation Possible,"2026-05-25 (Price: 1840.6), 9.58% above",10.9 months,11.9%,26.55%/19.29%/21.27%,"32.17%, 36.89%",2.2 years/26 days/6.5 months,2028-08-23/2025-08-09/2026-04-11,10.21%,14.53%,-4.32%,0.64,0.05,1736.4739/2036.9722/2110.5488/1935.175/2110.5488/2290.2201/1712.39,1665.1/563.425/1465.6767/931.6525/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),1696.0
