"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BEL.NS, Long, 2026-05-26 (Price: 420.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 13","Daily, is Confirmed on 2026-05-26",No Cancellation Possible,"2026-05-26 (Price: 420.1), 0.0% below",0 days,2026-05-13 (Price: 415.75)/2026-05-20 (Price: 407.0),17 days/1 day/5 days,9.86%/0.3%/4.12%,"0.0%, 11.08%",1.9 month/2 days/23 days,2026-08-16/2026-05-28/2026-06-28,13.77%,42.47%,-28.7%,1.22,2.14,491.9371/437.4081/449.51/433.5/453.9486/522.5255/No EMA 200 Target,No Recent Minima/61.7416/333.1625/286.855/418.2749/384.3676/415.39,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),423.5
"HDFCBANK.NS, Long, 2026-05-25 (Price: 786.85)",No Exit Yet,"-1.01%, 1 day","80.0%, Past 6 years, 20","Daily, is Confirmed on 2026-05-25",No Cancellation Possible,"2026-05-26 (Price: 778.9), 1.01% below",1 day,2026-05-13 (Price: 747.35)/2026-05-14 (Price: 747.0),21 days/1 day/5 days,6.75%/0.15%/2.38%,"12.51%, 12.74%",3.3 months/3 days/1 month,2026-10-15/2026-05-29/2026-07-07,0.18%,6.24%,-6.06%,-0.12,0.33,819.5043/805.577/826.19/1009.6/1098.0619/1180.6259/921.39,No Recent Minima/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),776.0
"PG, Long, 2026-05-22 (Price: 144.44)",No Exit Yet,"-1.02%, 4 days","88.89%, Past 6 years, 18","Daily, is Confirmed on 2026-05-22",No Cancellation Possible,"2026-05-26 (Price: 142.96), 1.02% below",4 days,2026-05-15 (Price: 141.2)/2026-05-19 (Price: 140.85),17 days/1 day/8 days,5.88%/0.19%/2.64%,"11.02%, 11.43%",4.4 months/6 days/1.3 month,2026-11-29/2026-05-30/2026-07-17,5.36%,3.03%,2.33%,0.14,0.09,150.6943/148.2532/151.66/179.4533/186.6499/209.3631/149.81,No Recent Minima/137.0167/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),143.87
"SUM.NZ, Long, 2026-05-22 (Price: 7.7)",No Exit Yet,"1.95%, 4 days","84.21%, Past 6 years, 19","Daily, is Confirmed on 2026-05-22",No Cancellation Possible,"2026-05-26 (Price: 7.85), 1.95% above",4 days,2026-05-13 (Price: 7.56)/2026-05-18 (Price: 7.1),13 days/1 day/6 days,8.53%/0.08%/2.55%,"11.53%, 11.95%",4.1 months/3 days/1.1 month,2026-11-14/2026-05-26/2026-07-08,3.69%,3.12%,0.57%,0.02,0.13,8.0065/7.8964/8.09/12.64/19.8479/26.5969/10.71,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),7.34
"SJ.TO, Long, 2026-05-22 (Price: 73.96)",No Exit Yet,"3.1%, 4 days","81.82%, Past 6 years, 11","Daily, is Confirmed on 2026-05-22",No Cancellation Possible,"2026-05-26 (Price: 76.25), 3.1% above",4 days,2026-05-08 (Price: 71.175)/2026-05-11 (Price: 69.94),24 days/1 day/11 days,6.5%/0.78%/2.34%,"13.62%, 14.08%",1.3 month/3 days/14 days,2026-07-17/2026-05-26/2026-06-11,2.18%,10.88%,-8.7%,-0.08,0.6,81.3042/75.6907/77.66/84.3925/95.0177/123.2166/84.92,No Recent Minima/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),73.14
"INDY, Long, 2026-05-21 (Price: 42.34)",No Exit Yet,"0.99%, 5 days","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-05-21",No Cancellation Possible,"2026-05-26 (Price: 42.76), 0.99% above",5 days,2026-05-13 (Price: 41.911)/2026-05-19 (Price: 41.69),23 days/1 day/7 days,6.67%/0.05%/1.45%,"10.84%, 11.43%",2.8 months/6 days/21 days,2026-09-19/2026-05-29/2026-06-20,2.73%,5.45%,-2.72%,-0.03,0.29,43.661/42.9539/44.88/54.474/60.9145/66.9383/48.67,No Recent Minima/40.634/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),41.93
"GDX, Long, 2026-05-21 (Price: 85.99)",No Exit Yet,"2.92%, 5 days","95.0%, Past 6 years, 20","Daily, is Confirmed on 2026-05-21",No Cancellation Possible,"2026-05-26 (Price: 88.5), 2.92% above",5 days,2026-05-05 (Price: 85.72)/2026-05-19 (Price: 83.35),12 days/1 day/5 days,11.54%/0.22%/4.6%,"10.89%, 11.2%",1.2 month/2 days/14 days,2026-07-12/2026-05-23/2026-06-10,17.44%,11.0%,6.44%,0.76,0.54,94.9674/89.9455/98.03/No Horizontal Resistance/136.5646/157.2221/No EMA 200 Target,No Recent Minima/25.645/72.73/50.0225/No F-Track Level/No F-Track Level/85.06,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),84.46
"INDA, Long, 2026-05-21 (Price: 48.03)",No Exit Yet,"1.08%, 5 days","93.75%, Past 6 years, 16","Daily, is Confirmed on 2026-05-21",No Cancellation Possible,"2026-05-26 (Price: 48.55), 1.08% above",5 days,2026-05-13 (Price: 47.64)/2026-05-19 (Price: 47.13),23 days/1 day/9 days,5.29%/0.49%/2.66%,"10.42%, 10.55%",2.9 months/3 days/26 days,2026-09-24/2026-05-25/2026-06-27,9.24%,7.62%,1.62%,0.41,0.48,50.4267/49.3076/50.91/55.3975/66.8401/79.771/51.94,No Recent Minima/39.0425/45.3705/38.12/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),47.55
"C6L.SI, Long, 2026-05-07 (Price: 6.33)",2026-05-25 (Price: 6.65),"5.06%, 18 days","87.5%, Past 6 years, 16","Daily, is Confirmed on 2026-05-07",No Cancellation Possible,"2026-05-26 (Price: 6.64), 4.9% above",19 days,2026-04-29 (Price: 6.31)/2026-05-04 (Price: 6.27),1.2 month/1 day/11 days,9.74%/0.59%/2.64%,"10.5%, 11.94%",3.2 months/7 days/25 days,2026-09-23/2026-05-17/2026-06-12,4.92%,4.17%,0.75%,0.12,0.19,6.6895/6.4971/6.65/7.24/15.377/16.6022/6.54,No Recent Minima/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),6.33
