Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2026-05-25 (Price: 156.56)",No Exit Yet,"0.0%, 0 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-05-25",Already confirmed,"2026-05-25 (Price: 156.56), 0.0% below",0 days,155.77,No Information,No Information,No Information,No Information,No Information,2.23% above/0.0% below/0.0% below,4.43%/0.31%/2.32%,"4.88%, 19.34%",1.4 month/4 days/12 days,2026-07-24/2026-05-30/2026-06-11,5.25%,11.6%,-6.35%,0.93,0.81,162.6972/160.1922/205.85/No Horizontal Resistance/164.0876/173.0235/No EMA 200 Target,142.93/74.9133/146.0954/133.1838/131.5717/115.8467/124.07,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
OSCILLATOR DELTA,"HDFCBANK.NS, Long, 2026-05-25 (Price: 786.85)",No Exit Yet,"0.0%, 0 days","80.0%, Past 6 years, 20","Daily, is Confirmed on 2026-05-25",No Cancellation Possible,"2026-05-25 (Price: 786.85), 0.0% below",0 days,776.0,No Information,No Information,No Information,No Information,No Information,No Information,6.75%/0.15%/2.38%,"12.51%, 12.74%",3.3 months/3 days/1 month,2026-10-15/2026-05-29/2026-07-07,0.18%,6.24%,-6.06%,-0.12,0.33,819.5043/805.577/826.19/1009.6/1299.7536/1565.406/922.56,No Recent Minima/640.9/762.8018/626.4465/754.2622/720.3897/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
