Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2026-05-25 (Price: 156.56)",No Exit Yet,"0.0%, 0 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-05-25",Already confirmed,"2026-05-25 (Price: 156.56), 0.0% below",0 days,155.77,No Information,No Information,No Information,No Information,No Information,2.23% above/0.0% below/0.0% below,4.43%/0.31%/2.32%,"4.88%, 19.34%",1.4 month/4 days/12 days,2026-07-24/2026-05-30/2026-06-11,5.25%,11.6%,-6.35%,0.93,0.81,162.6972/160.1922/205.85/No Horizontal Resistance/164.0876/173.0235/No EMA 200 Target,142.93/74.9133/146.0954/133.1838/131.5717/115.8467/124.07,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
OSCILLATOR DELTA,"HDFCBANK.NS, Long, 2026-05-25 (Price: 786.85)",No Exit Yet,"0.0%, 0 days","80.0%, Past 6 years, 20","Daily, is Confirmed on 2026-05-25",No Cancellation Possible,"2026-05-25 (Price: 786.85), 0.0% below",0 days,776.0,No Information,No Information,No Information,No Information,No Information,No Information,6.75%/0.15%/2.38%,"12.51%, 12.74%",3.3 months/3 days/1 month,2026-10-15/2026-05-29/2026-07-07,0.18%,6.24%,-6.06%,-0.12,0.33,819.5043/805.577/826.19/1009.6/1299.7536/1565.406/922.56,No Recent Minima/640.9/762.8018/626.4465/754.2622/720.3897/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2026-05-24 (Price: 426.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-22",Signal Cancelled if Price < 419.355 prior to 2026-05-29,"2026-05-22 (Price: 426.01), 0.0% below",0 days,419.355,No Information,No Information,No Information,No Information,No Information,0.55% below/0.0% below/0.0% below,91.2%/12.35%/39.19%,"0%, 49.37%",8.4 months/28 days/2.2 months,2027-05-24/2026-07-03/2026-08-27,30.03%,28.37%,1.66%,1.84,1.1,666.4074/592.9633/469.7/487.1467/541.282/564.9603/No EMA 200 Target,348.95/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/410.03,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2026-05-24 (Price: 745.64)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-05-22",Signal Cancelled if Price < 744.6948 prior to 2026-05-29,"2026-05-22 (Price: 745.64), 0.0% below",0 days,739.83,No Information,No Information,No Information,No Information,No Information,0.0% below/0.59% above/0.0% below,9.31%/2.6%/4.31%,"0%, 32.23%",8.4 months/28 days/2.5 months,2027-05-24/2026-07-03/2026-09-09,8.51%,8.18%,0.33%,2.8,0.54,809.8396/777.7771/1066.47/No Horizontal Resistance/969.1148/1522.3697/No EMA 200 Target,634.09/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/678.85,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-05-24 (Price: 5.9)",No Exit Yet,"-0.51%, 1 day","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-22",Already confirmed,"2026-05-25 (Price: 5.87), 0.51% below",1 day,5.83,No Information,No Information,No Information,No Information,No Information,1.91% above/0.68% below/0.51% below,24.31%/3.73%/10.23%,"-0.0%, 22.1%",3.3 months/1.4 month/1.8 month,2026-10-14/2026-07-23/2026-08-10,11.03%,7.59%,3.44%,0.58,0.4,6.4286/6.5036/6.42/6.825/7.4565/8.4213/No EMA 200 Target,5.35/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.68,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
DELTADRIFT,"SJ.TO, Long, 2026-05-24 (Price: 73.96)",No Exit Yet,"0.19%, 1 day","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-05-24",Already confirmed,"2026-05-25 (Price: 74.1), 0.19% above",1 day,73.12,No Information,No Information,No Information,No Information,No Information,No Information,10.34%/3.91%/7.32%,"13.98%, 15.76%",5.6 months/14 days/2.3 months,2027-01-22/2026-06-13/2026-08-31,3.72%,10.65%,-6.93%,0.05,0.59,81.2007/79.3739/80.29/84.3925/95.0177/123.2166/84.91,71.28/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets)
DELTADRIFT,"BYDDY, Long, 2026-05-22 (Price: 11.6)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2026-05-22",Already confirmed,"2026-05-22 (Price: 11.6), 0.0% below",0 days,11.52,No Information,No Information,No Information,No Information,No Information,No Information,42.06%/3.25%/9.48%,"19.69%, 23.05%",28 days/5 days/13 days,2026-07-01/2026-05-29/2026-06-09,9.52%,10.73%,-1.21%,0.19,0.52,13.1219/12.6997/12.91/14.0729/17.0759/19.2153/13.03,11.5/7.1633/9.6555/8.3057/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"ETH-USD, Long, 2026-05-22 (Price: 2133.1599)",No Exit Yet,"-1.11%, 3 days","79.55%, Past 4 years, 44","Daily, is CONFIRMED on 2026-05-22",Already confirmed,"2026-05-25 (Price: 2109.5601), 1.11% below",3 days,2127.3579,No Information,No Information,No Information,No Information,No Information,0.23% below/1.11% below/1.11% below,39.76%/2.88%/14.04%,"30.61%, 45.7%",3 months/5 days/26 days,2026-09-29/2026-05-29/2026-06-28,37.25%,32.4%,4.85%,0.34,0.9,2556.8055/2432.6555/3825.5/4922.7188/4650.1074/4887.278/2614.53,2114.36/1370.4997/1681.3515/1567.5825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"ARM, Long, 2026-05-22 (Price: 306.51)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2026-05-22",Already confirmed,"2026-05-22 (Price: 306.51), 0.0% below",0 days,289.0565,No Information,No Information,No Information,No Information,No Information,2.78% above/0.0% below/0.0% below,17.15%/3.03%/9.14%,"11.36%, 41.47%",1.8 month/10 days/25 days,2026-08-08/2026-06-05/2026-06-27,21.81%,36.96%,-15.15%,0.46,1.35,333.9733/334.525/456.34/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,114.38/165.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/147.07,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
OSCILLATOR DELTA,"PG, Long, 2026-05-22 (Price: 144.44)",No Exit Yet,"0.0%, 0 days","88.89%, Past 6 years, 18","Daily, is Confirmed on 2026-05-22",No Cancellation Possible,"2026-05-22 (Price: 144.44), 0.0% below",0 days,143.87,No Information,No Information,No Information,No Information,No Information,No Information,5.88%/0.19%/2.64%,"11.02%, 11.43%",4.4 months/6 days/1.3 month,2026-11-29/2026-05-30/2026-07-17,5.36%,3.03%,2.33%,0.14,0.09,150.6943/148.2532/151.66/179.4533/186.6499/209.3631/149.86,No Recent Minima/137.0167/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
