"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"WPM.TO, Long, 2026-05-01 (Price: 170.85)",2026-05-06 (Price: 183.43),"7.36%, 5 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-06 (Price: 183.43), 7.36% above",5 days,11.19%/1.64%/4.97%,"11.96%, 12.04%",29 days/1 day/10 days,2026-06-12/2026-05-02/2026-05-15,5.72%,17.71%,-11.99%,0.14,0.89,181.1864/179.3412/180.26/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,170.84/52.782/158.548/146.049/No F-Track Level/No F-Track Level/164.11,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),170.43
"SPOT, Long, 2026-05-01 (Price: 441.51)",No Exit Yet,"-3.68%, 5 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-05-01",Already confirmed,"2026-05-06 (Price: 425.25), 3.68% below",5 days,14.75%/3.67%/9.64%,"16.71%, 16.71%",15 days/1 day/4 days,2026-05-22/2026-05-02/2026-05-06,5.76%,8.16%,-2.4%,0.13,0.44,457.7134/484.0716/470.89/No Horizontal Resistance/854.3544/922.2645/587.54,434.2/118.6/433.8097/410.2623/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),450.785
"RELIANCE.NS, Long, 2026-04-12 (Price: 1350.2)",2026-05-03 (Price: 1436.0),"6.35%, 21 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-05-06 (Price: 1437.9), 6.5% above",24 days,14.48%/4.43%/7.74%,"0%, 10.35%",6.1 months/7 days/1.9 month,2027-01-02/2026-04-22/2026-07-03,8.42%,9.28%,-0.86%,1.5,0.5,1752.4246/1454.7055/1603.57/1610.3/1879.7264/2065.5547/1435.11,1348.1/1006.0696/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),1359.0
"SJ.TO, Long, 2026-04-10 (Price: 85.89)",2026-05-06 (Price: 77.01),"-10.34%, 26 days","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-04-10",Already confirmed,"2026-05-06 (Price: 77.01), 10.34% below",26 days,4.21%/1.58%/2.82%,"16.04%, 17.5%",23 days/1 day/6 days,2026-05-13/2026-04-11/2026-04-18,1.72%,7.05%,-5.33%,-0.14,0.37,90.3735/88.3121/89.34/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,85.13/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/85.32,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),87.17
"BDGI.TO, Long, 2026-03-11 (Price: 64.46)",2026-05-01 (Price: 78.36),"21.56%, 1.7 month","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-05-06 (Price: 83.81), 30.02% above",1.9 month,21.56%/3.8%/7.38%,"11.11%, 11.11%",1.7 month/1 day/12 days,2026-05-23/2026-03-12/2026-03-28,8.47%,9.96%,-1.49%,0.29,0.5,70.0745/69.2171/69.65/No Horizontal Resistance/79.9248/84.3122/66.93,64.31/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),64.43
"WFG.TO, Long, 2026-02-25 (Price: 88.81)",2026-05-04 (Price: 81.01),"-8.78%, 2.3 months","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-05-06 (Price: 85.62), 3.59% below",2.3 months,7.22%/2.44%/4.27%,"15.92%, 15.92%",3.3 months/2 days/18 days,2026-07-18/2026-02-27/2026-03-23,3.22%,-3.5%,6.72%,0.01,-0.15,93.1706/92.6022/92.89/131.52/170.6139/181.1797/92.2,81.56/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),90.02
"ORCL, Long, 2026-02-15 (Price: 160.14)",2026-05-06 (Price: 194.03),"21.16%, 2.7 months","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-05-06 (Price: 194.03), 21.16% above",2.7 months,15.74%/12.23%/13.73%,"20.01%, 25.53%",2.7 months/7 days/1.2 month,2026-06-12/2026-02-25/2026-04-08,6.28%,8.05%,-1.77%,0.4,0.41,208.3742/182.1272/195.25/No Horizontal Resistance/300.069/376.1425/211.44,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),148.49
"^NDX, Short, 2026-05-04 (Price: 27651.8184)",2026-05-06 (Price: 28599.1719),"-3.43%, 2 days","87.5%, Past 4 years, 8","Daily, was CONFIRMED on 2026-05-04",Already confirmed,"2026-05-06 (Price: 28599.1719), 3.43% above",2 days,1.44%/0.71%/1.02%,"3.69%, 1.75%",6 days/1 day/3 days,2026-05-12/2026-05-05/2026-05-08,4.15%,3.82%,0.33%,0.16,0.62,27502.4986/27369.7699/27436.13/10555.915/25025.4383/22796.2371/24898.46,27710.36/No Horizontal Resistance/33965.62/36701.6323/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),27731.3418
"GNE.NZ, Short, 2026-05-04 (Price: 2.44)",No Exit Yet,"-1.64%, 2 days","100.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-05-04",Already confirmed,"2026-05-06 (Price: 2.48), 1.64% above",2 days,2.56%/1.05%/1.82%,"0.0%, 2.56%",1 day/1 day/1 day,2026-05-05 (Max),5.28%,3.82%,1.46%,1.24,-0.47,2.3648/2.3956/2.38/2.0875/No F-Stack Support/No F-Stack Support/2.38,2.47/3.3125/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),2.46
"AMZN, Short, 2026-04-27 (Price: 261.12)",2026-05-04 (Price: 272.05),"-4.19%, 7 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-04-27",Already confirmed,"2026-05-06 (Price: 274.99), 5.31% above",9 days,5.38%/0.94%/2.55%,"6.23%, 7.98%",17 days/3 days/9 days,2026-05-21/2026-05-01/2026-05-10,4.88%,3.82%,1.06%,0.24,0.38,252.9731/254.4614/253.72/86.995/231.81/213.1321/228.08,263.99/No Horizontal Resistance/317.6152/339.3352/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),263.425
