Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
DELTADRIFT,"BBTC.NS, Long, 2026-04-12 (Price: 1487.4)",Weekly,2026-06-22 (Price: 1589.3),1599.9962 (Backtested Min),No Date Target,6.29%/7.3%,"6.85%, 2.4 months","2026-06-22 (Price: 1589.3), 6.85% above",1689.2402 (Historic Rise or Fall to Pivot)/1721.5168 (Avg % Gain of Historic Winning trades)/1705.38 (Function Specific Target)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1727.2 (EMA 200)/1988.3563 (Backtested Max),2026-11-10 (Max)/2026-07-25 (Avg),1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 15 years, 7",1410.0,No Information,No Information,No Information,No Information,No Information,No Information,33.68%/7.57%/15.74%,-16.67%/-19.06%/-17.87%,"19.06%, 19.06%",4.9 months/7 days/2.4 months,4.9 months/0 days/1.7 month,5.17%,14.77%,-9.6%,0.19,0.66,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,6.14%,3.15%,1.17,0.20,1487.4000,56.5%,21.4,87
OSCILLATOR DELTA,"BBTC.NS, Long, 2026-06-10 (Price: 1520.2)",Daily,2026-06-17 (Price: 1524.6),1596.21 (Function Specific Target),No Date Target,1.37%/6.37%,"4.55%, 12 days","2026-06-22 (Price: 1589.3), 4.55% above",1611.108 (Historic Rise or Fall to Pivot)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1727.2 (EMA 200)/1690.6144 (Backtested Max),2026-07-20 (Max)/2026-06-30 (Avg),No Recent Minima/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 6 years, 25",1533.9,No Information,No Information,No Information,No Information,No Information,No Information,11.21%/0.29%/3.46%,-10.05%/-15.56%/-11.8%,"15.56%, 16.84%",28 days/2 days/14 days,2.7 months/2 days/20 days,3.36%,4.38%,-1.02%,0.03,0.26,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),equity,0.41%,0.06%,0.10,-0.00,1520.2000,-31.4%,-1.1,0
SIGMASHELL,"BBTC.NS, Long, 2026-04-02 (Price: 1410.7)",Daily,No Exit Yet,1607.3516 (Avg % Gain of Historic Winning trades),No Date Target,8.68%/32.3%,"12.66%, 2.7 months","2026-06-22 (Price: 1589.3), 12.66% above",3412.111 (Function Specific Target)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1727.2 (EMA 200)/2102.6483 (Backtested Max),2026-12-05 (Max)/2026-08-14 (Avg),1322.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 5 years, 9",1381.1,"-6.11, 72.22%",No Information,No Information,No Information,No Information,No Information,49.05%/0.11%/13.94%,-12.49%/-12.49%/-12.49%,"12.49%, 27.11%",5.7 months/1.7 month/3.1 months,5.7 months/0 days/2.6 months,19.37%,15.89%,3.48%,0.51,0.71,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,11.00%,6.09%,0.83,-0.06,1410.7000,9.2%,49.1,60
TRENDPULSE,"BRK-B, Long, 2026-06-15 (Price: 495.52)",Daily,No Exit Yet,No Price Target,2026-06-23 (Min),2.11%/4.3%,"-1.38%, 7 days","2026-06-22 (Price: 488.69), 1.38% below",520.9402 (Historic Rise or Fall to Pivot)/509.6919 (Avg % Gain of Historic Winning trades)/523.45 (Function Specific Target)/512.2133 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/520.3951 (Backtested Max)/498.9886 (Backtested Min),2026-08-06 (Max)/2026-06-23 (Min)/2026-07-02 (Avg),470.29/267.42/491.88/449.7662/No F-Track Level/No F-Track Level/490.39,"100.0%, Past 4 years, 22",487.56,No Information,No Information,No Information,No Information,No Information,0.11% below/1.38% below/1.38% below,5.02%/0.7%/2.86%,N/A,"-0.0%, 7.4%",1.2 month/6 days/12 days,1.2 month/0 days/10 days,12.87%,12.36%,0.51%,1.33,0.9,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.86%,2.37%,0.76,0.70,488.1530,100.0%,74.0,0
PULSEGAUGE,"BRK-B, Long, 2026-04-23 (Price: 470.55)",Weekly,No Exit Yet,490.18 (EMA 200),No Date Target,4.81%/8.94%,"3.86%, 2 months","2026-06-22 (Price: 488.69), 3.86% above",538.168 (Avg % Gain of Historic Winning trades)/630.85 (Function Specific Target)/512.2133 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/557.4135 (Backtested Max)/532.3803 (Backtested Min),2028-02-29 (Max)/2026-06-27 (Min)/2027-02-12 (Avg),468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 25 years, 20",474.38,No Information,No Information,No Information,No Information,No Information,No Information,18.46%/13.14%/14.37%,-20.65%/-33.7%/-24.91%,"33.7%, 24.78%",1.3 year/1.5 month/6.8 months,1.3 year/0 days/5.2 months,3.17%,6.9%,-3.73%,0.05,-0.22,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,4.55%,0.28%,3.48,2.67,470.5500,73.2%,-4.7,87
TRENDPULSE,"XIU.TO, Long, 2026-03-01 (Price: 49.71)",Weekly,2026-06-14 (Price: 51.75),52.0861 (Backtested Max),No Date Target,3.91%/30.09%,"4.28%, 3.8 months","2026-06-22 (Price: 51.84), 4.28% above",67.44 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-09-25 (Max)/2026-08-17 (Avg),35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,"100.0%, Past 10 years, 17",49.56,No Information,No Information,No Information,No Information,No Information,4.58% above/4.28% above/4.28% above,4.78%/1.1%/3.1%,N/A,"0%, 32.4%",1.1 year/28 days/3.9 months,1.1 year/28 days/3.9 months,4.9%,4.74%,0.16%,1.7,0.24,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),equity_etf,3.10%,0.90%,0.21,-0.10,49.5697,-38.2%,13.6,80
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",Monthly,No Exit Yet,52.322 (Backtested Max),No Date Target,1.66%/3.91%,"11.65%, 6.8 months","2026-06-22 (Price: 51.84), 11.65% above",52.7027 (Historic Rise or Fall to Pivot)/67.39 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-08-17 (Max)/2026-09-30 (Avg),28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,"100.0%, Past 20 years, 14",45.21,No Information,No Information,No Information,No Information,No Information,15.79% above/14.26% above/11.65% above,12.69%/2.94%/7.95%,N/A,"-0.0%, 19.49%",1.2 year/4 months/7 months,1.2 year/0 days/6.5 months,5.69%,4.39%,1.3%,2.04,0.21,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity_etf,7.95%,4.55%,0.38,-0.28,44.7707,-46.6%,18.3,76
DELTADRIFT,"BYD.TO, Long, 2026-04-19 (Price: 167.85)",Weekly,2026-06-22 (Price: 126.37),No Price Target,No Date Target,35.06%/39.98%,"-24.71%, 2.1 months","2026-06-22 (Price: 126.37), 24.71% below",170.6699 (Historic Rise or Fall to Pivot)/185.4239 (Avg % Gain of Historic Winning trades)/178.05 (Function Specific Target)/254.5175 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/203.18 (EMA 200)/197.4587 (Backtested Max)/176.8971 (Backtested Min),2026-12-09 (Max)/2026-08-31 (Avg),162.27/No Horizontal Support/147.1212/139.9966/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"83.33%, Past 15 years, 6",161.85,No Information,No Information,No Information,No Information,No Information,No Information,17.64%/5.39%/10.47%,-23.95%/-23.95%/-23.95%,"23.95%, 24.98%",5.4 months/14 days/3.1 months,5.4 months/0 days/2.6 months,5.46%,11.41%,-5.95%,0.15,0.59,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,4.73%,1.20%,N/A,N/A,167.8500,100.0%,2.4,87
TRENDPULSE,"BYD.TO, Long, 2023-12-31 (Price: 278.49)",Monthly,2026-06-22 (Price: 126.37),No Price Target,No Date Target,168.15%/190.62%,"-54.62%, 2.5 years","2026-06-22 (Price: 126.37), 54.62% below",408.6841 (Historic Rise or Fall to Pivot)/367.2583 (F-Stack 2)/338.8666 (Backtested Max),No Next Date Target,138.66/166.48/229.0045/147.1212/No F-Track Level/No F-Track Level/241.57,"93.75%, Past 20 years, 16",258.84,No Information,No Information,No Information,No Information,No Information,51.16% below/54.62% below/54.62% below,21.68%/5.8%/10.46%,-53.77%/-53.77%/-53.77%,"53.77%, 59.58%",1.1 year/5.1 months/9.9 months,2.5 years/0 days/9.9 months,12.45%,8.21%,4.24%,0.12,0.41,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity,6.45%,-3.23%,N/A,N/A,83.6002,100.0%,8.9,92
FRACTAL TRACK,"NVDA, Long, 2026-04-19 (Price: 201.68)",Weekly,2026-06-22 (Price: 208.65),No Price Target,No Date Target,11.36%/12.98%,"3.46%, 2.1 months","2026-06-22 (Price: 208.65), 3.46% above",235.7236 (Historic Rise or Fall to Pivot)/241.1689 (Avg % Gain of Historic Winning trades)/277.02 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/249.9622 (Backtested Max)/232.3555 (Backtested Min),2031-07-31 (Max)/2027-09-22 (Avg),167.52/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/190.09,"100.0%, Past 20 years, 10",186.03,No Information,No Information,No Information,"38.2% (Price: 164.2223), 27.05% above, Upmove Bounce Back","2025-04-13 (Price: 86.62), 2025-11-02 (Price: 212.19)",No Information,23.94%/15.21%/19.58%,N/A,"-0.0%, 43.1%",3.7 years/21 days/1 year,3.7 years/0 days/10.9 months,12.26%,25.02%,-12.76%,1.84,1.04,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,19.58%,-12.89%,2.20,0.74,201.6800,82.3%,4.5,87
