"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"PPH, Long, 2026-05-15 (Price: 100.84)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-15 (Price: 100.84), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 99.2444),1.61% above,"2025-04-13 (Price: 77.67), 2026-02-22 (Price: 112.58)",17.44%/6.28%/14.88%,"9.84%, 28.32%",6.1 years/3.3 months/1.7 year,2035-01-28/2026-10-05/2028-10-17,8.15%,3.85%,4.3%,0.85,0.15,103.9459/115.845/121.79/No Horizontal Resistance/128.4901/134.2502/No EMA 200 Target,99.84/72.54/85.1101/No stop loss/99.2444/95.125/98.77,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),100.07
"ATD.TO, Long, 2026-05-15 (Price: 78.46)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-15 (Price: 78.46), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 75.77),3.55% above,"2025-03-23 (Price: 65.95), 2026-03-01 (Price: 85.59)",25.17%/0.64%/14.06%,"2.07%, 20.51%",2.2 years/28 days/6.8 months,2029-07-05/2026-06-24/2027-03-06,9.98%,10.71%,-0.73%,0.97,0.57,87.4437/89.4915/90.24/85.53/100.8822/111.119/No EMA 200 Target,70.84/45.49/73.9889/69.1528/No stop loss/No stop loss/75.26,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),79.1
"WPM, Short, 2026-04-30 (Price: 126.46)",No Exit Yet,"-3.12%, 15 days","90.0%, Past 20 years, 10","Monthly, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-15 (Price: 130.41), 3.12% above",15 days,Upmove Break Below,23.66% (Price: 133.3127),2.18% below,"2022-09-30 (Price: 28.62), 2026-03-31 (Price: 165.76)",15.12%/3.3%/7.86%,"17.6%, 15.12%",3.1 months/1 month/1.6 month,2026-09-11/2026-06-12/2026-07-08,6.28%,4.88%,1.4%,0.46,0.59,No Target/116.5202/44.18/38.3375/114.4872/101.6148/120.47,163.65/No Horizontal Resistance/208.744/224.283/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.5%/8/1.4 month (Across ALL Assets),68.0%/25/1.2 month (Across ALL Assets),134.63
"WPM, Short, 2026-03-31 (Price: 131.01)",2026-04-30 (Price: 126.46),"3.47%, 1 month","90.0%, Past 20 years, 10","Monthly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-05-15 (Price: 130.41), 0.46% below",1.5 month,Upmove Break Below,38.2% (Price: 117.097),11.37% above,"2023-10-31 (Price: 38.37), 2026-03-31 (Price: 165.76)",15.12%/3.3%/7.86%,"17.6%, 15.12%",3.1 months/1 month/1.6 month,2026-08-12/2026-05-13/2026-06-08,6.28%,4.88%,1.4%,0.46,0.59,No Target/120.7126/54.58/38.3375/127.6576/114.4872/120.47,163.65/No Horizontal Resistance/188.656/216.4147/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.5%/8/1.4 month (Across ALL Assets),68.0%/25/1.2 month (Across ALL Assets),163.65
