"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"WCN.TO, Long, 2026-04-30 (Price: 223.76)",No Exit Yet,"-2.32%, 4 days","80.0%, Past 24 years, 5","Monthly, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-04 (Price: 218.57), 2.32% below",4 days,Upmove Bounce Back,38.2% (Price: 214.3702),1.96% above,"2020-03-31 (Price: 100.55), 2025-04-30 (Price: 284.725)",21.48%/20.83%/21.21%,"4.1%, 15.28%",1.9 year/1 month/9.8 months,2029-01-14/2026-06-12/2027-06-29,6.78%,8.64%,-1.86%,0.26,0.49,277.0149/271.2195/334.26/252.7/354.4788/566.6704/237.68,179.56/148.255/223.3373/142.2872/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),226.05
"^BVSP, Long, 2026-04-29 (Price: 184750.4219)",No Exit Yet,"0.46%, 5 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-04-29",Already confirmed,"2026-05-04 (Price: 185600.125), 0.46% above",5 days,Upmove Bounce Back,88.6% (Price: 139279.77),33.26% above,"2025-07-28 (Price: 131550.0), 2026-04-14 (Price: 199355.0)",10.56%/2.23%/7.01%,"-0.0%, 18.35%",1.5 year/2.5 months/8.4 months,2028-06-19/2026-08-15/2027-04-29,14.32%,6.62%,7.7%,0.35,0.39,189480.0327/197701.4265/225433.42/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,176219.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/161039.99,93.11%/305/4.3 months (Across ALL Assets),51.02%/49/5.6 months (Across ALL Assets),188618.6875
"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",No Exit Yet,"10.19%, 8 days","90.91%, Past 20 years, 22","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-04 (Price: 1463.1), 10.19% above",8 days,Upmove Bounce Back,61.8% (Price: 1304.6849),12.14% above,"2025-04-13 (Price: 1114.85), 2026-01-11 (Price: 1611.8)",23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,2030-01-10/2026-05-16/2027-02-11,15.1%,8.86%,6.24%,0.57,0.45,1422.2066/1547.2853/1625.97/1610.3/1879.7264/2065.5547/1435.79,1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),1363.2
"BABA, Long, 2026-04-26 (Price: 135.82)",No Exit Yet,"-1.88%, 8 days","100.0%, Past 11 years, 8","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-04 (Price: 133.27), 1.88% below",8 days,Upmove Bounce Back,38.2% (Price: 117.1824),13.73% above,"2024-01-28 (Price: 66.63), 2025-03-23 (Price: 148.43)",32.92%/16.45%/22.55%,"-0.0%, 31.31%",1.2 year/1.6 month/5.5 months,2028-01-11/2026-07-04/2026-12-20,17.14%,1.61%,15.53%,0.65,0.16,150.3527/166.4474/184.9/181.595/399.1612/524.2534/148.33,122.05/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),140.465
"MX.TO, Long, 2026-04-21 (Price: 79.79)",2026-04-30 (Price: 88.88),"11.39%, 9 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-04-21",Already confirmed,"2026-05-04 (Price: 88.37), 10.75% above",13 days,Upmove Bounce Back,38.2% (Price: 71.2457),24.04% above,"2025-04-09 (Price: 36.1), 2026-03-30 (Price: 92.97)",13.69%/5.07%/11.4%,"0%, 52.03%",1.8 year/25 days/6.8 months,2028-11-14/2026-05-27/2027-02-10,26.45%,9.59%,16.86%,0.49,0.48,87.5536/88.8861/113.91/No Horizontal Resistance/104.8718/111.623/No EMA 200 Target,74.24/38.425/69.4599/50.8405/No F-Track Level/No F-Track Level/60.06,93.11%/305/4.3 months (Across ALL Assets),51.02%/49/5.6 months (Across ALL Assets),75.82
"ASHR, Long, 2026-03-26 (Price: 31.91)",2026-04-30 (Price: 35.32),"10.69%, 1.2 month","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-26",Already confirmed,"2026-05-04 (Price: 35.11), 10.03% above",1.3 month,Upmove Bounce Back,23.66% (Price: 31.7285),10.66% above,"2025-04-07 (Price: 23.27), 2026-01-12 (Price: 34.35)",17.94%/2.73%/10.73%,"-0.0%, 32.83%",2.3 years/1.7 month/10.3 months,2029-07-05/2026-06-07/2027-06-16,18.06%,-2.65%,20.71%,0.35,-0.23,No Target/35.3339/38.56/39.9467/60.2967/80.3432/32.6,31.79/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,93.11%/305/4.3 months (Across ALL Assets),51.02%/49/5.6 months (Across ALL Assets),32.09
"SBUX, Long, 2026-02-18 (Price: 95.76)",2026-04-29 (Price: 105.5),"10.17%, 2.3 months","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-18",Already confirmed,"2026-05-04 (Price: 104.97), 9.62% above",2.5 months,Upmove Bounce Back,38.2% (Price: 94.5709),11.0% above,"2025-11-04 (Price: 77.99), 2026-01-28 (Price: 104.82)",18.2%/1.81%/11.09%,"1.75%, 32.38%",1.7 year/1.1 month/8.6 months,2028-07-23/2026-04-06/2027-02-26,19.32%,-2.8%,22.12%,0.29,-0.12,98.47/106.3798/111.86/117.438/142.4098/150.3462/No EMA 200 Target,93.79/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/90.17,93.11%/305/4.3 months (Across ALL Assets),51.02%/49/5.6 months (Across ALL Assets),95.04
"MU, Long, 2025-12-31 (Price: 285.41)",2026-05-04 (Price: 576.45),"101.97%, 4.1 months","100.0%, Past 41 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-05-04 (Price: 576.45), 101.97% above",4.1 months,Upmove Bounce Back,88.6% (Price: 60.8685),847.04% above,"2022-12-31 (Price: 48.43), 2024-06-30 (Price: 157.54)",60.09%/30.18%/39.46%,"0%, 84.83%",10.1 years/3.1 months/2.8 years,2040-06-01/2026-05-14/2029-12-28,8.17%,8.71%,-0.54%,0.21,0.46,585.2332/398.0328/350.88/No Horizontal Resistance/No Target/293.6684/No EMA 200 Target,49.98/48.44/232.8481/218.3057/No F-Track Level/No F-Track Level/279.35,100.0%/4/1.1 year (Across ALL Assets),50.0%/2/9.1 months (Across ALL Assets),165.6
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",2026-04-30 (Price: 1436.0),"-8.39%, 5 months","75.0%, Past 49 years, 8","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-05-04 (Price: 1463.1), 6.66% below",5.2 months,Upmove Bounce Back,23.66% (Price: 1322.8731),10.6% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/27.07%,"16.77%, 28.2%",1.6 year/3 months/8.1 months,2028-03-13/2026-04-09/2026-11-16,9.12%,13.11%,-3.99%,0.29,0.61,2357.3632/1991.8222/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1435.79,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),1486.0
"BRK-B, Long, 2025-10-31 (Price: 477.54)",2026-05-04 (Price: 468.52),"-1.89%, 6.2 months","80.0%, Past 30 years, 15","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-05-04 (Price: 468.52), 1.89% below",6.2 months,Upmove Bounce Back,23.66% (Price: 451.5539),3.76% above,"2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-05-24/2026-09-04/2027-12-22,7.82%,7.65%,0.17%,0.24,0.45,602.2257/579.256/707.08/488.245/630.85/709.9376/489.88,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),502.5
"RELIANCE.NS, Long, 2025-06-30 (Price: 1500.6)",2026-04-30 (Price: 1436.0),"-4.3%, 10.1 months","75.0%, Past 49 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-05-04 (Price: 1463.1), 2.5% below",10.3 months,Upmove Bounce Back,78.6% (Price: 1135.0539),28.9% above,"2023-03-31 (Price: 1006.0696), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/27.07%,"16.77%, 28.2%",1.6 year/3 months/8.1 months,2027-10-12/2025-11-07/2026-06-16,9.12%,13.11%,-3.99%,0.29,0.61,2256.7523/1906.8124/1862.24/No Horizontal Resistance/1879.7264/2250.6285/No EMA 200 Target,1200.1/853.4344/1375.0525/1032.6763/No F-Track Level/No F-Track Level/1435.79,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),1412.1
"GDX, Short, 2026-05-04 (Price: 85.65)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 19 years, 5","Quarterly, is CONFIRMED on 2026-05-04",No Cancellation Possible,"2026-05-04 (Price: 85.65), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 94.5468),9.41% below,"2022-09-30 (Price: 21.52), 2026-03-31 (Price: 117.18)",20.85%/3.67%/10.9%,"0.0%, 20.85%",6.1 months/3 months/3.8 months,2027-01-24/2026-09-11/2026-10-16,6.47%,4.79%,1.68%,0.34,0.17,77.025/76.3142/28.25/25.645/74.1385/66.8312/82.34,91.77/No Horizontal Resistance/118.8531/124.216/No stop loss/No stop loss/No EMA 200 Stop Loss,80.0%/5/4.4 months (Across ALL Assets),50.0%/12/2.6 months (Across ALL Assets),94.71
"WPM, Short, 2026-04-30 (Price: 126.46)",No Exit Yet,"1.83%, 4 days","90.0%, Past 20 years, 10","Monthly, was CONFIRMED on 2026-04-30",Already confirmed,"2026-05-04 (Price: 124.14), 1.83% below",4 days,Upmove Break Below,23.66% (Price: 133.3127),6.88% below,"2022-09-30 (Price: 28.62), 2026-03-31 (Price: 165.76)",15.12%/3.3%/8.48%,"17.6%, 15.12%",3.1 months/1 month/1.7 month,2026-09-11/2026-06-12/2026-07-12,6.06%,4.88%,1.18%,0.23,0.6,No Target/115.7362/44.18/38.3375/114.4872/101.6148/118.5,163.65/No Horizontal Resistance/208.744/224.283/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.5%/8/1.4 month (Across ALL Assets),68.0%/25/1.2 month (Across ALL Assets),134.63
"HDB, Short, 2026-03-31 (Price: 24.88)",No Exit Yet,"0.12%, 1.1 month","87.5%, Past 26 years, 8","Quarterly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-05-04 (Price: 24.85), 0.12% below",1.1 month,Upmove Break Below,88.6% (Price: 26.958),7.82% below,"2022-06-30 (Price: 25.305), 2025-09-30 (Price: 39.805)",27.06%/5.75%/13.58%,"11.89%, 27.06%",9.1 months/3 months/4.6 months,2027-04-30/2026-08-08/2026-10-16,7.12%,4.88%,2.24%,0.31,0.52,No Target/21.5013/16.18/No Horizontal Support/21.1884/14.0692/No EMA 200 Target,38.34/39.3812/40.717/51.346/No F-Track Level/No F-Track Level/33.5,80.0%/5/4.4 months (Across ALL Assets),50.0%/12/2.6 months (Across ALL Assets),36.65
"SFTBY, Short, 2026-03-31 (Price: 12.09)",2026-05-04 (Price: 17.95),"-48.47%, 1.1 month","100.0%, Past 14 years, 6","Quarterly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-05-04 (Price: 17.95), 48.47% above",1.1 month,Upmove Break Below,50.0% (Price: 12.16),47.62% above,"2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",18.34%/4.71%/13.24%,"0%, 18.34%",6.1 months/21 days/3.2 months,2026-12-21/2026-04-30/2026-08-17,9.84%,4.79%,5.05%,0.62,0.39,10.8592/10.4893/-0.32/4.205/10.0807/8.1314/No EMA 200 Target,15.82/No Horizontal Resistance/23.8631/28.8451/No F-Track Level/No F-Track Level/14.3,80.0%/5/4.4 months (Across ALL Assets),50.0%/12/2.6 months (Across ALL Assets),14.2475
"WIPRO.NS, Short, 2026-03-31 (Price: 187.64)",No Exit Yet,"-6.99%, 1.1 month","87.5%, Past 80 years, 8","Quarterly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-05-04 (Price: 200.75), 6.99% above",1.1 month,Upmove Break Below,88.6% (Price: 192.9404),4.05% above,"2023-06-30 (Price: 176.0), 2025-03-31 (Price: 324.6)",29.71%/7.32%/15.86%,"11.67%, 29.71%",1.3 year/3 months/5.6 months,2028-02-06/2026-08-08/2026-11-29,6.44%,4.88%,1.56%,0.29,0.53,No Target/157.8803/98.48/187.6062/179.092/142.8471/No EMA 200 Target,301.85/366.6625/412.2037/473.5829/No F-Track Level/No F-Track Level/237.43,80.0%/5/4.4 months (Across ALL Assets),50.0%/12/2.6 months (Across ALL Assets),264.5
"WPM, Short, 2026-03-31 (Price: 131.01)",2026-04-30 (Price: 126.46),"3.47%, 1 month","90.0%, Past 20 years, 10","Monthly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-05-04 (Price: 124.14), 5.24% below",1.1 month,Upmove Break Below,38.2% (Price: 117.097),6.01% above,"2023-10-31 (Price: 38.37), 2026-03-31 (Price: 165.76)",15.12%/3.3%/8.48%,"17.6%, 15.12%",3.1 months/1 month/1.7 month,2026-08-12/2026-05-13/2026-06-12,6.06%,4.88%,1.18%,0.23,0.6,No Target/119.9004/54.58/38.3375/127.6576/114.4872/118.5,163.65/No Horizontal Resistance/188.656/216.4147/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.5%/8/1.4 month (Across ALL Assets),68.0%/25/1.2 month (Across ALL Assets),163.65
"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-03-31 (Price: 12.09),"14.71%, 3 months","100.0%, Past 14 years, 6","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-05-04 (Price: 17.95), 26.63% above",4.1 months,Upmove Break Below,50.0% (Price: 13.3475),34.48% above,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/4.71%/13.24%,"0%, 18.34%",6.1 months/21 days/3.2 months,2026-09-22/2026-01-30/2026-05-19,9.84%,4.79%,5.05%,0.62,0.39,12.732/12.2982/3.19/4.205/14.0995/12.0968/No EMA 200 Target,15.82/No Horizontal Resistance/23.8631/27.246/No F-Track Level/No F-Track Level/14.3,80.0%/5/4.4 months (Across ALL Assets),50.0%/12/2.6 months (Across ALL Assets),15.6175
"NAUKRI.NS, Short, 2025-09-30 (Price: 1309.3)",2026-03-31 (Price: 967.7),"26.09%, 6.1 months","100.0%, Past 19 years, 6","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2026-05-04 (Price: 976.65), 25.41% below",7.2 months,Upmove Break Below,38.2% (Price: 1381.0785),29.28% below,"2023-03-31 (Price: 661.64), 2025-03-31 (Price: 1825.78)",26.09%/3.95%/13.06%,"0%, 27.44%",9.1 months/3 months/6.1 months,2026-10-30/2026-02-07/2026-06-22,8.69%,4.79%,3.9%,0.37,0.62,No Target/1138.3054/610.82/662.12/1095.4447/920.5126/1261.82,1735.45/1483.595/2223.4618/2377.3661/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,80.0%/5/4.4 months (Across ALL Assets),50.0%/12/2.6 months (Across ALL Assets),1488.3
