Report Type,Symbol,Today price,New Highest
New High,XIU.TO,$51.9500,√ $52.5750
New High,ARM,$418.8800,√ $444.8000
New High,^DJI,$51492.5508,√ $52281.1914
New High,BNS.TO,$121.8400,√ $122.1700
New High,ASML,$1867.8300,√ $1938.4899
New High,GS,$1099.1400,√ $1121.7400
New High,BAC,$56.5300,√ $57.9800
New High,DIA,$516.3000,√ $524.1700
New High,JPM,$333.4600,√ $337.7700
New High,TD,$118.5000,√ $119.6350
New High,NA.TO,$217.6400,√ $218.3300
New High,RY.TO,$283.2300,√ $284.7100
New High,TD.TO,$167.4500,√ $167.8600
New High,MSE.PA,$71.5500,√ $71.5400
New High,IBKR,$95.0900,√ $96.7450
New High,EWJ,$94.4500,√ $95.8600
New High,^STI,$5176.4600,√ $5196.9600
New High,000660.KS,$2521000.0000,√ $2523000.0000
New High,,,
