Report Type,Symbol,Today price,New Highest
New High,AMZN,$272.0500,√ $276.1000
New High,GOOG,$379.6400,√ $384.1600
New High,QQQ,$672.8800,√ $676.7300
New High,SOXX,$462.0600,√ $469.6100
New High,^NDX,$27651.8184,√ $27822.3711
New High,CSCO,$92.6300,√ $93.1000
New High,IWM,$277.8800,√ $280.7900
New High,USCI,$100.7400,√ $100.9200
New High,CNU.NZ,$10.1800,√ $10.2400
New High,ATZ.TO,$139.5000,√ $147.8500
New High,BDGI.TO,$80.2200,√ $82.6700
New High,005930.KS,$232500.0000,√ $232500.0000
New High,000660.KS,$1447000.0000,√ $1450000.0000
New High,MU,$576.4500,√ $592.7700
New High,,,
