"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Sigmashell, Success Rate of Past Analysis [%]",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DOL.TO, Long, 2026-04-15 (Price: 174.38)",2026-06-10 (Price: 179.57),"2.98%, 1.9 month","100.0%, Past 5 years, 7","Daily, was CONFIRMED on 2026-04-15",Already confirmed,"2026-06-10 (Price: 179.57), 2.98% above",1.9 month,"-3.03, 100.0%",16.48%/5.13%/10.45%,"-0.0%, 7.51%",3.2 months/1.2 month/2.2 months,2026-09-01/2026-06-06/2026-07-19,11.83%,18.23%,-6.4%,0.92,1.14,177.7804/192.6027/294.0831/199.54/294.0831/455.769/186.91,166.76/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),176.79
"VGT, Long, 2026-04-01 (Price: 88.3313)",2026-06-08 (Price: 117.25),"32.74%, 2.3 months","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-06-10 (Price: 112.34), 27.18% above",2.3 months,"-3.64, 83.34%",34.72%/3.31%/12.27%,"10.31%, 19.86%",5.9 months/1.4 month/2.7 months,2026-12-13/2026-05-31/2026-07-27,25.9%,2.47%,23.43%,0.8,0.26,91.2286/99.1696/118.2702/No Horizontal Resistance/118.2702/124.1847/96.48,83.59/38.9788/87.7708/78.2577/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),88.085
"MU, Long, 2026-04-01 (Price: 367.85)",2026-06-08 (Price: 949.28),"158.06%, 2.3 months","75.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-06-10 (Price: 891.88), 142.46% above",2.3 months,"-3.6, 84.09%",83.38%/5.46%/30.25%,"23.1%, 42.93%",11.1 months/2.3 months/5.7 months,2027-07-27/2026-07-09/2026-12-04,21.34%,10.72%,10.62%,0.36,0.57,No Target/479.1246/431.1818/No Horizontal Resistance/431.1818/451.0413/372.99,321.8/48.44/339.9853/310.1249/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),348.91
"PERSISTENT.NS, Long, 2026-03-18 (Price: 4698.6001)",2026-06-05 (Price: 5038.5),"7.23%, 2.6 months","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-06-10 (Price: 4928.0), 4.88% above",2.8 months,"-3.61, 66.67%",56.21%/4.44%/23.31%,"11.83%, 29.6%",4.9 months/1.6 month/2.7 months,2026-10-16/2026-05-26/2026-07-13,20.66%,18.38%,2.28%,0.43,0.93,4852.2443/5793.8438/9957.5854/6693.95/9957.5854/15965.083/5538.54,4529.4/1548.5125/3950.0879/2531.9096/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),4525.6001
"MFT.NZ, Long, 2026-03-02 (Price: 63.0)",2026-06-05 (Price: 63.21),"0.33%, 3.2 months","72.22%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-02",Already confirmed,"2026-06-10 (Price: 65.5), 3.97% above",3.3 months,"-4.77, 87.5%",22.45%/0.83%/8.98%,"11.61%, 28.63%",7.7 months/1.4 month/4.5 months,2027-01-30/2026-05-01/2026-09-13,9.2%,9.47%,-0.27%,0.24,0.51,64.3356/68.6574/105.252/85.45/105.252/119.9356/No EMA 200 Target,62.0/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/62.82,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),63.9
"MFT.NZ, Long, 2026-02-04 (Price: 63.11)",2026-06-05 (Price: 63.21),"0.16%, 4 months","72.22%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-06-10 (Price: 65.5), 3.79% above",4.2 months,"-3.11, 92.86%",22.45%/0.83%/8.98%,"11.61%, 28.63%",7.7 months/1.4 month/4.5 months,2027-01-04/2026-04-05/2026-08-18,9.2%,9.47%,-0.27%,0.24,0.51,64.4479/68.7773/105.252/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/62.82,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),64.7
"KXS.TO, Long, 2026-02-04 (Price: 120.08)",2026-06-05 (Price: 166.78),"38.89%, 4 months","80.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-06-10 (Price: 164.0), 36.58% above",4.2 months,"-7.38, 100.0%",48.49%/0.34%/18.96%,"0.21%, 17.79%",3.3 months/2.7 months/2.9 months,2026-06-27/2026-06-01/2026-06-10,14.01%,15.09%,-1.08%,0.51,0.72,124.583/142.8472/245.9157/209.885/245.9157/289.1348/159.47,No Recent Minima/No Horizontal Support/118.5983/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),124.0
