Report Type,Symbol,Today price,New Highest
New High,NVDA,$219.4400,√ $222.3000
New High,QQQ,$713.2900,√ $714.5900
New High,SOXX,$532.7600,√ $533.7400
New High,^GSPC,$7412.8398,√ $7428.9702
New High,^NDX,$29320.6562,√ $29372.4316
New High,AMD,$458.7900,√ $469.2150
New High,CSCO,$98.7200,√ $98.8300
New High,EEM,$67.8900,√ $68.1500
New High,SPY,$739.3000,√ $740.7500
New High,USCI,$101.0400,√ $101.2100
New High,CNU.NZ,$10.2500,√ $10.2600
New High,IFT.NZ,$15.7300,√ $15.8500
New High,005930.KS,$285500.0000,√ $288500.0000
New High,000660.KS,$1880000.0000,√ $1949000.0000
New High,MU,$795.3300,√ $818.6700
New High,,,
