"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ASML, Long, 2026-04-28 (Price: 1384.5601)",2026-06-04 (Price: 1757.47),"26.93%, 1.2 month","84.21%, Past 25 years, 19","Weekly, was CONFIRMED on 2026-04-28",No Cancellation Possible,"2026-06-10 (Price: 1734.1899), 25.25% above",1.4 month,11.63%,38.62%/26.77%/28.98%,"49.55%, 51.92%",3.3 years/10 days/7.5 months,2031-01-12/2026-05-12/2027-03-19,12.03%,10.86%,1.17%,0.56,0.03,1441.0502/1785.8056/1508.8624/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1292.8/576.784/1338.7292/1224.19/No F-Track Level/No F-Track Level/1233.93,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),1457.6121
"CSU.TO, Long, 2026-04-23 (Price: 2501.03)",2026-06-01 (Price: 2931.96),"17.23%, 1.3 month","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-06-10 (Price: 3143.7), 25.7% above",1.6 month,11.63%,21.54%/16.74%/18.05%,"26.63%, 26.4%",6.9 months/24 days/3.2 months,2027-02-16/2026-05-27/2026-09-09,13.21%,18.96%,-5.75%,1.1,0.13,2631.0836/2952.4659/No Target/5050.3501/No Next Fib Ext/No Next Fib Ext/3125.9,2295.18/1788.955/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),2640.6399
"WIPRO.NS, Long, 2025-10-13 (Price: 245.13)",2026-06-08 (Price: 181.76),"-25.85%, 7.9 months","86.67%, Past 25 years, 15","Weekly, was CONFIRMED on 2025-10-13",No Cancellation Possible,"2026-06-10 (Price: 178.93), 27.01% below",8 months,10.23%,32.05%/22.31%/25.2%,"37.94%, 34.01%",2.3 years/11 days/7.5 months,2029-01-22/2025-10-28/2026-09-03,10.04%,5.49%,4.55%,0.58,-0.1,255.3029/306.9028/412.2037/366.6625/412.2037/473.5829/No EMA 200 Target,235.75/187.6063/216.7036/198.5041/No F-Track Level/No F-Track Level/229.72,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),246.06
"ETH-USD, Long, 2025-10-09 (Price: 4369.1436)",2026-06-05 (Price: 1580.8608),"-63.82%, 8 months","100.0%, Past 10 years, 7","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-06-10 (Price: 1648.73), 62.26% below",8.1 months,10.23%,84.42%/45.26%/56.07%,"-0.0%, 61.08%",1 year/14 days/4.3 months,2027-03-14/2025-10-29/2026-04-13,43.55%,17.86%,25.69%,1.86,0.14,5162.1432/6818.9224/4887.278/4922.7188/4887.278/5344.0381/No EMA 200 Target,4141.48/1370.4997/4185.6763/3929.1537/No F-Track Level/No F-Track Level/2454.29,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),4515.3008
"EURUSD=X, Short, 2026-06-04 (Price: 1.1616)",2026-06-08 (Price: 1.1523),"0.8%, 4 days","87.5%, Past 25 years, 24","Weekly, was CONFIRMED on 2026-06-04",No Cancellation Possible,"2026-06-10 (Price: 1.1538), 0.67% below",6 days,-0.73%,3.24%/1.4%/1.72%,"3.19%, 3.48%",5.4 months/1 day/24 days,2027-01-24/2026-06-05/2026-07-08,4.76%,4.88%,-0.12%,0.51,-0.88,1.1535/1.1416/No Target/1.0256/No F-Stack Support/No F-Stack Support/No EMA 200 Target,1.2/1.1849/1.6296/1.7649/No F-Track Level/No F-Track Level/1.17,80.0%/5/9 days (Across ALL Assets),72.22%/18/10 days (Across ALL Assets),1.1637
"GNE.NZ, Short, 2026-06-04 (Price: 2.61)",2026-06-09 (Price: 2.53),"3.07%, 5 days","81.82%, Past 12 years, 22","Weekly, was CONFIRMED on 2026-06-04",No Cancellation Possible,"2026-06-10 (Price: 2.55), 2.3% below",6 days,-0.73%,5.43%/2.9%/3.71%,"8.01%, 9.11%",4.7 months/1 day/28 days,2026-12-25/2026-06-05/2026-07-14,6.37%,4.79%,1.58%,0.32,-0.32,2.5677/2.5132/No Target/2.0875/No F-Stack Support/No F-Stack Support/2.39,2.76/2.9175/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,80.0%/5/9 days (Across ALL Assets),72.22%/18/10 days (Across ALL Assets),2.52
"ORCL, Short, 2026-06-04 (Price: 236.34)",2026-06-05 (Price: 213.68),"9.59%, 1 day","86.67%, Past 25 years, 30","Weekly, was CONFIRMED on 2026-06-04",No Cancellation Possible,"2026-06-10 (Price: 201.26), 14.84% below",6 days,-0.73%,8.31%/4.41%/5.69%,"15.25%, 11.18%",1.8 month/1 day/14 days,2026-08-21/2026-06-05/2026-06-24,7.49%,4.88%,2.61%,0.46,-0.08,227.8318/222.8923/No Target/82.7925/233.7381/208.7793/206.35,308.66/No Horizontal Resistance/300.069/370.6658/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,80.0%/5/9 days (Across ALL Assets),72.22%/18/10 days (Across ALL Assets),230.5
