"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Sigmashell, Success Rate of Past Analysis [%]",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IHI, Long, 2026-03-03 (Price: 59.0)",2026-06-12 (Price: 49.67),"-15.81%, 3.4 months","75.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-03-03",Already confirmed,"2026-06-17 (Price: 48.4), 17.97% below",3.5 months,"-3.05, 87.5%",19.3%/1.0%/6.86%,"5.45%, 23.03%",5.1 months/1.1 month/2.6 months,2026-10-10/2026-04-19/2026-06-23,11.52%,6.46%,5.06%,0.38,0.36,60.3452/63.0474/68.9264/65.682/68.9264/76.3906/No EMA 200 Target,57.36/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/57.8,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),58.89
"IHI, Long, 2026-02-02 (Price: 59.64)",2026-06-12 (Price: 49.67),"-16.72%, 4.3 months","75.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-06-17 (Price: 48.4), 18.85% below",4.5 months,"-3.04, 83.33%",19.3%/1.0%/6.86%,"5.45%, 23.03%",5.1 months/1.1 month/2.6 months,2026-09-11/2026-03-21/2026-05-25,11.52%,6.46%,5.06%,0.38,0.36,60.9998/63.7313/68.9264/65.925/68.9264/76.3906/No EMA 200 Target,59.5/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/57.8,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),59.93
