Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GOOG, Long, 2026-04-01 (Price: 294.9)",Daily,2026-04-14 (Price: 330.58),337.5425 (Backtested Max),No Date Target,1.78%/7.65%,"15.09%, 16 days","2026-04-17 (Price: 339.4), 15.09% above",422.6 (Function Specific Target)/345.4418 (F-Stack 1)/365.3613 (F-Stack 2),2029-12-16 (Max)/2026-05-07 (Min)/2027-03-18 (Avg),273.14/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/272.84,"93.33%, Past 5 years, 15",289.98,No Information,No Information,No Information,"23.66% (Price: 278.3121), 21.95% above, Upmove Bounce Back","2023-07-11 (Price: 115.83), 2025-11-25 (Price: 328.67)",No Information,14.46%/1.56%/9.64%,"3.48%, 44.6%",2.6 years/25 days/8.1 months,16.46%,14.57%,1.89%,0.0,0.75,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2026-03-10 (Price: 306.93)",Daily,2026-04-13 (Price: 319.21),No Price Target,2026-04-16 (Avg),1.78%/7.65%,"10.58%, 1.3 month","2026-04-17 (Price: 339.4), 10.58% above",345.4418 (F-Stack 1)/365.3613 (F-Stack 2),2026-06-30 (Max),298.3/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/255.14,"100.0%, Past 4 years, 20",305.875,No Information,No Information,No Information,No Information,No Information,10.91% above/10.58% above/10.58% above,6.52%/0.12%/4.08%,"-0.0%, 25.37%",2.6 months/4 days/26 days,16.74%,20.66%,-3.92%,0.0,1.07,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets)
SIGMASHELL,"GOOG, Long, 2026-03-02 (Price: 306.36)",Daily,No Exit Yet,343.3377 (Avg % Gain of Historic Winning trades),No Date Target,1.78%/1.78%,"10.78%, 1.5 month","2026-04-17 (Price: 339.4), 10.78% above",345.4418 (Function Specific Target)/345.4418 (F-Stack 1)/365.3613 (F-Stack 2)/396.4298 (Backtested Max),2026-08-22 (Max)/2026-04-23 (Min)/2026-06-22 (Avg),302.82/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/272.84,"100.0%, Past 5 years, 11",302.965,"-3.95, 85.0%",No Information,No Information,No Information,No Information,No Information,29.4%/0.45%/12.07%,"-0.0%, 17.88%",4 months/1.2 month/2.6 months,26.27%,16.68%,9.59%,0.0,0.86,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2026-03-08 (Price: 213.21)",Weekly,2026-04-17 (Price: 250.56),247.2383 (Avg % Gain of Historic Winning trades),2026-04-17 (Min),5.74%/26.76%,"17.52%, 1.3 month","2026-04-17 (Price: 250.56), 17.52% above",319.51 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/264.9347 (Backtested Max),2030-03-05 (Max)/2027-03-16 (Avg),198.79/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"87.5%, Past 20 years, 16",204.55,No Information,No Information,No Information,"23.66% (Price: 200.6016), 24.9% above, Upmove Bounce Back","2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",No Information,24.26%/0.75%/15.96%,"4.55%, 54.31%",2.8 years/28 days/8.6 months,10.46%,18.08%,-7.62%,0.0,0.86,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-01-07 (Price: 241.56)",Daily,2026-04-17 (Price: 250.56),No Price Target,No Date Target,0.49%/0.61%,"3.73%, 3.3 months","2026-04-17 (Price: 250.56), 3.73% above",254.5076 (Historic Rise or Fall to Pivot)/252.092 (Avg % Gain of Historic Winning trades)/251.78 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/257.2614 (Backtested Max),2026-07-25 (Max),226.5/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/217.67,"100.0%, Past 4 years, 20",239.61,No Information,No Information,No Information,No Information,No Information,7.51% above/3.73% above/3.73% above,6.5%/1.02%/4.36%,"-0.0%, 19.49%",4.6 months/9 days/1.1 month,17.37%,9.12%,8.25%,0.0,0.46,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2020-12-31 (Price: 162.8465)",Quarterly,2026-04-17 (Price: 250.56),265.6189 (Avg % Gain of Historic Winning trades)/257.16 (Function Specific Target),No Date Target,29.04%,"53.86%, 5.4 years","2026-04-17 (Price: 250.56), 53.86% above",323.3154 (Backtested Max),2028-07-25 (Max),1.61/83.3704/132.2674/119.5138/No F-Track Level/No F-Track Level/143.87,"100.0%, Past 28 years, 5",160.4,No Information,No Information,No Information,No Information,No Information,59.15% above/52.6% above/53.86% above,98.54%/30.67%/63.11%,"0%, 51.17%",5.3 years/1.5 year/2.9 years,11.21%,21.2%,-9.99%,0.0,0.72,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2026-02-22 (Price: 1957.8059)",Weekly,2026-04-17 (Price: 2343.78),No Price Target,No Date Target,3.35%/11.31%,"19.71%, 1.8 month","2026-04-17 (Price: 2343.78), 19.71% above",2422.1975 (Avg % Gain of Historic Winning trades)/4097.97 (Function Specific Target)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/2884.63 (EMA 200)/2608.7764 (Backtested Max),2026-10-14 (Max)/2026-06-19 (Avg),1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 10 years, 6",1965.9232,No Information,No Information,No Information,"88.6% (Price: 1793.4297), 30.69% above, Upmove Bounce Back","2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",No Information,33.25%/15.64%/23.72%,"-0.0%, 44.11%",5.4 months/7 days/2.7 months,38.51%,17.52%,20.99%,0.0,0.91,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
DELTADRIFT,"ETH-USD, Long, 2026-03-01 (Price: 1939.0667)",Weekly,2026-04-12 (Price: 2192.2012),2361.3954 (Backtested Min),No Date Target,4.87%/9.41%,"20.87%, 1.6 month","2026-04-17 (Price: 2343.78), 20.87% above",2670.8705 (Historic Rise or Fall to Pivot)/2457.9609 (Avg % Gain of Historic Winning trades)/2564.42 (Function Specific Target)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/2884.63 (EMA 200)/2584.9698 (Backtested Max),2026-05-09 (Max),1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 10 years, 4",1958.1396,No Information,No Information,No Information,No Information,No Information,No Information,33.31%/21.78%/26.76%,"-0.0%, 21.37%",1.6 month/14 days/1 month,25.34%,17.52%,7.82%,1.25,0.91,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets)
PULSEGAUGE,"ETH-USD, Long, 2025-10-09 (Price: 4369.1436)",Weekly,No Exit Yet,No Price Target,2026-04-13 (Avg),108.52%/108.52%,"-46.36%, 6.3 months","2026-04-16 (Price: 2343.78), 46.36% below",5162.1432 (Historic Rise or Fall to Pivot)/6818.9224 (Avg % Gain of Historic Winning trades)/4887.278 (Function Specific Target)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/8057.5746 (Backtested Max)/6346.618 (Backtested Min),2027-03-14 (Max),4141.48/1370.4997/4185.6763/3929.1537/No F-Track Level/No F-Track Level/2884.63,"100.0%, Past 10 years, 7",4515.3008,No Information,No Information,No Information,No Information,No Information,No Information,84.42%/45.26%/56.07%,"-0.0%, 61.08%",1 year/14 days/4.3 months,43.55%,17.1%,26.45%,0.44,0.14,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.5 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-03-11 (Price: 184.51)",Daily,No Exit Yet,204.7323 (Avg % Gain of Historic Winning trades)/204.24 (Function Specific Target)/202.9979 (Backtested Min),No Date Target,2.1%/4.79%,"9.98%, 1.2 month","2026-04-17 (Price: 202.92), 9.98% above",207.1743 (F-Stack 1)/217.2943 (F-Stack 2)/212.6478 (Backtested Max),2029-06-20 (Max)/2027-02-12 (Avg),183.94/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/163.3,"100.0%, Past 5 years, 15",183.72,No Information,No Information,No Information,"23.66% (Price: 185.9306), 9.14% above, Upmove Bounce Back","2026-01-28 (Price: 160.83), 2026-02-27 (Price: 193.71)",No Information,15.25%/10.02%/10.96%,"-0.0%, 20.53%",2.3 years/21 days/7.8 months,25.56%,11.52%,14.04%,0.0,0.82,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
