Function,Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max/Min/Avg),Profit [%] (Max/Min/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
Forward Testing,TRENDPULSE,Daily,Short,14,21.43%,15 days/1 day/7 days,1.6%/-3.57%/-1.06%,88.03%,9 days,21.43%
Forward Testing,TRENDPULSE,Monthly,Short,3,0.0%,9.1 months/3.0 months/7.1 months,-2.03%/-7.94%/-4.53%,95.83%,6.3 months,0.0%
Latest Performance,ALTITUDE ALPHA,Yearly,Long,17,76.47%,8.1 years/4 months/2.4 years,360.07%/-86.31%/73.09%,79.79%,3.0 years,47.06%
Latest Performance,ALTITUDE ALPHA,Daily,Long,10,70.0%,1.7 year/1.7 month/7.3 months,73.05%/-21.76%/38.43%,77.64%,8.5 months,0.0%
Latest Performance,ALTITUDE ALPHA,Monthly,Long,20,65.0%,9.0 years/2.0 months/2.6 years,109.05%/-82.41%/33.19%,79.5%,2.6 years,25.0%
Latest Performance,ALTITUDE ALPHA,Weekly,Long,19,63.16%,4.8 years/1.4 month/2.1 years,77.61%/-84.14%/30.21%,82.0%,2.8 years,0.0%
Latest Performance,ALTITUDE ALPHA,Quarterly,Long,19,57.89%,15.0 years/3.1 months/4.1 years,114.87%/-82.11%/27.09%,77.81%,3.3 years,10.53%
Latest Performance,BAND MATRIX,Daily,Long,89,79.78%,1.7 year/19 days/6.0 months,276.47%/-86.21%/12.07%,85.26%,6.4 months,1.12%
Latest Performance,BAND MATRIX,Weekly,Long,23,78.26%,4.5 years/4.0 months/2.2 years,188.48%/-36.22%/35.38%,86.29%,2.1 years,0.0%
Latest Performance,BASELINEDIVERGENCE,Weekly,Long,33,54.55%,5.0 months/2 months/2.9 months,30.14%/-7.02%/1.57%,85.12%,3.7 months,33.33%
Latest Performance,DELTADRIFT,Weekly,Long,29,82.76%,8.9 months/7 days/1.6 month,19.18%/-27.72%/4.7%,85.68%,2 months,0.0%
Latest Performance,DELTADRIFT,Daily,Long,196,79.59%,2.5 months/1 day/16 days,14.75%/-20.4%/1.33%,81.76%,13 days,1.02%
Latest Performance,DELTADRIFT,Weekly,Short,15,93.33%,4.4 months/7 days/25 days,10.29%/-16.41%/3.25%,90.28%,26 days,0.0%
Latest Performance,DELTADRIFT,Daily,Short,34,79.41%,9 days/1 day/4 days,13.08%/-11.0%/0.89%,89.37%,5 days,0.0%
Latest Performance,DELTADRIFT,Monthly,Short,4,25.0%,5.0 months/1 month/2.8 months,5.45%/-53.08%/-18.82%,81.66%,2.4 months,25.0%
Latest Performance,FRACTAL TRACK,Daily,Long,305,93.11%,3.5 years/5 days/4.3 months,25.91%/-18.01%/8.94%,95.09%,6.1 months,1.31%
Latest Performance,FRACTAL TRACK,Monthly,Long,37,89.19%,7.4 years/3.1 months/1.4 year,91.44%/-33.61%/21.45%,90.77%,1.6 year,5.41%
Latest Performance,FRACTAL TRACK,Weekly,Long,55,89.09%,7.9 years/14 days/1.4 year,47.4%/-24.32%/14.07%,92.61%,1.3 year,0.0%
Latest Performance,FRACTAL TRACK,Quarterly,Long,4,100.0%,1.5 year/4 months/1.1 year,81.2%/36.24%/49.14%,100.0%,2.0 years,25.0%
Latest Performance,FRACTAL TRACK,Monthly,Short,8,87.5%,2.0 months/1 month/1.4 month,22.22%/-12.19%/8.29%,93.96%,1.7 month,12.5%
Latest Performance,FRACTAL TRACK,Quarterly,Short,5,80.0%,6.1 months/1 month/4.4 months,26.09%/-40.28%/4.38%,100.0%,4.6 months,20.0%
Latest Performance,FRACTAL TRACK,Weekly,Short,1,0.0%,7 days/7 days/7 days,-0.85%/-0.85%/-0.85%,86.67%,28 days,0.0%
Latest Performance,OSCILLATOR DELTA,Daily,Long,154,90.26%,7.8 months/1 day/25 days,17.08%/-12.42%/1.89%,90.01%,22 days,0.0%
Latest Performance,OSCILLATOR DELTA,Daily,Short,17,100.0%,4.5 months/1 day/17 days,12.87%/2.15%/3.7%,94.92%,24 days,0.0%
Latest Performance,PULSEGAUGE,Weekly,Long,61,67.21%,3.1 years/17 days/6.6 months,80.04%/-52.77%/3.38%,81.16%,8.1 months,0.0%
Latest Performance,PULSEGAUGE,Weekly,Short,5,80.0%,25 days/1 day/9 days,4.09%/-1.71%/1.79%,85.06%,23 days,0.0%
Latest Performance,SIGMASHELL,Daily,Long,44,68.18%,1.3 year/1.2 month/3.8 months,27.4%/-46.11%/2.64%,80.53%,3.4 months,0.0%
Latest Performance,TRENDPULSE,Monthly,Long,66,93.94%,3.7 years/4 months/10.9 months,251.92%/-46.48%/30.96%,92.45%,10.5 months,9.09%
Latest Performance,TRENDPULSE,Daily,Long,320,90.31%,1.3 year/4 days/1.5 month,24.51%/-53.8%/2.22%,90.94%,28 days,0.31%
Latest Performance,TRENDPULSE,Weekly,Long,133,88.72%,2.1 years/28 days/4.6 months,57.72%/-20.25%/9.59%,88.44%,4.0 months,0.75%
Latest Performance,TRENDPULSE,Quarterly,Long,20,100.0%,5.4 years/1.1 year/2.5 years,291.22%/2.88%/87.91%,95.71%,2.4 years,65.0%
Latest Performance,TRENDPULSE,Daily,Short,33,66.67%,1.3 month/5 days/14 days,20.91%/-12.12%/0.86%,91.4%,18 days,0.0%
Latest Performance,TRENDPULSE,Weekly,Short,8,62.5%,4.2 months/21 days/1.8 month,11.2%/-10.31%/0.41%,87.21%,1.6 month,0.0%
Latest Performance,TRENDPULSE,Monthly,Short,3,100.0%,7.1 months/5.0 months/6.1 months,41.9%/25.73%/36.4%,91.67%,5.1 months,0.0%
Latest Performance,TRENDPULSE,Quarterly,Short,1,100.0%,1.8 year/1.8 year/1.8 year,10.27%/10.27%/10.27%,100.0%,1.5 year,0.0%
