"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"CAD=X, Long, 2026-04-21 (Price: 1.3644)",No Exit Yet,"0.1%, 1 day","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-04-21",No Cancellation Possible,"2026-04-22 (Price: 1.3658), 0.1% above",1 day,4.8%/0.74%/1.74%,"1.42%, 3.79%",11.1 months/1.5 month/4.1 months,2027-08-16/2026-06-25/2026-10-14,4.04%,1.51%,2.53%,0.15,-0.35,1.378/1.3881/1.38/1.3856/No Next Fib Ext/No Next Fib Ext/1.38,1.36/1.2478/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,83.53%/85/5.6 months (Across ALL Assets),64.74%/312/4.6 months (Across ALL Assets),1.3642
"IMO.TO, Long, 2026-04-21 (Price: 169.22)",No Exit Yet,"1.21%, 1 day","100.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-04-21",No Cancellation Possible,"2026-04-22 (Price: 171.26), 1.21% above",1 day,52.3%/9.62%/24.07%,"-0.0%, 21.88%",9.6 months/1.6 month/6.3 months,2027-06-12/2026-06-29/2027-01-19,41.36%,28.05%,13.31%,1.15,1.48,174.1105/209.9513/192.03/No Horizontal Resistance/188.7349/196.834/No EMA 200 Target,167.04/60.8067/143.048/134.0661/No F-Track Level/No F-Track Level/136.77,83.53%/85/5.6 months (Across ALL Assets),64.74%/312/4.6 months (Across ALL Assets),168.18
"VGT, Long, 2025-11-18 (Price: 732.59)",2026-04-21 (Price: 101.02),"-86.21%, 5.1 months","100.0%, Past 5 years, 4","Daily, was CONFIRMED on 2025-11-18",No Cancellation Possible,"2026-04-22 (Price: 103.03), 85.94% below",5.2 months,47.95%/7.47%/22.01%,"-0.0%, 35.46%",1.9 year/4.9 months/1.3 year,2028-08-04/2026-06-18/2027-09-26,15.0%,9.37%,5.63%,0.5,0.51,793.0287/893.8331/843.43/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,682.08/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/728.27,83.53%/85/5.6 months (Across ALL Assets),64.74%/312/4.6 months (Across ALL Assets),737.41
