Report Type,Symbol,Today price,New Highest
New High,GOOG,$395.1400,√ $396.3800
New High,QQQ,$695.7700,√ $695.9300
New High,ARM,$237.3000,√ $239.5000
New High,SOXX,$506.8700,√ $506.9400
New High,^GSPC,$7365.1201,√ $7369.2202
New High,^NDX,$28599.1719,√ $28608.6758
New High,BNS.TO,$106.9200,√ $107.2700
New High,AMD,$421.3900,√ $430.5700
New High,ACWX,$75.9900,√ $76.0800
New High,TSM,$419.5000,√ $419.7000
New High,EEM,$67.4900,√ $67.5900
New High,IWM,$286.8000,√ $287.0450
New High,SPY,$733.8300,√ $734.5800
New High,TD,$108.6000,√ $109.1000
New High,IFT.NZ,$14.5500,√ $14.5500
New High,ATZ.TO,$148.0900,√ $148.9700
New High,BDGI.TO,$83.8100,√ $85.1700
New High,NA.TO,$207.3000,√ $209.7900
New High,RY.TO,$247.7200,√ $248.3300
New High,TD.TO,$148.1400,√ $148.7400
New High,IBKR,$87.0400,√ $87.3400
New High,GRANULES.NS,$736.0000,√ $755.1000
New High,005930.KS,$266000.0000,√ $270000.0000
New High,000660.KS,$1601000.0000,√ $1614000.0000
New High,MU,$666.5900,√ $667.6700
New High,AVGO,$425.4400,√ $437.6800
New High,,,
