"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BRK-B, Long, 2026-05-11 (Price: 479.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 479.55), 0.0% below",0 days,"2, 2026-02-04 (Price: 512.13)",2026-05-08 (Price: 475.94),2026-05-11 (Price: 479.55),3/0/0 days,0.76% above/0.0% below/0.0% below,2026-02-04 (Price: 512.13)/2026-05-11 (Price: 475.0957),5.02%/0.7%/2.78%,"-0.0%, 7.4%",2.1 months/6 days/15 days,2026-08-10/2026-05-19/2026-06-01,13.57%,12.19%,1.38%,1.66,0.86,506.6925/492.8815/499.1/512.2133/537.7909/635.7359/489.76,465.52/268.082/475.0642/423.7009/No stop loss/478.7441/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),476.4
"CSCO, Long, 2026-05-11 (Price: 98.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 98.72), 0.0% below",0 days,"2, 2020-01-17 (Price: 49.54)",2026-05-08 (Price: 96.57),2026-05-11 (Price: 98.72),3/0/0 days,2.23% above/0.0% below/0.0% below,2020-01-17 (Price: 49.54)/2026-05-11 (Price: 94.7879),8.16%/1.03%/3.39%,"-0.0%, 27.08%",1.6 month/6 days/15 days,2026-07-19/2026-05-19/2026-06-01,10.38%,10.07%,0.31%,1.32,0.57,103.4586/102.0666/128.23/No Horizontal Resistance/107.4672/119.8031/No EMA 200 Target,77.04/40.92/90.4142/81.4336/85.9755/78.0759/75.84,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),96.35
"CNU.NZ, Long, 2026-05-11 (Price: 10.25)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 24","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 10.25), 0.0% below",0 days,"2, 2020-01-17 (Price: 6.66)",2026-05-11 (Price: 10.25),2026-05-11 (Price: 10.25),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-01-17 (Price: 6.66)/2026-05-11 (Price: 9.995),6.8%/0.41%/2.7%,"11.84%, 19.63%",3.4 months/7 days/1.3 month,2026-10-05/2026-05-21/2026-07-06,1.27%,3.95%,-2.68%,-0.12,0.17,10.6313/10.5267/12.4/No Horizontal Resistance/11.0627/11.8475/No EMA 200 Target,9.34/6.1325/9.7276/No stop loss/9.6153/9.219/9.4,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),10.09
"SUNPHARMA.NS, Long, 2026-05-11 (Price: 1872.7)",No Exit Yet,"0.0%, 0 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 1872.7), 0.0% below",0 days,"0, 2024-09-06 (Price: 1850.0)",2026-05-11 (Price: 1872.7),2026-05-11 (Price: 1872.7),0/0/0 days,0.0% below/0.0% below/0.0% below,2024-09-06 (Price: 1850.0)/2026-05-11 (Price: 1839.6957),11.76%/1.18%/3.15%,"2.03%, 13.23%",6.1 months/8 days/27 days,2027-01-31/2026-05-22/2026-06-19,17.09%,17.72%,-0.63%,0.9,1.14,2056.7864/1931.6901/1886.32/1935.175/1992.9724/2469.8016/No EMA 200 Target,1620.4/797.125/1704.3258/1607.7092/1805.8765/1756.7604/1704.04,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),1827.2
"QQQ, Long, 2026-05-11 (Price: 713.29)",No Exit Yet,"0.0%, 0 days","88.89%, Past 10 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 710.36 prior to 2026-05-15,"2026-05-11 (Price: 713.29), 0.0% below",0 days,"4, 2016-04-24 (Price: 111.44)",2026-05-10 (Price: 711.23),2026-05-08 (Price: 711.23),1/3/0 days,0.29% above/0.29% above/0.0% below,2016-04-24 (Price: 111.44)/2026-05-11 (Price: 677.4136),12.09%/1.74%/6.41%,"10.15%, 35.46%",4.2 months/1.2 month/2.2 months,2026-11-09/2026-07-02/2026-08-14,7.81%,12.14%,-4.33%,0.34,0.81,806.6597/759.0119/1074.4/No Horizontal Resistance/783.0906/918.4659/No EMA 200 Target,562.58/256.995/634.1966/578.1694/605.6759/538.7439/608.05,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),710.36
"^GSPC, Long, 2026-05-11 (Price: 7412.8398)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 30","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 7385.3101 prior to 2026-05-15,"2026-05-11 (Price: 7412.8398), 0.0% below",0 days,"4, 2016-04-24 (Price: 2111.05)",2026-05-10 (Price: 7398.9302),2026-05-08 (Price: 7398.9302),1/3/0 days,0.19% above/0.19% above/0.0% below,2016-04-24 (Price: 2111.05)/2026-05-11 (Price: 7335.1064),6.49%/1.35%/4.0%,"-0.0%, 31.81%",7.7 months/28 days/2.5 months,2027-04-10/2026-06-20/2026-08-27,8.54%,8.2%,0.34%,1.93,0.55,7976.2156/7709.3534/10593.91/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/6497.3837/5924.8872/6758.66,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),7385.3101
"^NDX, Long, 2026-05-11 (Price: 29320.6562)",No Exit Yet,"0.0%, 0 days","95.0%, Past 10 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 29185.8281 prior to 2026-05-15,"2026-05-11 (Price: 29320.6562), 0.0% below",0 days,"4, 2016-04-24 (Price: 4574.3799)",2026-05-10 (Price: 29234.9941),2026-05-08 (Price: 29234.9941),1/3/0 days,0.29% above/0.29% above/0.0% below,2016-04-24 (Price: 4574.3799)/2026-05-11 (Price: 27844.4063),11.99%/1.69%/5.82%,"10.17%, 35.49%",4.9 months/1.2 month/2.8 months,2026-12-09/2026-07-02/2026-09-09,8.22%,12.18%,-3.96%,0.62,0.81,32346.5479/31027.1184/44168.42/No Horizontal Resistance/31443.3312/32769.3846/No EMA 200 Target,23132.77/10555.915/25849.2/22960.0831/24893.1696/22140.4871/24986.83,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),29185.8281
"AMD, Long, 2026-05-11 (Price: 458.79)",No Exit Yet,"0.0%, 0 days","87.5%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 351.87 prior to 2026-05-29,"2026-05-11 (Price: 458.79), 0.0% below",0 days,"0, 2001-05-31 (Price: 34.65)",2026-04-30 (Price: 354.49),2026-05-05 (Price: 355.26),11/6/0 days,29.42% above/29.14% above/0.0% below,2001-05-31 (Price: 34.65)/2026-05-11 (Price: 282.3638),190.68%/3.99%/62.87%,"86.58%, 94.83%",2.1 years/5.1 months/11 months,2029-05-10/2026-12-18/2027-08-31,20.04%,7.35%,12.69%,0.48,0.46,900.1001/747.2313/713.27/No Horizontal Resistance/No Target/No Target/No EMA 200 Target,97.35/80.125/326.3968/290.5572/376.2939/319.1902/218.84,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),351.87
"CSCO, Long, 2026-05-11 (Price: 98.72)",No Exit Yet,"0.0%, 0 days","94.74%, Past 10 years, 19","Weekly, will be confirmed as valid at the end of this week",Already confirmed,"2026-05-11 (Price: 98.72), 0.0% below",0 days,"2, 2016-04-03 (Price: 28.7)",2026-05-10 (Price: 96.57),2026-05-08 (Price: 96.57),1/3/0 days,2.23% above/2.23% above/0.0% below,2016-04-03 (Price: 28.7)/2026-05-11 (Price: 94.9275),14.42%/0.74%/6.58%,"16.99%, 36.88%",8.6 months/28 days/2.8 months,2027-05-19/2026-06-20/2026-09-09,7.43%,8.35%,-0.92%,0.58,0.45,108.3255/105.2158/140.73/No Horizontal Resistance/107.4672/119.8031/No EMA 200 Target,73.88/40.92/90.4142/81.4336/85.9755/78.0759/75.84,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),96.35
"ENZL, Long, 2026-05-11 (Price: 46.1533)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 44.69 prior to 2026-05-29,"2026-05-11 (Price: 46.1533), 0.0% below",0 days,"6, 2024-09-30 (Price: 50.41)",2026-04-30 (Price: 44.6208),2026-05-06 (Price: 45.99),11/5/0 days,3.43% above/0.36% above/0.0% below,2024-09-30 (Price: 50.41)/2026-05-11 (Price: 42.1355),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-07-01/2027-10-14/2028-01-26,5.74%,1.47%,4.27%,1.01,-0.04,No Target/54.0317/48.71/64.905/78.3229/93.1188/No EMA 200 Target,42.65/39.215/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/45.51,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),44.69
