Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale,Current Mark to Market and Holding Period,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date
OSCILLATOR DELTA,"SFTBY, Long, 2026-06-25 (Price: 20.83)",SFTBY,EQUITY,income,short,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,CANCEL BUY,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate,"0.0%, 0 days","2026-06-25 (Price: 20.83), 0.0% below",0 days
TRENDPULSE,"JETS, Long, 2026-06-25 (Price: 32.98)",JETS,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"0.0%, 0 days","2026-06-25 (Price: 32.98), 0.0% below",0 days
DELTADRIFT,"NZDUSD=X, Long, 2026-06-25 (Price: 0.5647)",NZDUSD=X,CURRENCY,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=CURRENCY,"0.0%, 0 days","2026-06-25 (Price: 0.5647), 0.0% below",0 days
DELTADRIFT,"BYDDY, Long, 2026-06-25 (Price: 9.67)",BYDDY,EQUITY,compounder,short,4.0,-2.0,2.0,2.0,55.0,moderate_high,False,REDUCED BUY,40.0,BQ 4.0 + valuation tax -2.0 = 2.0 | FS class moderate_high,"0.0%, 0 days","2026-06-25 (Price: 9.67), 0.0% below",0 days
DELTADRIFT,"EURUSD=X, Long, 2026-06-25 (Price: 1.1375)",EURUSD=X,CURRENCY,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=CURRENCY,"0.0%, 0 days","2026-06-25 (Price: 1.1375), 0.0% below",0 days
