Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale,Current Mark to Market and Holding Period,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date
TRENDPULSE,"SPOT, Long, 2026-06-10 (Price: 503.1)",SPOT,EQUITY,compounder,short,4.0,-5.0,-1.0,-1.0,65.0,moderate_high,False,CANCEL BUY,0.0,BQ 4.0 + valuation tax -5.0 = -1.0 | FS class moderate_high,"0.0%, 0 days","2026-06-10 (Price: 503.1), 0.0% below",0 days
TRENDPULSE,"^NZ50, Long, 2026-06-10 (Price: 13253.6504)",^NZ50,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX,"0.0%, 0 days","2026-06-10 (Price: 13253.6504), 0.0% below",0 days
OSCILLATOR DELTA,"NVO, Long, 2026-06-10 (Price: 42.81)",NVO,EQUITY,compounder,short,2.5,-3.0,-0.5,-0.5,58.25,moderate_high,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high,"0.0%, 0 days","2026-06-10 (Price: 42.81), 0.0% below",0 days
TRENDPULSE,"FRW.NZ, Long, 2026-06-10 (Price: 13.7)",FRW.NZ,EQUITY,income,short,5.5,0.0,5.5,5.5,71.75,moderate_high,False,TACTICAL BUY,85.0,BQ 5.5 + valuation tax 0.0 = 5.5 | FS class moderate_high,"0.0%, 0 days","2026-06-10 (Price: 13.7), 0.0% below",0 days
OSCILLATOR DELTA,"AAPL, Short, 2026-06-10 (Price: 291.58)",AAPL,EQUITY,compounder,short,7.0,-7.0,0.0,0.0,53.5,moderate,False,HARD EXIT,0.0,BQ 7.0 + valuation tax -7.0 = 0.0 | FS class moderate,"-0.0%, 0 days","2026-06-10 (Price: 291.58), 0.0% below",0 days
