Function,ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale
DELTADRIFT,MCY.NZ,EQUITY,income,short,-1.5,0.0,-1.5,-1.5,49.25,moderate,False,HARD EXIT,0.0,BQ -1.5 + valuation tax 0.0 = -1.5 | FS class moderate
DELTADRIFT,^NDX,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX
OSCILLATOR DELTA,ARM,EQUITY,compounder,short,2.5,-5.0,-2.5,-2.5,34.25,moderate_low,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate_low
DELTADRIFT,EEM,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,NVO,EQUITY,compounder,short,2.5,-3.0,-0.5,-0.5,58.25,moderate_high,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high
DELTADRIFT,AMZN,EQUITY,compounder,short,3.5,-5.0,-1.5,-1.5,50.75,moderate,False,HARD EXIT,0.0,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,QQQ,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,^NDX,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX
DELTADRIFT,GNE.NZ,EQUITY,income,short,1.5,0.0,1.5,1.5,61.75,moderate_high,False,HARD EXIT,0.0,BQ 1.5 + valuation tax 0.0 = 1.5 | FS class moderate_high
OSCILLATOR DELTA,MSFT,EQUITY,saas,short,2.5,-4.0,-1.5,-1.5,56.25,moderate_high,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -4.0 = -1.5 | FS class moderate_high
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,WPM,EQUITY,cyclical,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
OSCILLATOR DELTA,ARM,EQUITY,compounder,short,2.5,-5.0,-2.5,-2.5,34.25,moderate_low,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate_low
FRACTAL TRACK,WPM,EQUITY,cyclical,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
TRENDPULSE,SPOT,EQUITY,compounder,short,4.0,-2.0,2.0,2.0,65.0,moderate_high,False,FULL EXIT,0.0,BQ 4.0 + valuation tax -2.0 = 2.0 | FS class moderate_high
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,WPM,EQUITY,cyclical,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
DELTADRIFT,AMZN,EQUITY,compounder,short,3.5,-5.0,-1.5,-1.5,50.75,moderate,False,HARD EXIT,0.0,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,MAR,EQUITY,compounder,short,4.5,-5.0,-0.5,-0.5,47.25,moderate,False,HARD EXIT,0.0,BQ 4.5 + valuation tax -5.0 = -0.5 | FS class moderate
DELTADRIFT,QQQ,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,^NDX,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX
DELTADRIFT,AMZN,EQUITY,compounder,short,3.5,-5.0,-1.5,-1.5,50.75,moderate,False,HARD EXIT,0.0,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate
DELTADRIFT,AVGO,EQUITY,compounder,short,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
DELTADRIFT,SOXX,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
