date,put_call_ema
2003-10-31,0.6938144533429701
2003-11-03,0.6913119257608928
2003-11-04,0.6881232227898775
2003-11-05,0.6881968218961568
2003-11-06,0.691404789664935
2003-11-07,0.6948791116388592
2003-11-10,0.7033152249079235
2003-11-11,0.7133812945193775
2003-11-12,0.7167781064990097
2003-11-13,0.7192573964402251
2003-11-14,0.7181100475602163
2003-11-17,0.7228900456951098
2003-11-18,0.7243453380207918
2003-11-19,0.7300572855493883
2003-11-20,0.7328001370964712
2003-11-21,0.7354354258377861
2003-11-24,0.7320850169814024
2003-11-25,0.7276895261193866
2003-11-26,0.7273879760754891
2003-11-28,0.7259217809352739
2003-12-01,0.7252973973691847
2003-12-02,0.7246974994331383
2003-12-03,0.730003479847525
2003-12-04,0.7296111865201711
2003-12-05,0.7339401595978114
2003-12-08,0.7416287807900542
2003-12-09,0.7411727501708365
2003-12-10,0.7438718580072743
2003-12-11,0.7409749223991459
2003-12-12,0.7413288470109441
2003-12-15,0.7397081079124758
2003-12-16,0.7373666134845355
2003-12-17,0.73550909923024
2003-12-18,0.732155801221211
2003-12-19,0.7348163580360655
2003-12-22,0.7444314028189649
2003-12-23,0.7450419360417506
2003-12-24,0.7444520561969761
2003-12-26,0.7376107990912123
2003-12-29,0.729469199126851
2003-12-30,0.7239998187689354
2003-12-31,0.7446272768564282
2004-01-02,0.7448379718816663
2004-01-05,0.7422953063176794
2004-01-06,0.7355386276385547
2004-01-07,0.7337527991037095
2004-01-08,0.7304683756094464
2004-01-09,0.727312753036527
2004-01-12,0.7297710764468593
2004-01-13,0.725074171488159
2004-01-14,0.7225222431945058
2004-01-15,0.7169331356182506
2004-01-16,0.7088181106920447
2004-01-20,0.7045507338021606
2004-01-21,0.703195803064821
2004-01-22,0.711697928434828
2004-01-23,0.7139842841824818
2004-01-26,0.7087299985282668
2004-01-27,0.7150543123114721
2004-01-28,0.7203463000639634
2004-01-29,0.723469974571259
2004-01-30,0.7268633089017978
2004-02-02,0.7265941595330999
2004-02-03,0.7255512513161156
2004-02-04,0.7288629669507778
2004-02-05,0.7300840270703551
2004-02-06,0.7261591632636745
2004-02-09,0.7255254705866676
2004-02-10,0.7253087854656218
2004-02-11,0.7235319703493229
2004-02-12,0.7171189519042515
2004-02-13,0.7188005616334965
2004-02-17,0.7251221082361046
2004-02-18,0.7272741824229241
2004-02-19,0.7269889203671231
2004-02-20,0.7322050411370399
2004-02-23,0.7278048434453913
2004-02-24,0.7290673986043956
2004-02-25,0.7306725986591251
2004-02-26,0.7271168104764144
2004-02-27,0.7268377198694962
2004-03-01,0.7273538877177513
2004-03-02,0.7266733431013689
2004-03-03,0.7260194865091584
2004-03-04,0.7253912713519365
2004-03-05,0.7279249469851939
2004-03-08,0.7315357333779314
2004-03-09,0.7408872732454636
2004-03-10,0.7475191448828964
2004-03-11,0.7652634921423906
2004-03-12,0.7764296297054342
2004-03-15,0.7871578795209073
2004-03-16,0.7978575705200875
2004-03-17,0.7983337442251821
2004-03-18,0.7983990875889004
2004-03-19,0.8074814763109044
2004-03-22,0.8138547517496925
2004-03-23,0.8086055457987241
2004-03-24,0.8114053283164213
2004-03-25,0.8070364919118558
2004-03-26,0.805584080464332
2004-03-29,0.8002670577010249
2004-03-30,0.7928056044578475
2004-03-31,0.8130877376163633
2004-04-01,0.8051235126118
2004-04-02,0.8002167081956509
2004-04-05,0.7951101706193509
2004-04-06,0.7960862423597684
2004-04-07,0.7923181544240913
2004-04-08,0.7902664620937347
2004-04-12,0.7894716988743726
2004-04-13,0.7945904557812601
2004-04-14,0.7955869084957204
2004-04-15,0.7973285983586335
2004-04-16,0.7962568886190792
2004-04-19,0.7913056380849977
2004-04-20,0.7920387503169585
2004-04-21,0.7876450738339404
2004-04-22,0.7814629140757466
2004-04-23,0.7782682899943448
2004-04-26,0.7736303178377039
2004-04-27,0.7715271681185782
2004-04-28,0.7757810046629477
2004-04-29,0.7845739064408713
2004-04-30,0.7938063022667196
2004-05-03,0.7944413492366521
2004-05-04,0.7895612963254108
2004-05-05,0.793500069018532
2004-05-06,0.8117941839589817
2004-05-07,0.8195669610586295
2004-05-10,0.8376231586641734
2004-05-11,0.8483046034224412
2004-05-12,0.8589593248568553
2004-05-13,0.864882488587959
2004-05-14,0.8690047439374509
2004-05-17,0.8827692637830411
2004-05-18,0.8869743906935101
2004-05-19,0.8835636302741569
